utcDate,status,homeTeam,awayTeam
2026-09-04T19:15:00Z,TIMED,FC Porto,Moreirense FC
2026-09-05T14:30:00Z,TIMED,CF Estrela da Amadora,FC Famalicão
2026-09-05T17:00:00Z,TIMED,FC Alverca,Sporting Clube de Braga
2026-09-05T17:00:00Z,TIMED,CS Marítimo,Sport Lisboa e Benfica
2026-09-05T19:30:00Z,TIMED,Sporting Clube de Portugal,CD Nacional
2026-09-06T14:30:00Z,TIMED,CD Santa Clara,Rio Ave FC
2026-09-06T17:00:00Z,TIMED,Vitória SC,Casa Pia AC
2026-09-06T19:30:00Z,TIMED,Gil Vicente FC,Académico de Viseu FC
2026-09-07T19:15:00Z,TIMED,GD Estoril Praia,FC Arouca
2026-09-09T19:45:00Z,TIMED,Moreirense FC,Sport Lisboa e Benfica
2026-09-10T19:15:00Z,TIMED,CF Estrela da Amadora,Sporting Clube de Braga
2026-09-13T00:00:00Z,SCHEDULED,Moreirense FC,CS Marítimo
2026-09-13T00:00:00Z,SCHEDULED,Rio Ave FC,CF Estrela da Amadora
2026-09-13T00:00:00Z,SCHEDULED,Sport Lisboa e Benfica,Gil Vicente FC
2026-09-13T00:00:00Z,SCHEDULED,FC Famalicão,Sporting Clube de Portugal
2026-09-13T00:00:00Z,SCHEDULED,CD Nacional,FC Alverca
2026-09-13T00:00:00Z,SCHEDULED,Casa Pia AC,FC Porto
2026-09-13T00:00:00Z,SCHEDULED,Sporting Clube de Braga,GD Estoril Praia
2026-09-13T00:00:00Z,SCHEDULED,Académico de Viseu FC,Vitória SC
2026-09-13T00:00:00Z,SCHEDULED,FC Arouca,CD Santa Clara
2026-09-20T00:00:00Z,SCHEDULED,CD Nacional,FC Famalicão
2026-09-20T00:00:00Z,SCHEDULED,Gil Vicente FC,CS Marítimo
2026-09-20T00:00:00Z,SCHEDULED,Sporting Clube de Portugal,FC Arouca
2026-09-20T00:00:00Z,SCHEDULED,CD Santa Clara,Sporting Clube de Braga
2026-09-20T00:00:00Z,SCHEDULED,Vitória SC,Moreirense FC
2026-09-20T00:00:00Z,SCHEDULED,FC Porto,Sport Lisboa e Benfica
2026-09-20T00:00:00Z,SCHEDULED,CF Estrela da Amadora,Académico de Viseu FC
2026-09-20T00:00:00Z,SCHEDULED,FC Alverca,Rio Ave FC
2026-09-20T00:00:00Z,SCHEDULED,GD Estoril Praia,Casa Pia AC
2026-10-11T00:00:00Z,SCHEDULED,Sport Lisboa e Benfica,Vitória SC
2026-10-11T00:00:00Z,SCHEDULED,Casa Pia AC,CD Santa Clara
2026-10-11T00:00:00Z,SCHEDULED,Académico de Viseu FC,GD Estoril Praia
2026-10-11T00:00:00Z,SCHEDULED,CS Marítimo,FC Porto
2026-10-11T00:00:00Z,SCHEDULED,FC Arouca,CF Estrela da Amadora
2026-10-11T00:00:00Z,SCHEDULED,FC Famalicão,FC Alverca
2026-10-11T00:00:00Z,SCHEDULED,Sporting Clube de Braga,Sporting Clube de Portugal
2026-10-11T00:00:00Z,SCHEDULED,Moreirense FC,Gil Vicente FC
2026-10-11T00:00:00Z,SCHEDULED,Rio Ave FC,CD Nacional
2026-10-25T00:00:00Z,SCHEDULED,Vitória SC,CS Marítimo
2026-10-25T00:00:00Z,SCHEDULED,Rio Ave FC,FC Famalicão
2026-10-25T00:00:00Z,SCHEDULED,CD Santa Clara,Sport Lisboa e Benfica
2026-10-25T00:00:00Z,SCHEDULED,Sporting Clube de Portugal,Académico de Viseu FC
2026-10-25T00:00:00Z,SCHEDULED,FC Alverca,FC Arouca
2026-10-25T00:00:00Z,SCHEDULED,CD Nacional,Sporting Clube de Braga
2026-10-25T00:00:00Z,SCHEDULED,Gil Vicente FC,FC Porto
2026-10-25T00:00:00Z,SCHEDULED,GD Estoril Praia,Moreirense FC
2026-10-25T00:00:00Z,SCHEDULED,CF Estrela da Amadora,Casa Pia AC
2026-11-01T00:00:00Z,SCHEDULED,FC Porto,GD Estoril Praia
2026-11-01T00:00:00Z,SCHEDULED,Sporting Clube de Braga,FC Famalicão
2026-11-01T00:00:00Z,SCHEDULED,CS Marítimo,CD Santa Clara
2026-11-01T00:00:00Z,SCHEDULED,FC Arouca,CD Nacional
2026-11-01T00:00:00Z,SCHEDULED,Sport Lisboa e Benfica,FC Alverca
2026-11-01T00:00:00Z,SCHEDULED,Moreirense FC,CF Estrela da Amadora
2026-11-01T00:00:00Z,SCHEDULED,Casa Pia AC,Sporting Clube de Portugal
2026-11-01T00:00:00Z,SCHEDULED,Académico de Viseu FC,Rio Ave FC
2026-11-01T00:00:00Z,SCHEDULED,Gil Vicente FC,Vitória SC
2026-11-08T00:00:00Z,SCHEDULED,FC Alverca,Casa Pia AC
2026-11-08T00:00:00Z,SCHEDULED,GD Estoril Praia,CS Marítimo
2026-11-08T00:00:00Z,SCHEDULED,Vitória SC,FC Porto
2026-11-08T00:00:00Z,SCHEDULED,Sporting Clube de Portugal,Moreirense FC
2026-11-08T00:00:00Z,SCHEDULED,CD Santa Clara,Gil Vicente FC
2026-11-08T00:00:00Z,SCHEDULED,CD Nacional,Académico de Viseu FC
2026-11-08T00:00:00Z,SCHEDULED,FC Famalicão,FC Arouca
2026-11-08T00:00:00Z,SCHEDULED,Rio Ave FC,Sporting Clube de Braga
2026-11-08T00:00:00Z,SCHEDULED,CF Estrela da Amadora,Sport Lisboa e Benfica
2026-11-29T00:00:00Z,SCHEDULED,Vitória SC,CF Estrela da Amadora
2026-11-29T00:00:00Z,SCHEDULED,Moreirense FC,CD Santa Clara
2026-11-29T00:00:00Z,SCHEDULED,FC Porto,Sporting Clube de Portugal
2026-11-29T00:00:00Z,SCHEDULED,Casa Pia AC,Sporting Clube de Braga
2026-11-29T00:00:00Z,SCHEDULED,Sport Lisboa e Benfica,FC Famalicão
2026-11-29T00:00:00Z,SCHEDULED,CS Marítimo,CD Nacional
2026-11-29T00:00:00Z,SCHEDULED,FC Arouca,Rio Ave FC
2026-11-29T00:00:00Z,SCHEDULED,Gil Vicente FC,GD Estoril Praia
2026-11-29T00:00:00Z,SCHEDULED,Académico de Viseu FC,FC Alverca
2026-12-06T00:00:00Z,SCHEDULED,Sporting Clube de Portugal,CS Marítimo
2026-12-06T00:00:00Z,SCHEDULED,CF Estrela da Amadora,Gil Vicente FC
2026-12-06T00:00:00Z,SCHEDULED,FC Alverca,Moreirense FC
2026-12-06T00:00:00Z,SCHEDULED,CD Santa Clara,FC Porto
2026-12-06T00:00:00Z,SCHEDULED,CD Nacional,Sport Lisboa e Benfica
2026-12-06T00:00:00Z,SCHEDULED,GD Estoril Praia,Vitória SC
2026-12-06T00:00:00Z,SCHEDULED,Rio Ave FC,Casa Pia AC
2026-12-06T00:00:00Z,SCHEDULED,Sporting Clube de Braga,FC Arouca
2026-12-06T00:00:00Z,SCHEDULED,FC Famalicão,Académico de Viseu FC
2026-12-13T00:00:00Z,SCHEDULED,CS Marítimo,Rio Ave FC
2026-12-13T00:00:00Z,SCHEDULED,Académico de Viseu FC,FC Arouca
2026-12-13T00:00:00Z,SCHEDULED,Gil Vicente FC,Sporting Clube de Portugal
2026-12-13T00:00:00Z,SCHEDULED,Casa Pia AC,CD Nacional
2026-12-13T00:00:00Z,SCHEDULED,Vitória SC,FC Alverca
2026-12-13T00:00:00Z,SCHEDULED,Moreirense FC,FC Famalicão
2026-12-13T00:00:00Z,SCHEDULED,GD Estoril Praia,CD Santa Clara
2026-12-13T00:00:00Z,SCHEDULED,Sport Lisboa e Benfica,Sporting Clube de Braga
2026-12-13T00:00:00Z,SCHEDULED,FC Porto,CF Estrela da Amadora
2026-12-20T00:00:00Z,SCHEDULED,Rio Ave FC,Sport Lisboa e Benfica
2026-12-20T00:00:00Z,SCHEDULED,Sporting Clube de Braga,Académico de Viseu FC
2026-12-20T00:00:00Z,SCHEDULED,Sporting Clube de Portugal,GD Estoril Praia
2026-12-20T00:00:00Z,SCHEDULED,CF Estrela da Amadora,CS Marítimo
2026-12-20T00:00:00Z,SCHEDULED,FC Famalicão,FC Porto
2026-12-20T00:00:00Z,SCHEDULED,FC Alverca,Gil Vicente FC
2026-12-20T00:00:00Z,SCHEDULED,CD Santa Clara,Vitória SC
2026-12-20T00:00:00Z,SCHEDULED,CD Nacional,Moreirense FC
2026-12-20T00:00:00Z,SCHEDULED,FC Arouca,Casa Pia AC
2026-12-27T00:00:00Z,SCHEDULED,Vitória SC,Rio Ave FC
2026-12-27T00:00:00Z,SCHEDULED,Casa Pia AC,FC Famalicão
2026-12-27T00:00:00Z,SCHEDULED,FC Porto,CD Nacional
2026-12-27T00:00:00Z,SCHEDULED,CD Santa Clara,CF Estrela da Amadora
2026-12-27T00:00:00Z,SCHEDULED,Moreirense FC,Académico de Viseu FC
2026-12-27T00:00:00Z,SCHEDULED,Sport Lisboa e Benfica,Sporting Clube de Portugal
2026-12-27T00:00:00Z,SCHEDULED,Gil Vicente FC,FC Arouca
2026-12-27T00:00:00Z,SCHEDULED,CS Marítimo,Sporting Clube de Braga
2026-12-27T00:00:00Z,SCHEDULED,GD Estoril Praia,FC Alverca
2027-01-10T00:00:00Z,SCHEDULED,Sporting Clube de Braga,FC Porto
2027-01-10T00:00:00Z,SCHEDULED,CF Estrela da Amadora,GD Estoril Praia
2027-01-10T00:00:00Z,SCHEDULED,FC Famalicão,Vitória SC
2027-01-10T00:00:00Z,SCHEDULED,CD Nacional,Gil Vicente FC
2027-01-10T00:00:00Z,SCHEDULED,Rio Ave FC,Moreirense FC
2027-01-10T00:00:00Z,SCHEDULED,FC Arouca,Sport Lisboa e Benfica
2027-01-10T00:00:00Z,SCHEDULED,FC Alverca,CS Marítimo
2027-01-10T00:00:00Z,SCHEDULED,Académico de Viseu FC,Casa Pia AC
2027-01-10T00:00:00Z,SCHEDULED,Sporting Clube de Portugal,CD Santa Clara
2027-01-17T00:00:00Z,SCHEDULED,FC Famalicão,GD Estoril Praia
2027-01-17T00:00:00Z,SCHEDULED,Sporting Clube de Portugal,CF Estrela da Amadora
2027-01-17T00:00:00Z,SCHEDULED,Sporting Clube de Braga,Moreirense FC
2027-01-17T00:00:00Z,SCHEDULED,Rio Ave FC,Gil Vicente FC
2027-01-17T00:00:00Z,SCHEDULED,Casa Pia AC,CS Marítimo
2027-01-17T00:00:00Z,SCHEDULED,CD Nacional,CD Santa Clara
2027-01-17T00:00:00Z,SCHEDULED,FC Alverca,FC Porto
2027-01-17T00:00:00Z,SCHEDULED,Académico de Viseu FC,Sport Lisboa e Benfica
2027-01-17T00:00:00Z,SCHEDULED,FC Arouca,Vitória SC
2027-01-24T00:00:00Z,SCHEDULED,CF Estrela da Amadora,FC Alverca
2027-01-24T00:00:00Z,SCHEDULED,Moreirense FC,FC Arouca
2027-01-24T00:00:00Z,SCHEDULED,GD Estoril Praia,CD Nacional
2027-01-24T00:00:00Z,SCHEDULED,FC Porto,Rio Ave FC
2027-01-24T00:00:00Z,SCHEDULED,Sport Lisboa e Benfica,Casa Pia AC
2027-01-24T00:00:00Z,SCHEDULED,CD Santa Clara,Académico de Viseu FC
2027-01-24T00:00:00Z,SCHEDULED,CS Marítimo,FC Famalicão
2027-01-24T00:00:00Z,SCHEDULED,Gil Vicente FC,Sporting Clube de Braga
2027-01-24T00:00:00Z,SCHEDULED,Vitória SC,Sporting Clube de Portugal
2027-01-31T00:00:00Z,SCHEDULED,Casa Pia AC,Gil Vicente FC
2027-01-31T00:00:00Z,SCHEDULED,CD Nacional,Vitória SC
2027-01-31T00:00:00Z,SCHEDULED,Sport Lisboa e Benfica,Moreirense FC
2027-01-31T00:00:00Z,SCHEDULED,Sporting Clube de Braga,CF Estrela da Amadora
2027-01-31T00:00:00Z,SCHEDULED,FC Arouca,FC Porto
2027-01-31T00:00:00Z,SCHEDULED,FC Famalicão,CD Santa Clara
2027-01-31T00:00:00Z,SCHEDULED,Académico de Viseu FC,CS Marítimo
2027-01-31T00:00:00Z,SCHEDULED,Rio Ave FC,GD Estoril Praia
2027-01-31T00:00:00Z,SCHEDULED,FC Alverca,Sporting Clube de Portugal
2027-02-07T00:00:00Z,SCHEDULED,CS Marítimo,FC Arouca
2027-02-07T00:00:00Z,SCHEDULED,CD Santa Clara,FC Alverca
2027-02-07T00:00:00Z,SCHEDULED,GD Estoril Praia,Sport Lisboa e Benfica
2027-02-07T00:00:00Z,SCHEDULED,Sporting Clube de Portugal,Rio Ave FC
2027-02-07T00:00:00Z,SCHEDULED,FC Porto,Académico de Viseu FC
2027-02-07T00:00:00Z,SCHEDULED,CF Estrela da Amadora,CD Nacional
2027-02-07T00:00:00Z,SCHEDULED,Vitória SC,Sporting Clube de Braga
2027-02-07T00:00:00Z,SCHEDULED,Gil Vicente FC,FC Famalicão
2027-02-07T00:00:00Z,SCHEDULED,Moreirense FC,Casa Pia AC
2027-02-14T00:00:00Z,SCHEDULED,FC Arouca,GD Estoril Praia
2027-02-14T00:00:00Z,SCHEDULED,CD Nacional,Sporting Clube de Portugal
2027-02-14T00:00:00Z,SCHEDULED,Moreirense FC,FC Porto
2027-02-14T00:00:00Z,SCHEDULED,Sporting Clube de Braga,FC Alverca
2027-02-14T00:00:00Z,SCHEDULED,Académico de Viseu FC,Gil Vicente FC
2027-02-14T00:00:00Z,SCHEDULED,Sport Lisboa e Benfica,CS Marítimo
2027-02-14T00:00:00Z,SCHEDULED,Casa Pia AC,Vitória SC
2027-02-14T00:00:00Z,SCHEDULED,FC Famalicão,CF Estrela da Amadora
2027-02-14T00:00:00Z,SCHEDULED,Rio Ave FC,CD Santa Clara
2027-02-21T00:00:00Z,SCHEDULED,Vitória SC,Académico de Viseu FC
2027-02-21T00:00:00Z,SCHEDULED,CS Marítimo,Moreirense FC
2027-02-21T00:00:00Z,SCHEDULED,GD Estoril Praia,Sporting Clube de Braga
2027-02-21T00:00:00Z,SCHEDULED,Gil Vicente FC,Sport Lisboa e Benfica
2027-02-21T00:00:00Z,SCHEDULED,FC Porto,Casa Pia AC
2027-02-21T00:00:00Z,SCHEDULED,Sporting Clube de Portugal,FC Famalicão
2027-02-21T00:00:00Z,SCHEDULED,CD Santa Clara,FC Arouca
2027-02-21T00:00:00Z,SCHEDULED,CF Estrela da Amadora,Rio Ave FC
