home_team,away_team,p_home_book,p_draw_book,p_away_book
Alavés,Rayo Vallecano,0.4345709129078637,0.27451531204365975,0.29091377504847654
Celta Vigo,Sevilla,0.4988349147037019,0.2621009913858662,0.2390640939104319
Espanyol,Real Sociedad,0.4244049265970707,0.26634590923360885,0.3092491641693205
Getafe,CA Osasuna,0.39461399289139565,0.33152160997791286,0.2738643971306915
Girona,Elche CF,0.5123595708557369,0.250257448461928,0.23738298068233515
Mallorca,Oviedo,0.618336502506221,0.22576435679209178,0.15589914070168723
Real Betis,Levante,0.4352267395049864,0.2529962172537543,0.3117770432412593
Real Madrid,Athletic Bilbao,0.6309370262018327,0.20036062169289315,0.16870235210527412
Valencia,Barcelona,0.2835085176512575,0.2280479931614091,0.4884434891873334
Villarreal,Atlético Madrid,0.39147234861701863,0.2409657780199886,0.3675618733629927
