utcDate,status,homeTeam,awayTeam
2026-05-10T15:30:00Z,TIMED,1. FC Köln,1. FC Heidenheim 1846
2026-05-10T17:30:00Z,TIMED,1. FSV Mainz 05,1. FC Union Berlin
2026-05-16T13:30:00Z,TIMED,SV Werder Bremen,Borussia Dortmund
2026-05-16T13:30:00Z,TIMED,1. FC Heidenheim 1846,1. FSV Mainz 05
2026-05-16T13:30:00Z,TIMED,SC Freiburg,RB Leipzig
2026-05-16T13:30:00Z,TIMED,Eintracht Frankfurt,VfB Stuttgart
2026-05-16T13:30:00Z,TIMED,FC St. Pauli 1910,VfL Wolfsburg
2026-05-16T13:30:00Z,TIMED,1. FC Union Berlin,FC Augsburg
2026-05-16T13:30:00Z,TIMED,Borussia Mönchengladbach,TSG 1899 Hoffenheim
2026-05-16T13:30:00Z,TIMED,FC Bayern München,1. FC Köln
2026-05-16T13:30:00Z,TIMED,Bayer 04 Leverkusen,Hamburger SV
