utcDate,matchday,status,homeTeam,awayTeam,homeGoals,awayGoals,winner
2026-08-15T17:30:00Z,1,FINISHED,Deportivo Alavés,Getafe CF,3,0,HOME_TEAM
2026-08-15T19:30:00Z,1,FINISHED,Sevilla FC,Rayo Vallecano de Madrid,2,1,HOME_TEAM
2026-08-16T15:00:00Z,1,FINISHED,Real Racing Club de Santander,Villarreal CF,2,2,DRAW
2026-08-16T17:00:00Z,1,FINISHED,RCD Espanyol de Barcelona,Levante UD,3,0,HOME_TEAM
2026-08-17T19:00:00Z,1,FINISHED,RC Deportivo La Coruña,Elche CF,1,1,DRAW
2026-08-19T19:00:00Z,1,FINISHED,Club Atlético de Madrid,Málaga CF,2,0,HOME_TEAM
2026-08-20T19:00:00Z,2,FINISHED,Rayo Vallecano de Madrid,Deportivo Alavés,1,1,DRAW
2026-08-21T19:00:00Z,2,FINISHED,Real Betis Balompié,Real Sociedad de Fútbol,1,0,HOME_TEAM
2026-08-22T15:00:00Z,2,FINISHED,Athletic Club,Sevilla FC,1,3,AWAY_TEAM
2026-08-22T17:30:00Z,2,FINISHED,Valencia CF,RC Celta de Vigo,0,0,DRAW
2026-08-22T19:30:00Z,2,FINISHED,RCD Espanyol de Barcelona,Real Madrid CF,1,2,AWAY_TEAM
2026-08-23T15:00:00Z,2,FINISHED,Club Atlético de Madrid,Villarreal CF,2,2,DRAW
2026-08-23T17:30:00Z,2,FINISHED,Getafe CF,Real Racing Club de Santander,1,0,HOME_TEAM
2026-08-23T19:30:00Z,2,FINISHED,Elche CF,FC Barcelona,0,5,AWAY_TEAM
2026-08-24T17:30:00Z,2,FINISHED,CA Osasuna,Levante UD,0,0,DRAW
2026-08-24T19:30:00Z,2,FINISHED,Málaga CF,RC Deportivo La Coruña,1,1,DRAW
2026-08-25T19:00:00Z,1,FINISHED,Valencia CF,Real Betis Balompié,0,1,AWAY_TEAM
2026-08-26T19:00:00Z,1,FINISHED,Real Madrid CF,Real Sociedad de Fútbol,4,1,HOME_TEAM
2026-08-27T18:30:00Z,1,FINISHED,RC Celta de Vigo,CA Osasuna,1,2,AWAY_TEAM
2026-08-27T19:00:00Z,1,FINISHED,FC Barcelona,Athletic Club,2,0,HOME_TEAM
2026-08-28T17:00:00Z,3,FINISHED,Real Racing Club de Santander,Elche CF,3,2,HOME_TEAM
2026-08-28T19:30:00Z,3,FINISHED,Deportivo Alavés,Villarreal CF,1,0,HOME_TEAM
2026-08-29T15:00:00Z,3,FINISHED,Levante UD,Real Betis Balompié,5,2,HOME_TEAM
2026-08-29T17:00:00Z,3,FINISHED,Real Sociedad de Fútbol,RCD Espanyol de Barcelona,2,1,HOME_TEAM
2026-08-29T19:30:00Z,3,FINISHED,Sevilla FC,Club Atlético de Madrid,1,3,AWAY_TEAM
2026-08-30T15:00:00Z,3,FINISHED,Real Madrid CF,Málaga CF,4,0,HOME_TEAM
