AS Monaco,Paris FC,Lille,Lyon,Stade Rennais,Troyes,Lens,Marseille,Angers,Strasbourg,Brest,Paris Saint-Germain,Le Mans,Lorient,Le Havre AC,Toulouse,Nice,AJ Auxerre
802.0,178.0,883.0,639.0,378.0,2.0,2046.0,604.0,2.0,191.0,13.0,4186.0,0.0,20.0,9.0,43.0,1.0,3.0
1162.0,382.0,1217.0,986.0,641.0,9.0,1914.0,873.0,17.0,405.0,45.0,2139.0,1.0,84.0,23.0,87.0,4.0,11.0
1192.0,560.0,1333.0,1089.0,869.0,16.0,1574.0,1014.0,51.0,563.0,70.0,1273.0,0.0,142.0,43.0,166.0,5.0,40.0
1273.0,696.0,1279.0,1130.0,922.0,44.0,1222.0,1065.0,60.0,669.0,128.0,919.0,7.0,210.0,68.0,233.0,20.0,55.0
1112.0,812.0,1090.0,1160.0,1018.0,80.0,973.0,1201.0,99.0,777.0,171.0,564.0,11.0,352.0,132.0,326.0,24.0,98.0
1006.0,896.0,988.0,1032.0,1095.0,126.0,737.0,1101.0,169.0,889.0,262.0,350.0,24.0,467.0,196.0,452.0,50.0,160.0
870.0,950.0,890.0,922.0,989.0,206.0,532.0,989.0,241.0,998.0,372.0,227.0,42.0,586.0,284.0,594.0,94.0,214.0
720.0,930.0,653.0,829.0,950.0,299.0,352.0,845.0,356.0,1012.0,538.0,138.0,62.0,703.0,394.0,722.0,144.0,353.0
560.0,1009.0,536.0,642.0,811.0,414.0,240.0,694.0,515.0,920.0,632.0,96.0,98.0,832.0,519.0,861.0,209.0,412.0
413.0,849.0,382.0,485.0,698.0,568.0,159.0,528.0,654.0,869.0,814.0,43.0,168.0,885.0,681.0,912.0,326.0,566.0
320.0,743.0,247.0,379.0,536.0,719.0,111.0,386.0,805.0,682.0,915.0,30.0,223.0,959.0,816.0,990.0,436.0,703.0
223.0,590.0,196.0,265.0,394.0,910.0,55.0,259.0,913.0,612.0,938.0,19.0,345.0,962.0,965.0,950.0,601.0,803.0
157.0,466.0,127.0,185.0,290.0,945.0,36.0,201.0,1021.0,453.0,1016.0,7.0,489.0,908.0,1037.0,938.0,724.0,1000.0
83.0,370.0,86.0,113.0,191.0,1082.0,25.0,111.0,1118.0,376.0,1049.0,5.0,662.0,843.0,1091.0,796.0,916.0,1083.0
67.0,263.0,41.0,78.0,104.0,1225.0,12.0,63.0,1141.0,274.0,958.0,1.0,908.0,732.0,1138.0,647.0,1195.0,1153.0
21.0,170.0,31.0,43.0,64.0,1229.0,10.0,38.0,1076.0,154.0,884.0,3.0,1382.0,604.0,1026.0,608.0,1470.0,1187.0
15.0,102.0,18.0,18.0,38.0,1206.0,0.0,23.0,971.0,82.0,724.0,0.0,2056.0,443.0,911.0,430.0,1794.0,1169.0
4.0,34.0,3.0,5.0,12.0,920.0,2.0,5.0,791.0,74.0,471.0,0.0,3522.0,268.0,667.0,245.0,1987.0,990.0
