AS Roma,Internazionale,AC Milan,Juventus,Atalanta,Lazio,Udinese,Como,Frosinone,Napoli,Sassuolo,Cagliari,Lecce,Torino,Bologna,Genoa,Parma,Monza,Venezia,Fiorentina
2058.0,4892.0,274.0,962.0,319.0,48.0,19.0,1214.0,0.0,197.0,7.0,3.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0
2378.0,2255.0,609.0,1552.0,618.0,141.0,77.0,1806.0,3.0,509.0,20.0,10.0,2.0,1.0,17.0,2.0,0.0,0.0,0.0,0.0
1726.0,1318.0,976.0,1704.0,990.0,307.0,168.0,1745.0,10.0,841.0,82.0,37.0,8.0,3.0,53.0,18.0,3.0,0.0,0.0,11.0
1330.0,737.0,1202.0,1663.0,1185.0,483.0,311.0,1592.0,29.0,1083.0,138.0,66.0,7.0,15.0,114.0,17.0,3.0,0.0,0.0,25.0
951.0,385.0,1348.0,1368.0,1411.0,741.0,477.0,1224.0,67.0,1337.0,240.0,111.0,36.0,31.0,181.0,51.0,4.0,0.0,0.0,37.0
632.0,203.0,1420.0,974.0,1393.0,1006.0,692.0,884.0,118.0,1439.0,386.0,214.0,44.0,72.0,294.0,116.0,36.0,0.0,0.0,77.0
391.0,98.0,1216.0,689.0,1196.0,1253.0,949.0,618.0,220.0,1262.0,608.0,376.0,120.0,107.0,463.0,225.0,59.0,1.0,1.0,148.0
249.0,64.0,965.0,454.0,959.0,1270.0,1146.0,397.0,377.0,1027.0,823.0,525.0,211.0,194.0,668.0,331.0,113.0,7.0,0.0,220.0
128.0,23.0,660.0,272.0,703.0,1213.0,1160.0,228.0,525.0,767.0,981.0,765.0,338.0,323.0,862.0,486.0,179.0,11.0,1.0,375.0
83.0,15.0,491.0,153.0,448.0,929.0,1114.0,137.0,627.0,562.0,1171.0,910.0,440.0,454.0,1005.0,635.0,298.0,18.0,6.0,504.0
32.0,6.0,311.0,94.0,294.0,795.0,936.0,64.0,860.0,393.0,1089.0,1002.0,650.0,612.0,1043.0,749.0,405.0,28.0,10.0,627.0
23.0,3.0,228.0,55.0,198.0,597.0,810.0,36.0,916.0,248.0,981.0,1104.0,747.0,725.0,1012.0,855.0,550.0,73.0,24.0,815.0
9.0,1.0,113.0,29.0,116.0,420.0,697.0,25.0,1013.0,145.0,912.0,1024.0,935.0,851.0,970.0,962.0,737.0,100.0,41.0,900.0
4.0,0.0,93.0,17.0,71.0,304.0,497.0,21.0,1037.0,82.0,746.0,992.0,1020.0,1046.0,864.0,1118.0,846.0,187.0,83.0,972.0
2.0,0.0,54.0,4.0,55.0,225.0,391.0,5.0,1016.0,63.0,645.0,874.0,1153.0,1125.0,773.0,1117.0,1034.0,258.0,119.0,1087.0
2.0,0.0,17.0,9.0,27.0,138.0,266.0,2.0,1038.0,20.0,487.0,737.0,1251.0,1240.0,650.0,1048.0,1265.0,427.0,226.0,1150.0
2.0,0.0,16.0,0.0,12.0,80.0,149.0,2.0,956.0,18.0,358.0,590.0,1202.0,1275.0,489.0,997.0,1460.0,764.0,448.0,1182.0
0.0,0.0,5.0,1.0,3.0,39.0,101.0,0.0,717.0,5.0,225.0,437.0,1117.0,1072.0,368.0,811.0,1633.0,1463.0,970.0,1033.0
0.0,0.0,2.0,0.0,2.0,9.0,33.0,0.0,364.0,2.0,80.0,171.0,553.0,621.0,142.0,361.0,1008.0,3448.0,2597.0,607.0
0.0,0.0,0.0,0.0,0.0,2.0,7.0,0.0,107.0,0.0,21.0,52.0,166.0,233.0,25.0,101.0,367.0,3215.0,5474.0,230.0
