FC Porto,Sporting CP,Arouca,Santa Clara,Benfica,Gil Vicente,Maritimo,Estrela,Braga,Moreirense,C.D. Nacional,Vitória de Guimaraes,Rio Ave,FC Famalicao,Académico de Viseu,Alverca,Estoril,Casa Pia
3802.0,4071.0,3.0,1.0,2022.0,8.0,0.0,0.0,92.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3422.0,3280.0,18.0,12.0,2831.0,72.0,0.0,2.0,353.0,0.0,1.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0
2178.0,2180.0,142.0,52.0,3847.0,343.0,5.0,22.0,1141.0,10.0,12.0,10.0,3.0,49.0,0.0,1.0,5.0,0.0
479.0,399.0,886.0,586.0,964.0,1790.0,59.0,225.0,3812.0,57.0,143.0,76.0,16.0,453.0,1.0,12.0,42.0,0.0
86.0,53.0,1533.0,1024.0,221.0,2278.0,218.0,484.0,2060.0,196.0,374.0,206.0,50.0,957.0,4.0,86.0,168.0,2.0
25.0,11.0,1551.0,1287.0,71.0,1669.0,358.0,816.0,1046.0,331.0,602.0,397.0,138.0,1204.0,10.0,155.0,326.0,3.0
4.0,3.0,1377.0,1342.0,27.0,1195.0,565.0,861.0,597.0,491.0,825.0,549.0,192.0,1318.0,20.0,241.0,384.0,9.0
1.0,3.0,1107.0,1270.0,13.0,819.0,737.0,965.0,365.0,644.0,989.0,675.0,256.0,1199.0,38.0,356.0,538.0,25.0
2.0,0.0,882.0,1117.0,2.0,632.0,832.0,1016.0,221.0,712.0,1028.0,794.0,386.0,1087.0,87.0,474.0,679.0,49.0
0.0,0.0,707.0,886.0,1.0,412.0,899.0,993.0,132.0,947.0,1079.0,932.0,527.0,907.0,131.0,561.0,821.0,65.0
1.0,0.0,600.0,675.0,1.0,311.0,984.0,967.0,64.0,962.0,1043.0,1025.0,651.0,796.0,188.0,716.0,902.0,114.0
0.0,0.0,405.0,624.0,0.0,200.0,1028.0,942.0,65.0,1033.0,990.0,938.0,761.0,655.0,322.0,870.0,978.0,189.0
0.0,0.0,289.0,402.0,0.0,122.0,1014.0,805.0,28.0,1185.0,838.0,1081.0,1016.0,483.0,432.0,1004.0,1025.0,276.0
0.0,0.0,209.0,336.0,0.0,62.0,992.0,700.0,10.0,1032.0,718.0,987.0,1204.0,354.0,660.0,1192.0,1083.0,461.0
0.0,0.0,156.0,198.0,0.0,53.0,910.0,558.0,4.0,929.0,586.0,904.0,1361.0,282.0,985.0,1292.0,1072.0,710.0
0.0,0.0,80.0,124.0,0.0,20.0,731.0,363.0,9.0,756.0,430.0,760.0,1453.0,158.0,1514.0,1351.0,966.0,1285.0
0.0,0.0,45.0,51.0,0.0,12.0,462.0,203.0,0.0,486.0,231.0,451.0,1240.0,66.0,2597.0,1053.0,664.0,2439.0
0.0,0.0,10.0,13.0,0.0,2.0,206.0,78.0,1.0,229.0,111.0,214.0,746.0,23.0,3011.0,636.0,347.0,4373.0
