Swansea City,Queens Park Rangers,Charlton Athletic,Wolverhampton Wanderers,Middlesbrough,Bristol City,West Bromwich Albion,Birmingham City,Sheffield United,Millwall,Wrexham,West Ham United,Blackburn Rovers,Watford,Bolton Wanderers,Derby County,Lincoln City,Southampton,Cardiff City,Norwich City,Portsmouth,Stoke City,Burnley,Preston North End
538.0,137.0,95.0,4456.0,795.0,121.0,55.0,124.0,136.0,299.0,157.0,1794.0,6.0,11.0,0.0,85.0,0.0,1115.0,0.0,70.0,0.0,6.0,0.0,0.0
855.0,247.0,213.0,1979.0,1151.0,231.0,114.0,282.0,276.0,545.0,293.0,1888.0,31.0,29.0,0.0,193.0,1.0,1421.0,1.0,207.0,15.0,24.0,0.0,4.0
979.0,394.0,327.0,1197.0,1160.0,332.0,193.0,365.0,410.0,736.0,392.0,1436.0,76.0,56.0,2.0,299.0,0.0,1282.0,2.0,299.0,22.0,37.0,0.0,4.0
965.0,500.0,433.0,750.0,1036.0,437.0,289.0,481.0,500.0,713.0,508.0,1124.0,120.0,107.0,2.0,389.0,2.0,1160.0,3.0,353.0,40.0,68.0,0.0,20.0
918.0,523.0,463.0,476.0,1032.0,479.0,358.0,564.0,540.0,803.0,648.0,878.0,162.0,133.0,4.0,458.0,1.0,968.0,3.0,406.0,55.0,96.0,0.0,32.0
824.0,623.0,566.0,332.0,840.0,542.0,431.0,648.0,619.0,818.0,621.0,641.0,223.0,196.0,9.0,500.0,2.0,792.0,9.0,506.0,87.0,132.0,1.0,38.0
728.0,598.0,625.0,234.0,656.0,546.0,469.0,687.0,660.0,829.0,674.0,509.0,260.0,263.0,7.0,599.0,7.0,675.0,20.0,561.0,125.0,190.0,1.0,77.0
697.0,646.0,608.0,160.0,633.0,628.0,538.0,736.0,675.0,755.0,643.0,430.0,299.0,296.0,11.0,599.0,6.0,532.0,28.0,640.0,147.0,223.0,0.0,70.0
629.0,647.0,650.0,122.0,552.0,644.0,624.0,687.0,679.0,670.0,690.0,319.0,387.0,326.0,24.0,652.0,12.0,443.0,36.0,644.0,191.0,252.0,2.0,118.0
519.0,669.0,702.0,95.0,477.0,689.0,593.0,685.0,647.0,622.0,670.0,263.0,443.0,401.0,35.0,654.0,22.0,369.0,47.0,662.0,256.0,337.0,4.0,139.0
444.0,698.0,654.0,73.0,376.0,675.0,663.0,657.0,705.0,565.0,678.0,179.0,498.0,462.0,49.0,659.0,30.0,316.0,72.0,652.0,309.0,377.0,11.0,198.0
449.0,666.0,645.0,40.0,304.0,691.0,717.0,653.0,617.0,505.0,650.0,163.0,534.0,519.0,81.0,678.0,46.0,246.0,91.0,615.0,364.0,465.0,8.0,253.0
336.0,649.0,684.0,37.0,270.0,658.0,702.0,655.0,642.0,453.0,561.0,126.0,609.0,590.0,114.0,678.0,54.0,181.0,143.0,640.0,392.0,486.0,14.0,326.0
280.0,564.0,586.0,22.0,213.0,599.0,693.0,587.0,603.0,393.0,569.0,77.0,690.0,666.0,172.0,613.0,100.0,153.0,173.0,691.0,515.0,647.0,28.0,366.0
244.0,582.0,583.0,10.0,145.0,579.0,699.0,505.0,483.0,356.0,529.0,59.0,758.0,758.0,227.0,605.0,120.0,126.0,236.0,583.0,625.0,698.0,45.0,445.0
194.0,483.0,545.0,10.0,125.0,508.0,677.0,440.0,469.0,284.0,456.0,44.0,841.0,755.0,269.0,587.0,190.0,79.0,336.0,564.0,680.0,771.0,77.0,616.0
140.0,409.0,449.0,2.0,87.0,471.0,584.0,381.0,393.0,222.0,374.0,26.0,855.0,841.0,425.0,463.0,250.0,58.0,465.0,520.0,867.0,860.0,130.0,728.0
114.0,341.0,414.0,3.0,70.0,383.0,530.0,300.0,339.0,180.0,308.0,23.0,799.0,855.0,581.0,407.0,417.0,36.0,661.0,456.0,867.0,871.0,201.0,844.0
70.0,245.0,286.0,0.0,38.0,313.0,449.0,252.0,242.0,110.0,241.0,4.0,706.0,811.0,793.0,338.0,643.0,21.0,855.0,373.0,974.0,907.0,314.0,1015.0
43.0,193.0,203.0,1.0,23.0,224.0,256.0,153.0,175.0,65.0,164.0,8.0,623.0,699.0,1120.0,234.0,877.0,15.0,1119.0,236.0,1007.0,854.0,543.0,1165.0
20.0,103.0,154.0,1.0,12.0,123.0,204.0,88.0,96.0,44.0,87.0,5.0,487.0,554.0,1398.0,161.0,1254.0,6.0,1418.0,174.0,892.0,710.0,853.0,1156.0
9.0,53.0,72.0,0.0,4.0,84.0,106.0,39.0,61.0,22.0,51.0,4.0,331.0,375.0,1673.0,80.0,1693.0,6.0,1615.0,97.0,791.0,494.0,1311.0,1029.0
4.0,28.0,33.0,0.0,1.0,33.0,44.0,26.0,28.0,9.0,26.0,0.0,189.0,214.0,1695.0,53.0,2185.0,0.0,1503.0,35.0,523.0,336.0,2227.0,808.0
1.0,2.0,10.0,0.0,0.0,10.0,12.0,5.0,5.0,2.0,10.0,0.0,73.0,83.0,1309.0,16.0,2088.0,0.0,1164.0,16.0,256.0,159.0,4230.0,549.0
