Bayern Munich,SC Freiburg,FC Augsburg,RB Leipzig,Borussia Dortmund,SV Elversberg,FC Cologne,Eintracht Frankfurt,1. FC Union Berlin,Mainz,SC Paderborn 07,Bayer Leverkusen,TSG Hoffenheim,Hamburg SV,Werder Bremen,Borussia Mönchengladbach,Schalke 04,VfB Stuttgart
8434.0,25.0,8.0,250.0,1035.0,0.0,3.0,4.0,2.0,6.0,0.0,109.0,23.0,1.0,0.0,3.0,0.0,97.0
1199.0,292.0,105.0,1862.0,4063.0,16.0,79.0,149.0,32.0,81.0,1.0,855.0,327.0,18.0,5.0,47.0,0.0,869.0
247.0,577.0,268.0,2246.0,2046.0,51.0,181.0,355.0,115.0,234.0,2.0,1449.0,692.0,94.0,24.0,116.0,0.0,1303.0
82.0,803.0,394.0,1660.0,1158.0,135.0,331.0,591.0,172.0,353.0,11.0,1545.0,901.0,175.0,58.0,208.0,0.0,1423.0
19.0,937.0,542.0,1118.0,665.0,212.0,515.0,707.0,336.0,527.0,21.0,1347.0,1027.0,239.0,108.0,355.0,0.0,1325.0
9.0,1029.0,665.0,860.0,395.0,286.0,642.0,823.0,430.0,617.0,30.0,1096.0,1062.0,350.0,149.0,444.0,2.0,1111.0
9.0,988.0,800.0,606.0,253.0,402.0,672.0,947.0,517.0,774.0,59.0,878.0,1004.0,414.0,247.0,546.0,3.0,881.0
0.0,999.0,868.0,448.0,148.0,506.0,784.0,918.0,610.0,780.0,86.0,681.0,905.0,550.0,297.0,644.0,4.0,772.0
1.0,860.0,823.0,313.0,92.0,601.0,886.0,909.0,695.0,913.0,122.0,552.0,874.0,641.0,353.0,747.0,10.0,608.0
0.0,762.0,920.0,213.0,63.0,716.0,830.0,898.0,785.0,901.0,187.0,411.0,779.0,778.0,489.0,796.0,14.0,458.0
0.0,693.0,880.0,164.0,39.0,821.0,895.0,815.0,854.0,864.0,245.0,335.0,597.0,827.0,651.0,940.0,17.0,363.0
0.0,575.0,870.0,104.0,18.0,923.0,954.0,723.0,953.0,848.0,366.0,255.0,519.0,920.0,781.0,886.0,27.0,278.0
0.0,482.0,790.0,61.0,14.0,1049.0,887.0,645.0,981.0,783.0,539.0,197.0,448.0,962.0,954.0,937.0,79.0,192.0
0.0,393.0,710.0,45.0,2.0,1089.0,764.0,600.0,996.0,797.0,762.0,140.0,349.0,1028.0,1049.0,990.0,135.0,151.0
0.0,286.0,601.0,27.0,6.0,1123.0,628.0,441.0,967.0,651.0,1236.0,75.0,267.0,1114.0,1360.0,849.0,275.0,94.0
0.0,179.0,460.0,18.0,3.0,1087.0,568.0,284.0,864.0,506.0,1797.0,55.0,149.0,964.0,1542.0,830.0,648.0,46.0
0.0,102.0,233.0,4.0,0.0,758.0,323.0,157.0,527.0,308.0,3063.0,17.0,63.0,732.0,1474.0,541.0,1672.0,26.0
0.0,18.0,63.0,1.0,0.0,225.0,58.0,34.0,164.0,57.0,1473.0,3.0,14.0,193.0,459.0,121.0,7114.0,3.0
