AZ Alkmaar,PSV Eindhoven,Feyenoord Rotterdam,Ajax Amsterdam,Go Ahead Eagles,Fortuna Sittard,NEC Nijmegen,Excelsior,FC Twente,FC Groningen,Heerenveen,Sparta Rotterdam,Telstar,PEC Zwolle,Willem II,ADO Den Haag,FC Utrecht,SC Cambuur
1025.0,6839.0,517.0,811.0,37.0,2.0,332.0,14.0,385.0,17.0,15.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0
2056.0,1826.0,1462.0,2062.0,143.0,21.0,1032.0,55.0,1116.0,109.0,71.0,3.0,17.0,0.0,0.0,0.0,27.0,0.0
1867.0,708.0,1674.0,1864.0,350.0,62.0,1397.0,165.0,1370.0,253.0,170.0,9.0,43.0,2.0,0.0,0.0,66.0,0.0
1487.0,349.0,1567.0,1686.0,497.0,146.0,1446.0,326.0,1525.0,431.0,276.0,31.0,99.0,5.0,0.0,0.0,129.0,0.0
1180.0,149.0,1422.0,1207.0,751.0,238.0,1525.0,479.0,1428.0,637.0,469.0,59.0,188.0,17.0,0.0,0.0,251.0,0.0
885.0,70.0,1089.0,834.0,1022.0,385.0,1292.0,699.0,1324.0,867.0,714.0,87.0,303.0,32.0,1.0,0.0,396.0,0.0
585.0,41.0,851.0,573.0,1191.0,603.0,963.0,930.0,960.0,1034.0,941.0,210.0,454.0,62.0,1.0,2.0,599.0,0.0
349.0,9.0,569.0,415.0,1218.0,818.0,701.0,1084.0,683.0,1186.0,1084.0,315.0,692.0,117.0,3.0,2.0,755.0,0.0
254.0,4.0,336.0,227.0,1128.0,1011.0,494.0,1159.0,462.0,1199.0,1168.0,520.0,810.0,226.0,5.0,6.0,991.0,0.0
152.0,2.0,224.0,151.0,982.0,1081.0,344.0,1183.0,330.0,1136.0,1211.0,721.0,970.0,372.0,10.0,9.0,1122.0,0.0
83.0,3.0,138.0,84.0,898.0,1297.0,237.0,1126.0,193.0,989.0,1146.0,855.0,1159.0,533.0,35.0,36.0,1188.0,0.0
46.0,0.0,93.0,57.0,730.0,1273.0,111.0,1046.0,126.0,857.0,1018.0,1185.0,1296.0,770.0,67.0,56.0,1267.0,2.0
20.0,0.0,34.0,16.0,521.0,1266.0,80.0,793.0,52.0,598.0,815.0,1635.0,1428.0,1208.0,168.0,122.0,1229.0,15.0
8.0,0.0,14.0,9.0,348.0,989.0,33.0,586.0,35.0,443.0,573.0,1906.0,1283.0,1913.0,408.0,358.0,1049.0,45.0
2.0,0.0,9.0,4.0,152.0,596.0,12.0,283.0,10.0,200.0,276.0,1672.0,901.0,2945.0,1105.0,1022.0,660.0,151.0
1.0,0.0,1.0,0.0,29.0,172.0,1.0,59.0,1.0,38.0,44.0,613.0,285.0,1257.0,3370.0,3040.0,224.0,865.0
0.0,0.0,0.0,0.0,3.0,36.0,0.0,11.0,0.0,5.0,9.0,156.0,61.0,448.0,3331.0,3699.0,41.0,2200.0
0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,1.0,0.0,23.0,8.0,93.0,1496.0,1648.0,3.0,6722.0
