Manchester City,Arsenal,Hull City,Chelsea,Brentford,Newcastle United,Everton,Leeds United,Brighton & Hove Albion,Manchester United,Sunderland,Ipswich Town,Liverpool,AFC Bournemouth,Nottingham Forest,Fulham,Coventry City,Crystal Palace,Aston Villa,Tottenham Hotspur
4337.0,4530.0,12.0,190.0,127.0,60.0,52.0,33.0,127.0,327.0,10.0,1.0,114.0,42.0,16.0,3.0,0.0,2.0,16.0,1.0
3174.0,3127.0,33.0,578.0,438.0,227.0,180.0,165.0,433.0,838.0,52.0,0.0,364.0,171.0,82.0,20.0,0.0,7.0,103.0,8.0
1112.0,1177.0,150.0,1125.0,915.0,520.0,345.0,362.0,887.0,1585.0,125.0,1.0,761.0,361.0,205.0,63.0,0.0,17.0,261.0,28.0
570.0,529.0,194.0,1201.0,999.0,639.0,533.0,518.0,985.0,1333.0,198.0,6.0,885.0,501.0,304.0,143.0,0.0,44.0,352.0,66.0
334.0,271.0,304.0,1038.0,1034.0,729.0,638.0,600.0,997.0,1034.0,274.0,11.0,863.0,612.0,424.0,209.0,0.0,78.0,459.0,91.0
183.0,132.0,394.0,979.0,928.0,825.0,670.0,644.0,899.0,948.0,377.0,14.0,911.0,645.0,475.0,247.0,0.0,99.0,499.0,131.0
103.0,95.0,415.0,848.0,880.0,806.0,708.0,719.0,860.0,823.0,433.0,29.0,904.0,673.0,534.0,285.0,0.0,149.0,559.0,177.0
73.0,62.0,524.0,747.0,771.0,802.0,791.0,713.0,768.0,635.0,547.0,26.0,789.0,709.0,596.0,402.0,0.0,188.0,635.0,222.0
55.0,36.0,556.0,684.0,735.0,767.0,730.0,792.0,683.0,536.0,583.0,47.0,752.0,789.0,658.0,446.0,0.0,238.0,662.0,251.0
28.0,12.0,635.0,561.0,612.0,730.0,764.0,773.0,694.0,476.0,651.0,74.0,696.0,711.0,731.0,507.0,1.0,306.0,703.0,335.0
15.0,10.0,686.0,479.0,550.0,679.0,755.0,717.0,555.0,369.0,720.0,101.0,622.0,748.0,796.0,625.0,4.0,350.0,798.0,421.0
11.0,7.0,784.0,416.0,516.0,692.0,726.0,660.0,498.0,301.0,791.0,150.0,547.0,744.0,771.0,674.0,5.0,483.0,766.0,458.0
1.0,6.0,758.0,350.0,393.0,585.0,677.0,678.0,423.0,256.0,803.0,207.0,511.0,698.0,786.0,829.0,6.0,612.0,808.0,613.0
3.0,4.0,878.0,240.0,351.0,547.0,622.0,649.0,374.0,203.0,835.0,302.0,391.0,649.0,814.0,871.0,16.0,754.0,726.0,771.0
1.0,1.0,854.0,219.0,273.0,452.0,590.0,598.0,311.0,135.0,871.0,460.0,322.0,598.0,768.0,986.0,31.0,924.0,706.0,900.0
0.0,0.0,930.0,167.0,200.0,374.0,467.0,559.0,222.0,96.0,877.0,664.0,235.0,486.0,702.0,1014.0,73.0,1140.0,668.0,1126.0
0.0,1.0,824.0,96.0,154.0,295.0,373.0,425.0,148.0,59.0,833.0,1160.0,164.0,419.0,601.0,1032.0,169.0,1354.0,560.0,1333.0
0.0,0.0,641.0,64.0,93.0,194.0,243.0,273.0,93.0,35.0,658.0,1930.0,119.0,291.0,462.0,945.0,462.0,1561.0,449.0,1487.0
0.0,0.0,352.0,17.0,27.0,68.0,118.0,105.0,41.0,9.0,310.0,3550.0,48.0,137.0,239.0,601.0,1554.0,1328.0,235.0,1261.0
0.0,0.0,76.0,1.0,4.0,9.0,18.0,17.0,2.0,2.0,52.0,1267.0,2.0,16.0,36.0,98.0,7679.0,366.0,35.0,320.0
