Barcelona,Real Madrid,Atlético Madrid,Alavés,Osasuna,Sevilla,Real Betis,Deportivo La Coruña,Levante,Racing Santander,Espanyol,Athletic Club,Real Sociedad,Getafe,Villarreal,Valencia,Celta Vigo,Rayo Vallecano,Elche,Málaga
7071.0,2667.0,150.0,5.0,5.0,2.0,31.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,59.0,2.0,2.0,1.0,0.0,0.0
2489.0,5551.0,884.0,83.0,96.0,25.0,263.0,4.0,21.0,1.0,8.0,7.0,38.0,7.0,480.0,5.0,24.0,13.0,1.0,0.0
334.0,1163.0,3087.0,487.0,584.0,220.0,1316.0,49.0,147.0,17.0,81.0,64.0,289.0,87.0,1748.0,40.0,153.0,100.0,34.0,0.0
69.0,373.0,1969.0,828.0,871.0,405.0,1490.0,111.0,276.0,34.0,204.0,136.0,533.0,199.0,1825.0,84.0,313.0,200.0,80.0,0.0
25.0,139.0,1255.0,927.0,1028.0,545.0,1457.0,183.0,384.0,74.0,321.0,262.0,646.0,278.0,1453.0,158.0,426.0,318.0,121.0,0.0
6.0,55.0,760.0,1002.0,1032.0,658.0,1104.0,295.0,526.0,118.0,412.0,356.0,794.0,393.0,1070.0,243.0,546.0,425.0,205.0,0.0
4.0,27.0,538.0,971.0,971.0,724.0,890.0,359.0,552.0,147.0,507.0,407.0,841.0,501.0,851.0,343.0,618.0,501.0,248.0,0.0
1.0,13.0,399.0,865.0,897.0,764.0,757.0,461.0,670.0,181.0,558.0,466.0,817.0,560.0,635.0,384.0,676.0,565.0,331.0,0.0
1.0,7.0,293.0,779.0,774.0,769.0,609.0,499.0,699.0,257.0,660.0,551.0,800.0,643.0,483.0,437.0,716.0,627.0,395.0,1.0
0.0,3.0,207.0,767.0,707.0,766.0,500.0,573.0,705.0,315.0,687.0,603.0,745.0,662.0,351.0,526.0,715.0,695.0,470.0,3.0
0.0,1.0,139.0,622.0,606.0,781.0,397.0,591.0,743.0,402.0,717.0,617.0,749.0,678.0,300.0,603.0,756.0,745.0,548.0,5.0
0.0,0.0,92.0,588.0,534.0,688.0,320.0,700.0,743.0,492.0,755.0,692.0,691.0,706.0,218.0,701.0,778.0,723.0,566.0,13.0
0.0,0.0,87.0,518.0,474.0,701.0,244.0,724.0,760.0,525.0,754.0,734.0,598.0,808.0,171.0,701.0,698.0,731.0,751.0,21.0
0.0,0.0,49.0,399.0,389.0,646.0,186.0,799.0,761.0,699.0,793.0,758.0,617.0,786.0,132.0,802.0,682.0,737.0,738.0,27.0
0.0,1.0,41.0,349.0,330.0,605.0,149.0,881.0,690.0,798.0,782.0,806.0,488.0,780.0,84.0,840.0,706.0,749.0,865.0,56.0
0.0,0.0,28.0,274.0,255.0,484.0,130.0,863.0,659.0,989.0,779.0,863.0,438.0,808.0,62.0,956.0,635.0,746.0,932.0,99.0
0.0,0.0,12.0,217.0,218.0,482.0,81.0,940.0,642.0,1190.0,672.0,866.0,371.0,744.0,38.0,989.0,591.0,707.0,1064.0,176.0
0.0,0.0,5.0,201.0,156.0,389.0,44.0,947.0,512.0,1439.0,666.0,869.0,284.0,685.0,23.0,1022.0,480.0,711.0,1190.0,377.0
0.0,0.0,5.0,109.0,64.0,307.0,27.0,842.0,430.0,1844.0,543.0,765.0,222.0,566.0,16.0,973.0,435.0,601.0,1206.0,1045.0
0.0,0.0,0.0,9.0,9.0,39.0,5.0,179.0,80.0,478.0,101.0,178.0,34.0,109.0,1.0,191.0,50.0,105.0,255.0,8177.0
