Internazionale,AC Milan,Napoli,Como,Juventus,AS Roma,Atalanta,Bologna,Lazio,Sassuolo,Udinese,Parma,Genoa,Torino,Cagliari,Fiorentina,Lecce,Cremonese,Pisa,Hellas Verona
9830.0,137.0,32.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
161.0,5987.0,2974.0,768.0,97.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,2675.0,4186.0,2376.0,614.0,136.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,917.0,2013.0,4007.0,2195.0,830.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,255.0,654.0,2033.0,4516.0,2269.0,272.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,29.0,136.0,756.0,2279.0,5516.0,1260.0,19.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.0,57.0,296.0,1200.0,7690.0,492.0,191.0,29.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,2.0,3.0,35.0,634.0,4652.0,2914.0,976.0,764.0,3.0,8.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1.0,83.0,2720.0,3273.0,2107.0,1672.0,16.0,61.0,57.0,2.0,7.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,17.0,1395.0,2117.0,3286.0,2629.0,69.0,232.0,204.0,13.0,35.0,2.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,2.0,642.0,1237.0,2591.0,3589.0,273.0,744.0,643.0,84.0,173.0,20.0,2.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,215.0,696.0,920.0,1158.0,3039.0,2181.0,581.0,911.0,173.0,56.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,33.0,220.0,270.0,1896.0,2428.0,2295.0,1091.0,1298.0,325.0,133.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,74.0,87.0,2293.0,1572.0,1862.0,1538.0,1679.0,597.0,286.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,16.0,25.0,2144.0,1027.0,1356.0,1981.0,1921.0,962.0,564.0,2.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,1502.0,595.0,906.0,2368.0,1868.0,1615.0,1127.0,10.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,564.0,238.0,394.0,1548.0,1356.0,3345.0,2455.0,91.0,9.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,55.0,93.0,787.0,730.0,2778.0,5058.0,380.0,37.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7.0,20.0,177.0,311.0,7257.0,2226.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,7.0,2259.0,7728.0
