AS Monaco,Paris FC,Lille,Lyon,Stade Rennais,Troyes,Lens,Marseille,Angers,Strasbourg,Brest,Paris Saint-Germain,Le Mans,Lorient,Le Havre AC,Toulouse,Nice,AJ Auxerre
186.0,29.0,454.0,202.0,118.0,72.0,2148.0,233.0,0.0,38.0,0.0,6485.0,31.0,4.0,0.0,0.0,0.0,0.0
701.0,152.0,1327.0,757.0,407.0,112.0,3275.0,739.0,0.0,178.0,1.0,2255.0,77.0,11.0,1.0,6.0,0.0,1.0
1187.0,318.0,1887.0,1218.0,785.0,170.0,1897.0,1268.0,0.0,415.0,2.0,683.0,89.0,34.0,2.0,44.0,0.0,1.0
1335.0,494.0,1633.0,1362.0,1104.0,198.0,1111.0,1428.0,2.0,685.0,14.0,309.0,110.0,102.0,11.0,94.0,1.0,7.0
1332.0,682.0,1351.0,1426.0,1303.0,213.0,676.0,1467.0,5.0,891.0,31.0,143.0,150.0,149.0,18.0,155.0,0.0,8.0
1297.0,904.0,1100.0,1355.0,1301.0,277.0,413.0,1355.0,3.0,1089.0,64.0,64.0,162.0,258.0,32.0,295.0,0.0,31.0
1206.0,1166.0,845.0,1107.0,1291.0,329.0,255.0,1119.0,23.0,1263.0,107.0,33.0,225.0,459.0,89.0,424.0,6.0,53.0
954.0,1349.0,633.0,958.0,1161.0,373.0,134.0,889.0,63.0,1369.0,237.0,13.0,226.0,692.0,146.0,692.0,4.0,107.0
696.0,1341.0,359.0,686.0,1029.0,483.0,56.0,658.0,115.0,1236.0,416.0,11.0,356.0,1000.0,296.0,1004.0,21.0,237.0
493.0,1232.0,206.0,435.0,620.0,621.0,25.0,400.0,248.0,1045.0,775.0,3.0,411.0,1295.0,478.0,1274.0,46.0,393.0
296.0,922.0,97.0,226.0,418.0,699.0,7.0,243.0,464.0,704.0,986.0,1.0,482.0,1479.0,785.0,1430.0,131.0,630.0
174.0,635.0,69.0,140.0,233.0,700.0,1.0,103.0,761.0,505.0,1311.0,0.0,525.0,1301.0,1065.0,1325.0,224.0,928.0
88.0,381.0,25.0,78.0,125.0,781.0,2.0,63.0,993.0,290.0,1504.0,0.0,590.0,1115.0,1339.0,1091.0,374.0,1161.0
36.0,223.0,8.0,32.0,62.0,738.0,0.0,22.0,1313.0,149.0,1372.0,0.0,680.0,868.0,1516.0,903.0,654.0,1424.0
11.0,99.0,6.0,10.0,24.0,794.0,0.0,9.0,1675.0,92.0,1230.0,0.0,802.0,597.0,1521.0,607.0,1009.0,1514.0
7.0,52.0,0.0,6.0,15.0,892.0,0.0,3.0,1829.0,34.0,980.0,0.0,937.0,362.0,1307.0,384.0,1665.0,1527.0
1.0,20.0,0.0,2.0,3.0,1063.0,0.0,1.0,1529.0,13.0,693.0,0.0,1332.0,211.0,958.0,202.0,2721.0,1251.0
0.0,1.0,0.0,0.0,1.0,1485.0,0.0,0.0,977.0,4.0,277.0,0.0,2815.0,63.0,436.0,70.0,3144.0,727.0
