Manchester City,Arsenal,Hull City,Chelsea,Brentford,Newcastle United,Everton,Leeds United,Brighton & Hove Albion,Manchester United,Sunderland,Ipswich Town,Liverpool,AFC Bournemouth,Nottingham Forest,Fulham,Coventry City,Crystal Palace,Aston Villa,Tottenham Hotspur
3770.0,6074.0,41.0,6.0,4.0,1.0,0.0,1.0,11.0,73.0,0.0,11.0,6.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
5419.0,3576.0,133.0,91.0,74.0,20.0,10.0,9.0,79.0,463.0,1.0,38.0,57.0,15.0,7.0,1.0,3.0,0.0,4.0,0.0
626.0,293.0,579.0,1004.0,877.0,306.0,215.0,166.0,1200.0,3144.0,36.0,167.0,767.0,300.0,133.0,34.0,34.0,1.0,118.0,0.0
124.0,42.0,433.0,1178.0,1168.0,520.0,409.0,341.0,1373.0,1978.0,90.0,167.0,1036.0,553.0,245.0,52.0,42.0,3.0,238.0,8.0
33.0,9.0,376.0,1249.0,1095.0,661.0,550.0,486.0,1225.0,1310.0,145.0,166.0,1114.0,691.0,387.0,78.0,56.0,9.0,350.0,10.0
15.0,4.0,382.0,1110.0,1098.0,731.0,666.0,599.0,1136.0,899.0,218.0,155.0,1068.0,801.0,451.0,143.0,60.0,11.0,438.0,15.0
8.0,2.0,323.0,965.0,986.0,819.0,740.0,653.0,1009.0,668.0,322.0,168.0,1040.0,880.0,592.0,195.0,71.0,20.0,518.0,21.0
3.0,0.0,356.0,898.0,931.0,898.0,789.0,724.0,844.0,463.0,396.0,184.0,877.0,893.0,688.0,276.0,59.0,44.0,635.0,42.0
1.0,0.0,392.0,777.0,785.0,922.0,888.0,804.0,753.0,326.0,433.0,180.0,790.0,860.0,764.0,344.0,97.0,69.0,757.0,58.0
0.0,0.0,360.0,653.0,711.0,860.0,914.0,866.0,619.0,236.0,597.0,211.0,768.0,896.0,817.0,439.0,88.0,90.0,776.0,99.0
0.0,0.0,378.0,560.0,615.0,801.0,882.0,873.0,493.0,158.0,733.0,248.0,617.0,872.0,910.0,614.0,99.0,125.0,863.0,159.0
0.0,0.0,411.0,482.0,460.0,834.0,866.0,878.0,417.0,117.0,837.0,272.0,512.0,804.0,924.0,741.0,135.0,215.0,895.0,200.0
1.0,0.0,464.0,346.0,415.0,730.0,821.0,893.0,313.0,72.0,949.0,346.0,469.0,677.0,930.0,875.0,166.0,294.0,902.0,337.0
0.0,0.0,540.0,275.0,322.0,606.0,713.0,825.0,193.0,40.0,1133.0,402.0,348.0,606.0,830.0,1107.0,175.0,473.0,886.0,526.0
0.0,0.0,592.0,188.0,207.0,491.0,605.0,674.0,149.0,28.0,1192.0,475.0,219.0,463.0,857.0,1229.0,280.0,757.0,849.0,745.0
0.0,0.0,677.0,117.0,121.0,399.0,414.0,526.0,111.0,18.0,1082.0,646.0,162.0,328.0,647.0,1317.0,386.0,1135.0,724.0,1190.0
0.0,0.0,798.0,72.0,83.0,224.0,297.0,364.0,49.0,7.0,868.0,807.0,94.0,213.0,431.0,1147.0,589.0,1755.0,513.0,1689.0
0.0,0.0,989.0,19.0,34.0,128.0,148.0,215.0,19.0,0.0,610.0,1121.0,45.0,107.0,251.0,827.0,973.0,2048.0,354.0,2112.0
0.0,0.0,1073.0,9.0,10.0,42.0,63.0,74.0,2.0,0.0,285.0,1956.0,11.0,34.0,113.0,468.0,1777.0,2005.0,140.0,1938.0
0.0,0.0,703.0,1.0,4.0,7.0,10.0,29.0,5.0,0.0,73.0,2280.0,0.0,6.0,23.0,113.0,4909.0,946.0,40.0,851.0
