FC Porto,Sporting CP,Arouca,Santa Clara,Benfica,Gil Vicente,Maritimo,Estrela,Braga,Moreirense,C.D. Nacional,Vitória de Guimaraes,Rio Ave,FC Famalicao,Académico de Viseu,Alverca,Estoril,Casa Pia
4911.0,3457.0,0.0,0.0,1609.0,0.0,1.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3257.0,3719.0,0.0,0.0,2907.0,3.0,3.0,0.0,110.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1710.0,2650.0,0.0,2.0,4919.0,43.0,22.0,0.0,649.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0
122.0,169.0,308.0,155.0,532.0,1514.0,282.0,24.0,6543.0,3.0,17.0,3.0,0.0,270.0,51.0,0.0,7.0,0.0
0.0,4.0,1259.0,683.0,31.0,3752.0,524.0,189.0,1786.0,38.0,184.0,69.0,5.0,1234.0,169.0,11.0,62.0,0.0
0.0,1.0,1830.0,1221.0,1.0,2029.0,612.0,452.0,554.0,164.0,435.0,191.0,29.0,2025.0,210.0,39.0,207.0,0.0
0.0,0.0,1813.0,1505.0,1.0,1116.0,629.0,724.0,197.0,253.0,730.0,387.0,68.0,1851.0,273.0,107.0,346.0,0.0
0.0,0.0,1416.0,1553.0,0.0,713.0,678.0,923.0,88.0,426.0,968.0,559.0,101.0,1496.0,315.0,179.0,585.0,0.0
0.0,0.0,1086.0,1377.0,0.0,351.0,688.0,1185.0,27.0,660.0,1168.0,813.0,194.0,1084.0,338.0,290.0,738.0,1.0
0.0,0.0,847.0,1077.0,0.0,227.0,694.0,1117.0,16.0,830.0,1333.0,961.0,293.0,770.0,373.0,446.0,1008.0,8.0
0.0,0.0,542.0,874.0,0.0,117.0,625.0,1221.0,5.0,1051.0,1214.0,1107.0,481.0,521.0,455.0,668.0,1103.0,16.0
0.0,0.0,395.0,664.0,0.0,70.0,709.0,1097.0,2.0,1128.0,1169.0,1176.0,649.0,329.0,527.0,920.0,1126.0,39.0
0.0,0.0,250.0,421.0,0.0,39.0,649.0,993.0,1.0,1314.0,989.0,1275.0,865.0,200.0,604.0,1093.0,1223.0,84.0
0.0,0.0,139.0,247.0,0.0,14.0,780.0,800.0,0.0,1336.0,736.0,1153.0,1243.0,118.0,738.0,1385.0,1140.0,171.0
0.0,0.0,70.0,122.0,0.0,8.0,798.0,640.0,0.0,1189.0,545.0,1024.0,1605.0,63.0,947.0,1547.0,1069.0,373.0
0.0,0.0,32.0,76.0,0.0,4.0,914.0,422.0,0.0,974.0,339.0,761.0,1926.0,26.0,1225.0,1633.0,832.0,836.0
0.0,0.0,12.0,22.0,0.0,0.0,877.0,177.0,0.0,515.0,145.0,430.0,1890.0,9.0,1812.0,1311.0,448.0,2352.0
0.0,0.0,1.0,1.0,0.0,0.0,515.0,36.0,0.0,119.0,28.0,91.0,651.0,2.0,1959.0,371.0,106.0,6120.0
