Palmeiras,Flamengo,Athletico Paranaense,Fluminense,Bahia,Cruzeiro,Coritiba,Atlético-MG,Red Bull Bragantino,Corinthians,São Paulo,Botafogo,Vitória,Santos,Grêmio,Mirassol,Vasco da Gama,Internacional,Remo,Chapecoense
4111.0,5877.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5756.0,4030.0,116.0,67.0,7.0,19.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
124.0,87.0,4217.0,3323.0,511.0,1240.0,39.0,345.0,49.0,1.0,10.0,52.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
8.0,5.0,2695.0,3066.0,1132.0,1797.0,128.0,732.0,186.0,13.0,23.0,201.0,0.0,4.0,8.0,2.0,0.0,0.0,0.0,0.0
1.0,1.0,1462.0,1724.0,1920.0,2095.0,325.0,1267.0,512.0,72.0,82.0,488.0,3.0,27.0,11.0,10.0,0.0,0.0,0.0,0.0
0.0,0.0,788.0,923.0,1981.0,1825.0,571.0,1731.0,844.0,184.0,241.0,789.0,11.0,51.0,25.0,35.0,1.0,0.0,0.0,0.0
0.0,0.0,402.0,475.0,1658.0,1231.0,955.0,1751.0,1185.0,382.0,433.0,1211.0,18.0,123.0,81.0,81.0,7.0,7.0,0.0,0.0
0.0,0.0,191.0,228.0,1133.0,823.0,1295.0,1435.0,1515.0,657.0,694.0,1405.0,56.0,226.0,168.0,143.0,17.0,14.0,0.0,0.0
0.0,0.0,70.0,111.0,719.0,496.0,1467.0,1090.0,1525.0,1027.0,984.0,1321.0,127.0,343.0,317.0,306.0,54.0,43.0,0.0,0.0
0.0,0.0,30.0,50.0,429.0,256.0,1450.0,695.0,1379.0,1275.0,1240.0,1302.0,214.0,577.0,507.0,424.0,101.0,65.0,6.0,0.0
0.0,0.0,11.0,16.0,254.0,134.0,1259.0,447.0,1058.0,1381.0,1442.0,1098.0,363.0,842.0,734.0,622.0,185.0,138.0,16.0,0.0
0.0,0.0,9.0,8.0,144.0,50.0,980.0,256.0,692.0,1476.0,1398.0,786.0,532.0,1062.0,1030.0,941.0,320.0,290.0,26.0,0.0
0.0,0.0,0.0,4.0,68.0,23.0,709.0,133.0,501.0,1230.0,1126.0,574.0,832.0,1296.0,1292.0,1183.0,518.0,453.0,58.0,0.0
0.0,0.0,1.0,1.0,25.0,8.0,421.0,69.0,271.0,959.0,919.0,376.0,1106.0,1419.0,1439.0,1425.0,738.0,728.0,95.0,0.0
0.0,0.0,0.0,0.0,15.0,2.0,235.0,32.0,170.0,619.0,606.0,215.0,1364.0,1371.0,1437.0,1437.0,1144.0,1102.0,251.0,0.0
0.0,0.0,0.0,0.0,2.0,1.0,107.0,9.0,75.0,400.0,430.0,117.0,1611.0,1090.0,1209.0,1352.0,1617.0,1508.0,470.0,2.0
0.0,0.0,0.0,0.0,2.0,0.0,40.0,4.0,31.0,221.0,244.0,48.0,1774.0,843.0,912.0,1068.0,1871.0,1959.0,976.0,7.0
0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,5.0,84.0,106.0,16.0,1375.0,506.0,620.0,723.0,2126.0,2323.0,2059.0,41.0
0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,19.0,22.0,1.0,606.0,219.0,208.0,246.0,1267.0,1342.0,5787.0,279.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,2.0,2.0,33.0,28.0,256.0,9671.0
