AS Roma,Internazionale,AC Milan,Juventus,Atalanta,Lazio,Udinese,Como,Frosinone,Napoli,Sassuolo,Cagliari,Lecce,Torino,Bologna,Genoa,Parma,Monza,Venezia,Fiorentina
1923.0,6106.0,77.0,582.0,68.0,2.0,1.0,1164.0,16.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3027.0,2339.0,304.0,1431.0,238.0,7.0,2.0,2366.0,30.0,254.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2281.0,972.0,671.0,2148.0,607.0,35.0,21.0,2524.0,41.0,681.0,6.0,0.0,0.0,0.0,4.0,0.0,0.0,7.0,2.0,0.0
1465.0,392.0,1176.0,2344.0,1116.0,116.0,69.0,1931.0,65.0,1278.0,20.0,0.0,0.0,0.0,10.0,1.0,0.0,13.0,4.0,0.0
716.0,123.0,1940.0,1663.0,1779.0,330.0,187.0,1092.0,145.0,1876.0,57.0,5.0,0.0,3.0,42.0,1.0,0.0,30.0,9.0,2.0
367.0,49.0,1949.0,1014.0,2110.0,753.0,444.0,574.0,229.0,2148.0,154.0,24.0,2.0,2.0,98.0,10.0,0.0,49.0,15.0,9.0
156.0,15.0,1873.0,542.0,2041.0,1207.0,877.0,244.0,314.0,1832.0,355.0,89.0,6.0,12.0,263.0,38.0,2.0,72.0,39.0,23.0
47.0,1.0,1072.0,180.0,1064.0,2191.0,1636.0,70.0,458.0,1025.0,891.0,244.0,17.0,49.0,643.0,109.0,7.0,152.0,80.0,64.0
9.0,2.0,505.0,72.0,542.0,1828.0,1923.0,26.0,611.0,483.0,1410.0,532.0,53.0,164.0,1082.0,263.0,16.0,221.0,99.0,159.0
6.0,1.0,245.0,15.0,254.0,1383.0,1671.0,8.0,657.0,196.0,1568.0,837.0,162.0,285.0,1434.0,484.0,54.0,268.0,142.0,330.0
2.0,0.0,114.0,7.0,96.0,933.0,1159.0,1.0,667.0,111.0,1536.0,1139.0,261.0,505.0,1570.0,740.0,136.0,310.0,206.0,507.0
1.0,0.0,49.0,1.0,52.0,561.0,810.0,0.0,672.0,39.0,1306.0,1390.0,438.0,723.0,1393.0,994.0,266.0,320.0,223.0,762.0
0.0,0.0,17.0,0.0,19.0,309.0,483.0,0.0,706.0,12.0,1008.0,1391.0,712.0,986.0,1101.0,1204.0,416.0,379.0,297.0,960.0
0.0,0.0,4.0,0.0,10.0,172.0,318.0,0.0,672.0,2.0,637.0,1247.0,953.0,1133.0,867.0,1320.0,648.0,458.0,340.0,1219.0
0.0,0.0,1.0,1.0,4.0,82.0,205.0,0.0,718.0,1.0,440.0,1044.0,1214.0,1330.0,589.0,1284.0,887.0,524.0,393.0,1283.0
0.0,0.0,3.0,0.0,0.0,46.0,103.0,0.0,740.0,1.0,311.0,792.0,1416.0,1330.0,392.0,1219.0,1238.0,586.0,486.0,1337.0
0.0,0.0,0.0,0.0,0.0,30.0,47.0,0.0,778.0,0.0,171.0,638.0,1554.0,1197.0,269.0,973.0,1714.0,740.0,652.0,1237.0
0.0,0.0,0.0,0.0,0.0,12.0,26.0,0.0,831.0,1.0,82.0,379.0,1592.0,1140.0,157.0,754.0,2001.0,1029.0,941.0,1055.0
0.0,0.0,0.0,0.0,0.0,3.0,17.0,0.0,914.0,0.0,40.0,207.0,1206.0,809.0,73.0,442.0,1747.0,1935.0,1851.0,756.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,736.0,0.0,7.0,42.0,414.0,332.0,13.0,164.0,868.0,2905.0,4221.0,297.0
