Barcelona,Real Madrid,Atlético Madrid,Alavés,Osasuna,Sevilla,Real Betis,Deportivo La Coruña,Levante,Racing Santander,Espanyol,Athletic Club,Real Sociedad,Getafe,Villarreal,Valencia,Celta Vigo,Rayo Vallecano,Elche,Málaga
7667.0,2297.0,19.0,0.0,0.0,0.0,1.0,7.0,0.0,2.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0
2246.0,7102.0,310.0,1.0,3.0,0.0,58.0,36.0,2.0,27.0,0.0,0.0,1.0,0.0,208.0,0.0,0.0,2.0,0.0,4.0
80.0,502.0,4189.0,154.0,209.0,22.0,1250.0,293.0,23.0,211.0,14.0,5.0,91.0,7.0,2824.0,3.0,68.0,17.0,4.0,34.0
5.0,83.0,2615.0,410.0,478.0,109.0,1949.0,296.0,105.0,276.0,42.0,18.0,298.0,39.0,2832.0,33.0,262.0,88.0,13.0,49.0
2.0,10.0,1392.0,773.0,895.0,259.0,2113.0,435.0,242.0,319.0,123.0,50.0,575.0,107.0,1845.0,73.0,417.0,235.0,48.0,87.0
0.0,4.0,676.0,1118.0,1172.0,474.0,1476.0,445.0,467.0,334.0,243.0,123.0,862.0,206.0,997.0,150.0,672.0,390.0,113.0,78.0
0.0,1.0,356.0,1155.0,1236.0,630.0,1003.0,423.0,617.0,322.0,326.0,211.0,979.0,305.0,531.0,252.0,846.0,531.0,171.0,105.0
0.0,1.0,199.0,1097.0,1098.0,717.0,676.0,383.0,698.0,322.0,503.0,303.0,1006.0,397.0,304.0,336.0,934.0,631.0,263.0,132.0
0.0,0.0,103.0,960.0,996.0,825.0,492.0,390.0,750.0,313.0,616.0,363.0,940.0,488.0,201.0,456.0,952.0,704.0,329.0,122.0
0.0,0.0,59.0,922.0,875.0,808.0,319.0,380.0,806.0,333.0,698.0,456.0,876.0,610.0,106.0,550.0,900.0,751.0,407.0,144.0
0.0,0.0,36.0,730.0,692.0,838.0,246.0,403.0,846.0,336.0,802.0,543.0,816.0,676.0,61.0,625.0,864.0,795.0,545.0,146.0
0.0,0.0,19.0,662.0,592.0,871.0,145.0,364.0,852.0,344.0,830.0,673.0,787.0,776.0,43.0,722.0,753.0,799.0,564.0,204.0
0.0,0.0,6.0,523.0,469.0,794.0,105.0,383.0,819.0,368.0,883.0,795.0,651.0,865.0,19.0,784.0,754.0,850.0,719.0,213.0
0.0,0.0,9.0,431.0,387.0,750.0,77.0,455.0,806.0,402.0,910.0,828.0,558.0,888.0,13.0,920.0,629.0,816.0,887.0,234.0
0.0,0.0,6.0,378.0,310.0,818.0,41.0,488.0,741.0,445.0,864.0,967.0,462.0,938.0,4.0,917.0,564.0,826.0,945.0,286.0
0.0,0.0,2.0,281.0,218.0,726.0,22.0,494.0,688.0,559.0,840.0,1048.0,397.0,1019.0,2.0,971.0,524.0,792.0,1069.0,348.0
0.0,0.0,2.0,191.0,167.0,531.0,9.0,702.0,631.0,656.0,880.0,1171.0,308.0,979.0,2.0,1095.0,395.0,666.0,1131.0,484.0
0.0,0.0,2.0,121.0,122.0,453.0,12.0,933.0,475.0,1016.0,744.0,1117.0,221.0,857.0,1.0,1020.0,274.0,598.0,1322.0,712.0
0.0,0.0,0.0,76.0,60.0,276.0,5.0,1421.0,321.0,1594.0,503.0,953.0,129.0,627.0,0.0,811.0,152.0,404.0,1038.0,1630.0
0.0,0.0,0.0,17.0,21.0,99.0,1.0,1269.0,111.0,1821.0,179.0,376.0,43.0,216.0,0.0,282.0,40.0,105.0,432.0,4988.0
