AZ Alkmaar,PSV Eindhoven,Feyenoord Rotterdam,Ajax Amsterdam,Go Ahead Eagles,Fortuna Sittard,NEC Nijmegen,Excelsior,FC Twente,FC Groningen,Heerenveen,Sparta Rotterdam,Telstar,PEC Zwolle,Willem II,ADO Den Haag,FC Utrecht,SC Cambuur
367.0,8254.0,246.0,623.0,2.0,0.0,217.0,1.0,288.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
1747.0,1198.0,1381.0,2885.0,51.0,2.0,1209.0,19.0,1439.0,26.0,26.0,0.0,1.0,0.0,6.0,4.0,5.0,1.0
1958.0,347.0,1741.0,2152.0,156.0,8.0,1644.0,50.0,1700.0,120.0,77.0,0.0,3.0,0.0,12.0,9.0,20.0,3.0
1873.0,133.0,1835.0,1658.0,303.0,36.0,1773.0,111.0,1809.0,227.0,159.0,0.0,13.0,0.0,14.0,7.0,43.0,6.0
1543.0,51.0,1768.0,1194.0,601.0,85.0,1797.0,225.0,1744.0,409.0,353.0,6.0,64.0,0.0,29.0,16.0,106.0,9.0
1193.0,15.0,1433.0,786.0,1016.0,171.0,1551.0,531.0,1424.0,758.0,672.0,10.0,113.0,0.0,46.0,25.0,241.0,15.0
671.0,1.0,787.0,389.0,1633.0,417.0,852.0,970.0,800.0,1313.0,1148.0,32.0,302.0,13.0,74.0,52.0,528.0,18.0
330.0,0.0,418.0,193.0,1646.0,688.0,464.0,1260.0,399.0,1560.0,1444.0,86.0,454.0,26.0,108.0,95.0,807.0,22.0
182.0,1.0,190.0,62.0,1425.0,975.0,260.0,1401.0,212.0,1451.0,1450.0,185.0,750.0,55.0,126.0,122.0,1117.0,36.0
71.0,0.0,124.0,28.0,1122.0,1229.0,135.0,1422.0,107.0,1307.0,1384.0,330.0,1010.0,136.0,149.0,134.0,1260.0,52.0
39.0,0.0,50.0,27.0,815.0,1429.0,62.0,1266.0,42.0,1082.0,1161.0,539.0,1293.0,234.0,209.0,214.0,1453.0,85.0
16.0,0.0,23.0,2.0,605.0,1497.0,22.0,1094.0,25.0,777.0,904.0,961.0,1559.0,445.0,271.0,267.0,1409.0,123.0
7.0,0.0,3.0,1.0,357.0,1467.0,11.0,807.0,6.0,527.0,642.0,1453.0,1609.0,827.0,398.0,396.0,1300.0,189.0
2.0,0.0,1.0,0.0,172.0,1061.0,3.0,512.0,4.0,263.0,355.0,2181.0,1412.0,1589.0,584.0,596.0,926.0,339.0
1.0,0.0,0.0,0.0,72.0,618.0,0.0,231.0,1.0,131.0,149.0,2221.0,871.0,2668.0,978.0,916.0,490.0,653.0
0.0,0.0,0.0,0.0,23.0,247.0,0.0,81.0,0.0,37.0,63.0,1349.0,420.0,2490.0,1910.0,1855.0,221.0,1304.0
0.0,0.0,0.0,0.0,1.0,64.0,0.0,19.0,0.0,10.0,11.0,540.0,108.0,1258.0,2638.0,2698.0,67.0,2586.0
0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,2.0,2.0,107.0,18.0,259.0,2446.0,2594.0,7.0,4559.0
