Arsenal,Manchester City,Manchester United,Liverpool,Aston Villa,Brentford,Brighton & Hove Albion,AFC Bournemouth,Chelsea,Fulham,Everton,Sunderland,Newcastle United,Crystal Palace,Leeds United,Nottingham Forest,West Ham United,Tottenham Hotspur,Burnley,Wolverhampton Wanderers
374.0,126.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126.0,374.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,385.0,82.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,98.0,234.0,168.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,17.0,182.0,292.0,2.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,2.0,7.0,81.0,143.0,86.0,143.0,24.0,11.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,75.0,146.0,95.0,94.0,45.0,35.0,5.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,143.0,87.0,74.0,81.0,39.0,57.0,7.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,83.0,65.0,80.0,67.0,81.0,81.0,15.0,15.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,77.0,39.0,80.0,54.0,86.0,84.0,37.0,31.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,34.0,12.0,52.0,33.0,102.0,117.0,49.0,74.0,12.0,13.0,2.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,4.0,5.0,18.0,14.0,64.0,63.0,130.0,115.0,50.0,34.0,3.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1.0,1.0,10.0,5.0,45.0,28.0,124.0,135.0,88.0,55.0,8.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,11.0,17.0,94.0,76.0,147.0,113.0,35.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,7.0,38.0,35.0,136.0,191.0,79.0,5.0,4.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,37.0,85.0,302.0,29.0,39.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,62.0,173.0,259.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,293.0,198.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,376.0,124.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.0,376.0
