Palmeiras,Flamengo,Fluminense,São Paulo,Athletico Paranaense,Bahia,Coritiba,Red Bull Bragantino,Botafogo,Vasco da Gama,Grêmio,Cruzeiro,Vitória,Corinthians,Atlético-MG,Internacional,Santos,Remo,Mirassol,Chapecoense
234.0,259.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
230.0,204.0,39.0,16.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26.0,30.0,222.0,102.0,63.0,40.0,5.0,4.0,4.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,6.0,109.0,131.0,96.0,83.0,15.0,14.0,14.0,6.0,8.0,3.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0
0.0,1.0,63.0,103.0,104.0,92.0,28.0,21.0,27.0,18.0,15.0,9.0,4.0,5.0,1.0,7.0,2.0,0.0,0.0,0.0
0.0,0.0,24.0,68.0,86.0,95.0,38.0,48.0,39.0,30.0,21.0,19.0,3.0,8.0,3.0,9.0,8.0,0.0,1.0,0.0
0.0,0.0,19.0,46.0,52.0,64.0,51.0,53.0,56.0,30.0,42.0,20.0,10.0,16.0,6.0,22.0,12.0,1.0,0.0,0.0
0.0,0.0,1.0,21.0,34.0,47.0,66.0,63.0,58.0,40.0,33.0,41.0,24.0,15.0,8.0,22.0,23.0,0.0,4.0,0.0
0.0,0.0,6.0,6.0,26.0,27.0,67.0,61.0,64.0,43.0,57.0,33.0,18.0,24.0,9.0,32.0,22.0,2.0,3.0,0.0
0.0,0.0,4.0,2.0,10.0,17.0,54.0,43.0,48.0,57.0,54.0,41.0,34.0,39.0,20.0,34.0,34.0,3.0,6.0,0.0
0.0,0.0,4.0,2.0,8.0,11.0,51.0,46.0,50.0,43.0,52.0,41.0,33.0,40.0,15.0,63.0,35.0,4.0,2.0,0.0
0.0,0.0,3.0,1.0,9.0,7.0,28.0,32.0,40.0,50.0,54.0,55.0,46.0,43.0,29.0,40.0,43.0,12.0,8.0,0.0
0.0,0.0,0.0,0.0,3.0,4.0,26.0,29.0,29.0,54.0,35.0,49.0,52.0,49.0,34.0,55.0,57.0,11.0,13.0,0.0
0.0,0.0,0.0,0.0,2.0,4.0,28.0,23.0,26.0,36.0,38.0,53.0,61.0,53.0,51.0,47.0,47.0,17.0,13.0,1.0
0.0,0.0,0.0,1.0,0.0,1.0,22.0,22.0,20.0,31.0,32.0,51.0,49.0,51.0,55.0,50.0,43.0,29.0,43.0,0.0
0.0,0.0,0.0,0.0,1.0,1.0,14.0,26.0,13.0,20.0,19.0,37.0,54.0,53.0,74.0,43.0,63.0,39.0,43.0,0.0
0.0,0.0,0.0,1.0,0.0,0.0,4.0,7.0,9.0,22.0,22.0,19.0,54.0,53.0,76.0,45.0,49.0,58.0,75.0,6.0
0.0,0.0,0.0,0.0,0.0,1.0,2.0,7.0,2.0,12.0,9.0,21.0,38.0,31.0,71.0,12.0,42.0,108.0,127.0,17.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,7.0,7.0,8.0,16.0,17.0,42.0,17.0,14.0,194.0,126.0,49.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,6.0,0.0,6.0,22.0,36.0,427.0
