Bayern Munich,SC Freiburg,FC Augsburg,RB Leipzig,Borussia Dortmund,SV Elversberg,FC Cologne,Eintracht Frankfurt,1. FC Union Berlin,Mainz,SC Paderborn 07,Bayer Leverkusen,TSG Hoffenheim,Hamburg SV,Werder Bremen,Borussia Mönchengladbach,Schalke 04,VfB Stuttgart
8260.0,26.0,8.0,294.0,1034.0,103.0,2.0,7.0,2.0,5.0,0.0,118.0,33.0,0.0,0.0,2.0,0.0,106.0
1240.0,236.0,104.0,1679.0,3659.0,782.0,66.0,124.0,29.0,81.0,0.0,873.0,279.0,28.0,6.0,38.0,0.0,776.0
330.0,488.0,198.0,1924.0,2062.0,1123.0,166.0,306.0,81.0,205.0,3.0,1239.0,588.0,59.0,15.0,82.0,0.0,1131.0
95.0,673.0,300.0,1555.0,1180.0,1279.0,279.0,468.0,148.0,325.0,14.0,1356.0,747.0,102.0,36.0,165.0,0.0,1278.0
41.0,816.0,453.0,1171.0,706.0,1230.0,386.0,559.0,229.0,487.0,21.0,1279.0,898.0,185.0,73.0,272.0,0.0,1194.0
22.0,888.0,550.0,911.0,493.0,1149.0,535.0,689.0,276.0,572.0,42.0,1133.0,914.0,283.0,139.0,362.0,0.0,1042.0
5.0,952.0,653.0,683.0,289.0,949.0,619.0,830.0,388.0,724.0,50.0,965.0,929.0,369.0,200.0,461.0,0.0,934.0
4.0,917.0,745.0,509.0,209.0,831.0,723.0,870.0,522.0,712.0,122.0,750.0,985.0,479.0,231.0,567.0,0.0,824.0
2.0,947.0,845.0,379.0,136.0,673.0,785.0,920.0,607.0,814.0,161.0,617.0,868.0,570.0,294.0,703.0,0.0,679.0
1.0,808.0,919.0,307.0,90.0,514.0,974.0,889.0,698.0,799.0,235.0,493.0,808.0,685.0,426.0,758.0,0.0,596.0
0.0,763.0,905.0,205.0,56.0,439.0,948.0,877.0,902.0,877.0,285.0,373.0,729.0,795.0,567.0,868.0,0.0,411.0
0.0,665.0,933.0,161.0,49.0,326.0,926.0,895.0,920.0,937.0,415.0,282.0,613.0,925.0,649.0,942.0,0.0,362.0
0.0,576.0,898.0,101.0,23.0,245.0,916.0,754.0,1062.0,914.0,630.0,207.0,556.0,1015.0,841.0,1004.0,0.0,258.0
0.0,493.0,776.0,65.0,8.0,163.0,880.0,671.0,1029.0,865.0,923.0,164.0,428.0,1136.0,1176.0,1045.0,0.0,178.0
0.0,379.0,741.0,38.0,4.0,104.0,754.0,548.0,1190.0,756.0,1339.0,83.0,303.0,1207.0,1422.0,1013.0,0.0,119.0
0.0,239.0,610.0,14.0,1.0,65.0,645.0,383.0,1080.0,546.0,2082.0,52.0,211.0,1170.0,1825.0,993.0,1.0,83.0
0.0,134.0,362.0,4.0,1.0,25.0,395.0,210.0,835.0,381.0,3656.0,16.0,111.0,989.0,2089.0,724.0,39.0,29.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,22.0,0.0,0.0,3.0,11.0,1.0,9960.0,0.0
