AS Monaco,Paris FC,Lille,Lyon,Stade Rennais,Troyes,Lens,Marseille,Angers,Strasbourg,Brest,Paris Saint-Germain,Le Mans,Lorient,Le Havre AC,Toulouse,Nice,AJ Auxerre
737.0,215.0,937.0,602.0,358.0,76.0,2033.0,562.0,5.0,205.0,11.0,4167.0,0.0,39.0,4.0,36.0,2.0,11.0
1090.0,354.0,1220.0,934.0,606.0,176.0,2006.0,876.0,23.0,392.0,27.0,2090.0,1.0,84.0,25.0,76.0,4.0,16.0
1186.0,527.0,1279.0,1078.0,787.0,293.0,1519.0,1003.0,29.0,559.0,60.0,1320.0,4.0,130.0,42.0,141.0,8.0,35.0
1207.0,655.0,1182.0,1090.0,932.0,418.0,1181.0,1021.0,47.0,645.0,111.0,869.0,14.0,264.0,77.0,233.0,14.0,40.0
1042.0,827.0,1153.0,1014.0,1031.0,551.0,863.0,1036.0,97.0,800.0,174.0,561.0,13.0,289.0,118.0,309.0,37.0,85.0
985.0,894.0,957.0,985.0,987.0,731.0,666.0,968.0,143.0,868.0,220.0,348.0,47.0,424.0,186.0,432.0,46.0,113.0
904.0,860.0,797.0,912.0,968.0,786.0,564.0,910.0,208.0,894.0,315.0,256.0,59.0,538.0,243.0,526.0,62.0,198.0
753.0,882.0,631.0,823.0,923.0,870.0,369.0,871.0,312.0,911.0,440.0,137.0,88.0,634.0,338.0,673.0,111.0,234.0
633.0,911.0,532.0,652.0,816.0,941.0,285.0,724.0,349.0,865.0,508.0,109.0,146.0,759.0,441.0,762.0,199.0,368.0
438.0,888.0,407.0,563.0,645.0,896.0,191.0,611.0,547.0,846.0,695.0,64.0,193.0,823.0,614.0,847.0,247.0,485.0
299.0,746.0,300.0,463.0,563.0,962.0,132.0,431.0,702.0,763.0,771.0,33.0,336.0,896.0,725.0,929.0,366.0,583.0
278.0,636.0,219.0,299.0,434.0,883.0,91.0,350.0,791.0,631.0,915.0,28.0,442.0,1013.0,897.0,896.0,478.0,719.0
170.0,499.0,145.0,241.0,349.0,758.0,45.0,244.0,1022.0,533.0,1034.0,10.0,573.0,941.0,982.0,936.0,642.0,876.0
129.0,431.0,114.0,161.0,266.0,597.0,30.0,173.0,1130.0,389.0,1094.0,4.0,775.0,871.0,1031.0,881.0,886.0,1038.0
76.0,290.0,58.0,96.0,169.0,440.0,16.0,113.0,1239.0,309.0,1079.0,4.0,1028.0,790.0,1114.0,832.0,1129.0,1218.0
44.0,210.0,39.0,56.0,85.0,323.0,9.0,68.0,1240.0,223.0,1058.0,0.0,1384.0,639.0,1180.0,667.0,1425.0,1350.0
21.0,128.0,23.0,21.0,62.0,198.0,0.0,27.0,1193.0,112.0,881.0,0.0,1986.0,523.0,1094.0,518.0,1907.0,1306.0
8.0,47.0,7.0,10.0,19.0,101.0,0.0,12.0,923.0,55.0,607.0,0.0,2911.0,343.0,889.0,306.0,2437.0,1325.0
