Manchester City,Arsenal,Hull City,Chelsea,Brentford,Newcastle United,Everton,Leeds United,Brighton & Hove Albion,Manchester United,Sunderland,Ipswich Town,Liverpool,AFC Bournemouth,Nottingham Forest,Fulham,Coventry City,Crystal Palace,Aston Villa,Tottenham Hotspur
3427.0,3851.0,1872.0,170.0,72.0,37.0,34.0,16.0,74.0,291.0,7.0,0.0,85.0,22.0,12.0,4.0,0.0,2.0,23.0,1.0
2670.0,2664.0,2363.0,446.0,280.0,125.0,92.0,87.0,229.0,612.0,21.0,0.0,195.0,99.0,39.0,16.0,0.0,5.0,55.0,2.0
1669.0,1604.0,2151.0,744.0,551.0,285.0,221.0,219.0,499.0,1012.0,61.0,1.0,449.0,225.0,109.0,31.0,0.0,15.0,143.0,11.0
903.0,763.0,1257.0,1096.0,844.0,501.0,392.0,367.0,744.0,1278.0,140.0,1.0,644.0,391.0,229.0,83.0,0.0,27.0,300.0,40.0
517.0,470.0,813.0,1116.0,939.0,627.0,510.0,499.0,863.0,1246.0,240.0,6.0,749.0,464.0,335.0,120.0,0.0,41.0,387.0,58.0
301.0,259.0,528.0,1075.0,948.0,713.0,606.0,586.0,934.0,1063.0,327.0,10.0,865.0,546.0,424.0,199.0,0.0,68.0,448.0,100.0
177.0,136.0,341.0,1028.0,879.0,801.0,675.0,646.0,917.0,877.0,375.0,5.0,918.0,707.0,470.0,255.0,0.0,122.0,540.0,131.0
133.0,105.0,221.0,802.0,873.0,832.0,758.0,763.0,846.0,779.0,459.0,25.0,866.0,725.0,587.0,327.0,0.0,140.0,578.0,181.0
80.0,56.0,163.0,768.0,796.0,799.0,804.0,766.0,816.0,650.0,548.0,32.0,791.0,765.0,628.0,414.0,0.0,189.0,714.0,221.0
48.0,36.0,121.0,607.0,731.0,852.0,775.0,787.0,719.0,557.0,624.0,58.0,795.0,761.0,734.0,479.0,0.0,262.0,755.0,299.0
36.0,23.0,58.0,491.0,672.0,815.0,836.0,827.0,698.0,434.0,687.0,78.0,709.0,792.0,775.0,558.0,0.0,357.0,762.0,392.0
17.0,18.0,44.0,471.0,562.0,723.0,845.0,787.0,597.0,335.0,800.0,117.0,673.0,818.0,810.0,640.0,0.0,465.0,799.0,479.0
11.0,7.0,29.0,341.0,498.0,705.0,741.0,778.0,569.0,294.0,874.0,191.0,622.0,774.0,828.0,821.0,0.0,496.0,843.0,578.0
6.0,4.0,17.0,282.0,426.0,580.0,712.0,720.0,454.0,212.0,946.0,276.0,531.0,742.0,951.0,907.0,0.0,718.0,762.0,754.0
4.0,3.0,8.0,224.0,335.0,523.0,658.0,666.0,381.0,163.0,983.0,451.0,390.0,661.0,838.0,1056.0,0.0,944.0,776.0,936.0
0.0,1.0,6.0,171.0,279.0,457.0,562.0,595.0,283.0,94.0,967.0,716.0,309.0,583.0,810.0,1114.0,0.0,1152.0,755.0,1146.0
0.0,0.0,6.0,107.0,193.0,325.0,396.0,442.0,212.0,63.0,879.0,1176.0,234.0,491.0,666.0,1224.0,0.0,1483.0,622.0,1481.0
1.0,0.0,2.0,46.0,93.0,204.0,260.0,306.0,125.0,29.0,699.0,2114.0,129.0,290.0,515.0,1101.0,9.0,1841.0,477.0,1759.0
0.0,0.0,0.0,15.0,29.0,96.0,123.0,143.0,39.0,11.0,361.0,4649.0,46.0,144.0,240.0,645.0,133.0,1652.0,260.0,1414.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,94.0,0.0,0.0,0.0,6.0,9858.0,21.0,1.0,17.0
