Barcelona,Real Madrid,Atlético Madrid,Alavés,Osasuna,Sevilla,Real Betis,Deportivo La Coruña,Levante,Racing Santander,Espanyol,Athletic Club,Real Sociedad,Getafe,Villarreal,Valencia,Celta Vigo,Rayo Vallecano,Elche,Málaga
7030.0,2695.0,144.0,8.0,5.0,2.0,40.0,12.0,0.0,0.0,0.0,1.0,1.0,1.0,59.0,1.0,1.0,0.0,0.0,0.0
2441.0,5442.0,891.0,81.0,88.0,27.0,273.0,145.0,12.0,7.0,8.0,6.0,29.0,13.0,493.0,5.0,15.0,12.0,12.0,0.0
390.0,1130.0,2781.0,507.0,520.0,174.0,1158.0,710.0,112.0,48.0,80.0,47.0,240.0,94.0,1714.0,40.0,128.0,96.0,31.0,0.0
95.0,400.0,1797.0,724.0,769.0,335.0,1324.0,982.0,200.0,173.0,172.0,99.0,462.0,156.0,1710.0,92.0,253.0,170.0,87.0,0.0
29.0,179.0,1231.0,826.0,902.0,444.0,1287.0,1046.0,308.0,218.0,244.0,205.0,562.0,277.0,1377.0,149.0,337.0,272.0,107.0,0.0
10.0,72.0,879.0,890.0,926.0,534.0,1091.0,1066.0,383.0,284.0,329.0,276.0,666.0,346.0,1074.0,204.0,423.0,376.0,171.0,0.0
3.0,33.0,608.0,839.0,912.0,643.0,972.0,961.0,484.0,352.0,428.0,347.0,683.0,497.0,804.0,283.0,532.0,398.0,221.0,0.0
0.0,21.0,454.0,838.0,820.0,668.0,805.0,821.0,556.0,459.0,528.0,420.0,743.0,550.0,640.0,351.0,567.0,460.0,299.0,0.0
2.0,14.0,318.0,785.0,819.0,663.0,663.0,728.0,644.0,530.0,541.0,474.0,768.0,592.0,512.0,400.0,644.0,546.0,357.0,0.0
0.0,7.0,249.0,760.0,773.0,798.0,497.0,693.0,666.0,583.0,549.0,513.0,720.0,632.0,424.0,490.0,641.0,591.0,414.0,0.0
0.0,2.0,192.0,677.0,662.0,753.0,477.0,573.0,740.0,630.0,656.0,606.0,733.0,632.0,309.0,521.0,659.0,646.0,532.0,0.0
0.0,2.0,144.0,606.0,587.0,719.0,354.0,571.0,731.0,697.0,725.0,625.0,732.0,704.0,218.0,622.0,724.0,685.0,554.0,0.0
0.0,1.0,127.0,560.0,509.0,728.0,320.0,409.0,707.0,777.0,787.0,721.0,647.0,705.0,196.0,715.0,737.0,726.0,628.0,0.0
0.0,1.0,67.0,473.0,413.0,706.0,208.0,383.0,794.0,832.0,799.0,818.0,628.0,761.0,157.0,759.0,720.0,791.0,689.0,1.0
0.0,1.0,43.0,405.0,426.0,694.0,203.0,262.0,771.0,824.0,819.0,832.0,596.0,767.0,114.0,891.0,753.0,764.0,834.0,1.0
0.0,0.0,31.0,344.0,304.0,648.0,147.0,238.0,759.0,871.0,839.0,898.0,543.0,847.0,85.0,920.0,716.0,829.0,980.0,1.0
0.0,0.0,23.0,314.0,237.0,581.0,103.0,189.0,752.0,879.0,791.0,957.0,517.0,857.0,63.0,1050.0,746.0,842.0,1098.0,1.0
0.0,0.0,12.0,225.0,199.0,481.0,46.0,125.0,729.0,889.0,885.0,1021.0,409.0,800.0,25.0,1145.0,755.0,898.0,1348.0,8.0
0.0,0.0,9.0,137.0,129.0,400.0,32.0,85.0,644.0,930.0,816.0,1124.0,318.0,763.0,26.0,1340.0,641.0,888.0,1619.0,99.0
0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,8.0,17.0,4.0,10.0,3.0,6.0,0.0,22.0,8.0,10.0,19.0,9889.0
