FC Porto,Sporting CP,Arouca,Santa Clara,Benfica,Gil Vicente,Maritimo,Estrela,Braga,Moreirense,C.D. Nacional,Vitória de Guimaraes,Rio Ave,FC Famalicao,Académico de Viseu,Alverca,Estoril,Casa Pia
3841.0,4099.0,2.0,1.0,1943.0,13.0,0.0,0.0,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3326.0,3300.0,28.0,4.0,2913.0,75.0,0.0,3.0,343.0,0.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0
2214.0,2127.0,136.0,65.0,3830.0,323.0,48.0,22.0,1142.0,7.0,15.0,4.0,0.0,63.0,0.0,0.0,4.0,0.0
505.0,382.0,901.0,484.0,977.0,1697.0,335.0,200.0,3728.0,64.0,131.0,72.0,12.0,442.0,0.0,25.0,44.0,1.0
87.0,67.0,1528.0,954.0,223.0,2063.0,707.0,474.0,1991.0,174.0,340.0,184.0,42.0,967.0,1.0,56.0,142.0,0.0
25.0,14.0,1512.0,1172.0,65.0,1672.0,1022.0,635.0,1047.0,284.0,591.0,326.0,96.0,1135.0,5.0,117.0,272.0,10.0
2.0,9.0,1328.0,1258.0,33.0,1147.0,1080.0,794.0,635.0,427.0,733.0,452.0,182.0,1287.0,11.0,223.0,391.0,8.0
0.0,1.0,1116.0,1176.0,8.0,897.0,1176.0,930.0,405.0,597.0,834.0,628.0,250.0,1140.0,22.0,310.0,487.0,23.0
0.0,1.0,909.0,1105.0,6.0,654.0,1086.0,1028.0,238.0,710.0,957.0,796.0,349.0,1035.0,25.0,408.0,646.0,47.0
0.0,0.0,727.0,888.0,2.0,470.0,1050.0,1029.0,157.0,889.0,1043.0,907.0,488.0,955.0,54.0,555.0,717.0,69.0
0.0,0.0,537.0,840.0,0.0,330.0,898.0,954.0,90.0,1006.0,1014.0,966.0,686.0,872.0,108.0,712.0,891.0,96.0
0.0,0.0,425.0,663.0,0.0,259.0,743.0,991.0,51.0,1060.0,1021.0,1065.0,842.0,673.0,184.0,904.0,966.0,153.0
0.0,0.0,340.0,494.0,0.0,168.0,668.0,896.0,30.0,1067.0,923.0,1099.0,991.0,552.0,280.0,1068.0,1162.0,262.0
0.0,0.0,249.0,424.0,0.0,138.0,481.0,732.0,29.0,1183.0,861.0,1050.0,1142.0,356.0,486.0,1205.0,1175.0,489.0
0.0,0.0,138.0,256.0,0.0,60.0,358.0,601.0,10.0,1038.0,729.0,997.0,1442.0,262.0,735.0,1371.0,1181.0,822.0
0.0,0.0,82.0,136.0,0.0,24.0,229.0,431.0,2.0,822.0,459.0,816.0,1589.0,173.0,1401.0,1427.0,1014.0,1395.0
0.0,0.0,37.0,61.0,0.0,9.0,101.0,207.0,0.0,502.0,262.0,458.0,1184.0,69.0,2768.0,1054.0,607.0,2681.0
0.0,0.0,5.0,19.0,0.0,1.0,18.0,73.0,1.0,170.0,86.0,180.0,705.0,12.0,3920.0,565.0,301.0,3944.0
