AS Roma,Internazionale,AC Milan,Juventus,Atalanta,Lazio,Udinese,Como,Frosinone,Napoli,Sassuolo,Cagliari,Lecce,Torino,Bologna,Genoa,Parma,Monza,Venezia,Fiorentina
2008.0,4709.0,273.0,1060.0,299.0,48.0,27.0,1196.0,130.0,232.0,7.0,4.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,1.0
2125.0,2233.0,570.0,1598.0,583.0,158.0,68.0,1774.0,349.0,475.0,32.0,6.0,1.0,3.0,13.0,8.0,1.0,0.0,0.0,3.0
1746.0,1305.0,840.0,1699.0,884.0,274.0,128.0,1700.0,580.0,721.0,50.0,21.0,2.0,2.0,32.0,11.0,0.0,0.0,0.0,5.0
1334.0,766.0,1058.0,1544.0,1117.0,426.0,232.0,1506.0,767.0,951.0,110.0,54.0,5.0,11.0,76.0,26.0,3.0,0.0,0.0,14.0
974.0,424.0,1185.0,1260.0,1248.0,678.0,375.0,1178.0,980.0,1109.0,202.0,102.0,17.0,23.0,152.0,52.0,8.0,0.0,0.0,33.0
655.0,245.0,1212.0,906.0,1283.0,873.0,539.0,909.0,1143.0,1265.0,339.0,169.0,40.0,43.0,228.0,81.0,19.0,0.0,0.0,51.0
425.0,131.0,1162.0,661.0,1182.0,1020.0,714.0,636.0,1184.0,1242.0,482.0,283.0,71.0,92.0,386.0,160.0,41.0,0.0,0.0,128.0
298.0,89.0,1012.0,491.0,976.0,1067.0,919.0,437.0,1214.0,1097.0,699.0,418.0,121.0,135.0,512.0,265.0,66.0,0.0,0.0,184.0
180.0,45.0,832.0,315.0,771.0,1175.0,1107.0,300.0,1024.0,866.0,860.0,568.0,196.0,246.0,700.0,390.0,133.0,1.0,0.0,291.0
127.0,30.0,606.0,187.0,597.0,1106.0,1139.0,174.0,847.0,685.0,1049.0,804.0,325.0,347.0,911.0,505.0,166.0,0.0,0.0,395.0
69.0,13.0,456.0,116.0,411.0,928.0,1115.0,76.0,609.0,511.0,1108.0,985.0,442.0,530.0,1001.0,747.0,308.0,2.0,0.0,573.0
27.0,5.0,316.0,71.0,259.0,717.0,974.0,50.0,431.0,327.0,1163.0,1098.0,676.0,675.0,1076.0,1015.0,426.0,2.0,0.0,692.0
17.0,4.0,209.0,51.0,152.0,541.0,811.0,40.0,328.0,209.0,1101.0,1155.0,800.0,843.0,1075.0,1062.0,645.0,8.0,0.0,949.0
10.0,1.0,118.0,26.0,118.0,402.0,659.0,12.0,180.0,156.0,896.0,1147.0,1039.0,1079.0,1013.0,1169.0,858.0,32.0,0.0,1085.0
3.0,0.0,71.0,13.0,72.0,278.0,477.0,8.0,128.0,74.0,728.0,1047.0,1264.0,1315.0,961.0,1207.0,1103.0,59.0,1.0,1191.0
2.0,0.0,48.0,0.0,29.0,154.0,356.0,4.0,66.0,55.0,540.0,882.0,1450.0,1436.0,809.0,1221.0,1471.0,133.0,1.0,1343.0
0.0,0.0,29.0,2.0,13.0,107.0,235.0,0.0,32.0,21.0,377.0,739.0,1651.0,1527.0,602.0,1085.0,1837.0,327.0,5.0,1411.0
0.0,0.0,3.0,0.0,5.0,45.0,116.0,0.0,8.0,4.0,225.0,458.0,1581.0,1420.0,387.0,866.0,2423.0,997.0,69.0,1393.0
0.0,0.0,0.0,0.0,1.0,3.0,8.0,0.0,0.0,0.0,31.0,57.0,313.0,268.0,64.0,122.0,467.0,7059.0,1359.0,248.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,6.0,5.0,0.0,4.0,25.0,1380.0,8565.0,10.0
