AZ Alkmaar,PSV Eindhoven,Feyenoord Rotterdam,Ajax Amsterdam,Go Ahead Eagles,Fortuna Sittard,NEC Nijmegen,Excelsior,FC Twente,FC Groningen,Heerenveen,Sparta Rotterdam,Telstar,PEC Zwolle,Willem II,ADO Den Haag,FC Utrecht,SC Cambuur
1004.0,6919.0,481.0,819.0,32.0,4.0,321.0,10.0,374.0,22.0,11.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0
2100.0,1820.0,1428.0,2046.0,144.0,30.0,952.0,58.0,1162.0,137.0,75.0,5.0,16.0,0.0,0.0,0.0,27.0,0.0
1836.0,677.0,1662.0,1933.0,332.0,60.0,1314.0,187.0,1429.0,270.0,159.0,12.0,54.0,1.0,0.0,0.0,74.0,0.0
1561.0,328.0,1575.0,1558.0,530.0,140.0,1486.0,305.0,1480.0,452.0,284.0,31.0,102.0,5.0,0.0,0.0,163.0,0.0
1155.0,128.0,1440.0,1203.0,730.0,257.0,1448.0,509.0,1515.0,648.0,462.0,59.0,170.0,12.0,0.0,0.0,264.0,0.0
858.0,72.0,1129.0,906.0,1019.0,390.0,1251.0,717.0,1197.0,875.0,702.0,125.0,298.0,36.0,0.0,0.0,425.0,0.0
555.0,31.0,797.0,597.0,1209.0,615.0,967.0,899.0,983.0,1067.0,907.0,215.0,473.0,76.0,0.0,0.0,609.0,0.0
394.0,18.0,521.0,362.0,1221.0,807.0,801.0,1075.0,633.0,1182.0,1114.0,335.0,622.0,124.0,0.0,0.0,791.0,0.0
240.0,3.0,399.0,245.0,1198.0,958.0,526.0,1097.0,476.0,1194.0,1187.0,533.0,787.0,211.0,0.0,1.0,945.0,0.0
143.0,4.0,262.0,161.0,1035.0,1099.0,386.0,1150.0,317.0,1112.0,1199.0,680.0,962.0,365.0,1.0,2.0,1122.0,0.0
85.0,0.0,149.0,88.0,864.0,1276.0,241.0,1099.0,198.0,974.0,1058.0,967.0,1164.0,599.0,4.0,4.0,1230.0,0.0
40.0,0.0,87.0,48.0,676.0,1333.0,175.0,1001.0,135.0,820.0,1054.0,1191.0,1337.0,802.0,5.0,9.0,1287.0,0.0
26.0,0.0,49.0,21.0,516.0,1188.0,74.0,846.0,60.0,649.0,860.0,1697.0,1453.0,1278.0,36.0,41.0,1206.0,0.0
2.0,0.0,18.0,12.0,317.0,1086.0,44.0,660.0,35.0,401.0,624.0,2019.0,1378.0,2131.0,127.0,112.0,1034.0,0.0
1.0,0.0,3.0,1.0,170.0,676.0,14.0,352.0,6.0,184.0,287.0,1819.0,1046.0,3517.0,616.0,560.0,718.0,30.0
0.0,0.0,0.0,0.0,7.0,73.0,0.0,29.0,0.0,12.0,17.0,272.0,125.0,703.0,4293.0,3925.0,91.0,453.0
0.0,0.0,0.0,0.0,0.0,8.0,0.0,6.0,0.0,1.0,0.0,39.0,12.0,127.0,3864.0,4268.0,12.0,1663.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13.0,1054.0,1078.0,0.0,7854.0
