Palmeiras,Flamengo,Fluminense,São Paulo,Athletico Paranaense,Red Bull Bragantino,Bahia,Coritiba,Botafogo,Atlético-MG,Internacional,Vasco da Gama,Cruzeiro,Vitória,Grêmio,Santos,Corinthians,Remo,Mirassol,Chapecoense
6092.0,3623.0,251.0,12.0,8.0,0.0,2.0,8.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3349.0,5193.0,993.0,141.0,90.0,40.0,9.0,123.0,11.0,9.0,34.0,2.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
470.0,917.0,4564.0,1083.0,707.0,404.0,138.0,1005.0,115.0,103.0,425.0,19.0,26.0,5.0,11.0,4.0,3.0,1.0,0.0,0.0
68.0,193.0,1863.0,1899.0,1340.0,975.0,338.0,1579.0,311.0,257.0,893.0,95.0,99.0,22.0,41.0,15.0,12.0,0.0,0.0,0.0
15.0,54.0,970.0,1634.0,1474.0,1153.0,596.0,1542.0,484.0,430.0,1081.0,169.0,167.0,56.0,76.0,50.0,41.0,8.0,0.0,0.0
4.0,13.0,559.0,1289.0,1364.0,1268.0,725.0,1404.0,681.0,611.0,1158.0,268.0,268.0,114.0,136.0,65.0,60.0,12.0,1.0,0.0
0.0,5.0,318.0,1061.0,1106.0,1247.0,886.0,1131.0,880.0,713.0,1223.0,400.0,396.0,158.0,227.0,103.0,117.0,28.0,1.0,0.0
1.0,0.0,204.0,826.0,967.0,1111.0,1013.0,917.0,1018.0,912.0,1062.0,528.0,466.0,241.0,328.0,183.0,172.0,43.0,8.0,0.0
1.0,1.0,119.0,616.0,759.0,1002.0,1065.0,702.0,1040.0,1046.0,972.0,681.0,634.0,363.0,398.0,255.0,233.0,98.0,15.0,0.0
0.0,0.0,75.0,459.0,608.0,765.0,1030.0,526.0,1096.0,1096.0,852.0,826.0,764.0,512.0,569.0,324.0,341.0,132.0,25.0,0.0
0.0,1.0,42.0,346.0,461.0,639.0,998.0,366.0,1010.0,1037.0,659.0,952.0,838.0,745.0,708.0,457.0,488.0,219.0,34.0,0.0
0.0,0.0,20.0,256.0,422.0,465.0,866.0,259.0,904.0,935.0,527.0,1048.0,943.0,798.0,875.0,643.0,642.0,319.0,77.0,1.0
0.0,0.0,12.0,161.0,278.0,354.0,721.0,185.0,761.0,847.0,391.0,1088.0,1022.0,1002.0,1000.0,824.0,794.0,438.0,122.0,0.0
0.0,0.0,6.0,97.0,203.0,243.0,595.0,115.0,601.0,692.0,295.0,1042.0,946.0,1129.0,1204.0,950.0,1088.0,601.0,191.0,2.0
0.0,0.0,3.0,58.0,108.0,155.0,445.0,60.0,475.0,512.0,186.0,973.0,970.0,1250.0,1216.0,1256.0,1175.0,815.0,335.0,8.0
0.0,0.0,1.0,45.0,63.0,88.0,284.0,40.0,318.0,373.0,124.0,800.0,935.0,1180.0,1170.0,1405.0,1396.0,1191.0,576.0,11.0
0.0,0.0,0.0,12.0,32.0,54.0,172.0,29.0,176.0,246.0,72.0,586.0,795.0,1163.0,1011.0,1442.0,1487.0,1672.0,1022.0,29.0
0.0,0.0,0.0,5.0,8.0,35.0,90.0,8.0,96.0,140.0,34.0,396.0,542.0,850.0,732.0,1336.0,1278.0,2350.0,1989.0,111.0
0.0,0.0,0.0,0.0,2.0,2.0,27.0,1.0,23.0,41.0,8.0,125.0,180.0,396.0,283.0,645.0,642.0,1949.0,4995.0,681.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,16.0,14.0,43.0,31.0,124.0,609.0,9157.0
