AS Roma,Internazionale,Como,Lazio,Cagliari,AC Milan,Frosinone,Juventus,Sassuolo,Napoli,Atalanta,Lecce,Udinese,Torino,Fiorentina,Bologna,Parma,Monza,Genoa,Venezia
2488.0,5278.0,1655.0,45.0,4.0,112.0,2.0,243.0,3.0,126.0,41.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3084.0,2558.0,2465.0,165.0,25.0,377.0,5.0,720.0,30.0,390.0,164.0,1.0,11.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0
2058.0,1241.0,2725.0,419.0,87.0,752.0,26.0,1276.0,119.0,828.0,399.0,3.0,43.0,7.0,3.0,11.0,0.0,0.0,3.0,0.0
1091.0,517.0,1434.0,864.0,252.0,1306.0,83.0,1805.0,280.0,1392.0,750.0,17.0,130.0,14.0,22.0,36.0,2.0,0.0,5.0,0.0
617.0,236.0,767.0,1080.0,396.0,1502.0,190.0,1639.0,483.0,1533.0,1044.0,30.0,282.0,27.0,50.0,98.0,2.0,0.0,24.0,0.0
332.0,95.0,436.0,1238.0,611.0,1454.0,334.0,1347.0,669.0,1394.0,1254.0,57.0,375.0,64.0,90.0,191.0,15.0,0.0,44.0,0.0
144.0,50.0,258.0,1289.0,814.0,1238.0,469.0,977.0,893.0,1226.0,1294.0,114.0,558.0,103.0,176.0,282.0,35.0,0.0,80.0,0.0
88.0,13.0,128.0,1199.0,1005.0,993.0,616.0,726.0,1043.0,906.0,1275.0,188.0,745.0,219.0,230.0,429.0,63.0,4.0,130.0,0.0
46.0,6.0,67.0,1038.0,1064.0,770.0,827.0,469.0,1054.0,716.0,1007.0,315.0,911.0,308.0,376.0,642.0,120.0,6.0,257.0,1.0
29.0,4.0,41.0,794.0,1110.0,503.0,930.0,347.0,1122.0,501.0,860.0,449.0,1014.0,463.0,466.0,822.0,175.0,16.0,352.0,2.0
13.0,1.0,12.0,619.0,1019.0,372.0,998.0,194.0,1084.0,396.0,633.0,639.0,1068.0,619.0,658.0,898.0,258.0,36.0,478.0,5.0
3.0,1.0,9.0,456.0,940.0,267.0,1070.0,103.0,867.0,239.0,486.0,799.0,1063.0,759.0,836.0,1047.0,400.0,46.0,603.0,6.0
4.0,0.0,2.0,345.0,813.0,158.0,1009.0,72.0,720.0,162.0,314.0,970.0,995.0,953.0,935.0,1083.0,574.0,86.0,789.0,16.0
1.0,0.0,1.0,201.0,668.0,98.0,949.0,39.0,589.0,93.0,200.0,1101.0,844.0,1148.0,1052.0,1096.0,746.0,171.0,979.0,24.0
1.0,0.0,0.0,108.0,479.0,57.0,841.0,24.0,435.0,57.0,129.0,1230.0,671.0,1151.0,1188.0,1003.0,1002.0,303.0,1228.0,93.0
0.0,0.0,0.0,67.0,335.0,29.0,680.0,15.0,305.0,27.0,92.0,1255.0,556.0,1268.0,1203.0,936.0,1301.0,490.0,1298.0,143.0
1.0,0.0,0.0,41.0,221.0,7.0,484.0,2.0,176.0,10.0,38.0,1233.0,365.0,1267.0,1152.0,716.0,1695.0,883.0,1432.0,277.0
0.0,0.0,0.0,29.0,115.0,4.0,336.0,2.0,100.0,2.0,15.0,1005.0,258.0,991.0,966.0,482.0,1990.0,1668.0,1249.0,788.0
0.0,0.0,0.0,3.0,40.0,1.0,131.0,0.0,26.0,2.0,5.0,484.0,92.0,516.0,496.0,186.0,1224.0,3769.0,814.0,2211.0
0.0,0.0,0.0,0.0,2.0,0.0,20.0,0.0,2.0,0.0,0.0,110.0,17.0,122.0,99.0,39.0,398.0,2522.0,235.0,6434.0
