Arsenal,Manchester City,Leeds United,Hull City,Brighton & Hove Albion,Chelsea,Brentford,Liverpool,Everton,Ipswich Town,Nottingham Forest,Newcastle United,Manchester United,Sunderland,AFC Bournemouth,Crystal Palace,Tottenham Hotspur,Fulham,Aston Villa,Coventry City
5452.0,4058.0,39.0,6.0,141.0,51.0,28.0,74.0,19.0,0.0,18.0,10.0,84.0,2.0,13.0,1.0,0.0,1.0,3.0,0.0
3322.0,4259.0,252.0,31.0,641.0,217.0,239.0,307.0,76.0,0.0,91.0,51.0,394.0,16.0,79.0,2.0,3.0,6.0,14.0,0.0
730.0,973.0,841.0,121.0,1666.0,843.0,845.0,1024.0,400.0,3.0,371.0,209.0,1300.0,95.0,384.0,25.0,28.0,43.0,99.0,0.0
285.0,354.0,981.0,248.0,1457.0,946.0,926.0,1076.0,540.0,8.0,532.0,391.0,1225.0,147.0,521.0,50.0,47.0,87.0,179.0,0.0
99.0,169.0,1023.0,296.0,1200.0,946.0,911.0,1098.0,655.0,15.0,644.0,473.0,1138.0,206.0,591.0,72.0,59.0,125.0,280.0,0.0
56.0,86.0,956.0,422.0,967.0,950.0,909.0,964.0,723.0,27.0,679.0,547.0,1011.0,340.0,675.0,95.0,93.0,153.0,347.0,0.0
25.0,44.0,926.0,423.0,811.0,862.0,891.0,931.0,773.0,49.0,758.0,641.0,956.0,316.0,666.0,168.0,134.0,212.0,414.0,0.0
14.0,24.0,845.0,544.0,651.0,868.0,797.0,802.0,812.0,66.0,769.0,682.0,779.0,464.0,747.0,174.0,187.0,307.0,468.0,0.0
7.0,18.0,782.0,611.0,539.0,769.0,805.0,717.0,813.0,97.0,751.0,686.0,652.0,524.0,773.0,281.0,235.0,416.0,524.0,0.0
4.0,8.0,670.0,626.0,487.0,768.0,732.0,640.0,768.0,126.0,788.0,754.0,578.0,540.0,808.0,322.0,290.0,451.0,640.0,0.0
3.0,4.0,572.0,728.0,383.0,605.0,620.0,554.0,784.0,175.0,770.0,780.0,504.0,672.0,783.0,443.0,386.0,540.0,694.0,0.0
1.0,3.0,519.0,813.0,317.0,502.0,573.0,488.0,720.0,243.0,743.0,808.0,388.0,780.0,742.0,511.0,461.0,644.0,744.0,0.0
0.0,0.0,434.0,799.0,231.0,476.0,455.0,424.0,669.0,340.0,742.0,808.0,300.0,840.0,697.0,673.0,556.0,707.0,849.0,0.0
1.0,0.0,359.0,896.0,213.0,351.0,396.0,275.0,634.0,440.0,672.0,776.0,227.0,931.0,618.0,746.0,688.0,889.0,887.0,1.0
0.0,0.0,307.0,838.0,121.0,307.0,314.0,251.0,495.0,700.0,583.0,711.0,184.0,955.0,609.0,881.0,903.0,991.0,849.0,1.0
0.0,0.0,228.0,804.0,81.0,241.0,262.0,170.0,442.0,955.0,418.0,623.0,128.0,956.0,480.0,1140.0,1064.0,1135.0,867.0,6.0
0.0,0.0,144.0,806.0,50.0,148.0,145.0,115.0,338.0,1338.0,320.0,484.0,79.0,929.0,372.0,1370.0,1374.0,1136.0,842.0,10.0
1.0,0.0,82.0,604.0,33.0,108.0,96.0,65.0,218.0,1972.0,246.0,359.0,51.0,780.0,299.0,1467.0,1694.0,1156.0,709.0,60.0
0.0,0.0,39.0,368.0,11.0,42.0,56.0,25.0,120.0,3265.0,103.0,196.0,22.0,494.0,140.0,1512.0,1737.0,972.0,581.0,317.0
0.0,0.0,1.0,16.0,0.0,0.0,0.0,0.0,1.0,181.0,2.0,11.0,0.0,13.0,3.0,67.0,61.0,29.0,10.0,9605.0
