West Ham United,Swansea City,Middlesbrough,West Bromwich Albion,Queens Park Rangers,Charlton Athletic,Wolverhampton Wanderers,Lincoln City,Southampton,Birmingham City,Millwall,Stoke City,Bristol City,Norwich City,Sheffield United,Blackburn Rovers,Watford,Portsmouth,Wrexham,Bolton Wanderers,Cardiff City,Derby County,Preston North End,Burnley
6883.0,84.0,435.0,24.0,10.0,3.0,1823.0,1.0,597.0,19.0,63.0,4.0,5.0,37.0,9.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0
2007.0,429.0,1394.0,139.0,32.0,19.0,3395.0,2.0,1797.0,123.0,319.0,21.0,49.0,156.0,52.0,9.0,1.0,6.0,39.0,0.0,0.0,8.0,0.0,3.0
653.0,809.0,1861.0,326.0,128.0,55.0,1963.0,3.0,2231.0,282.0,692.0,72.0,118.0,444.0,170.0,25.0,17.0,10.0,85.0,0.0,0.0,39.0,0.0,17.0
263.0,1105.0,1706.0,486.0,253.0,119.0,1156.0,17.0,1634.0,463.0,1015.0,188.0,230.0,599.0,286.0,73.0,50.0,57.0,172.0,0.0,0.0,74.0,7.0,47.0
98.0,1226.0,1303.0,679.0,375.0,176.0,656.0,47.0,1110.0,644.0,1045.0,273.0,406.0,783.0,424.0,115.0,73.0,80.0,255.0,1.0,0.0,132.0,7.0,92.0
36.0,1019.0,915.0,770.0,516.0,269.0,390.0,59.0,769.0,780.0,1074.0,399.0,456.0,936.0,507.0,185.0,112.0,126.0,332.0,0.0,0.0,202.0,24.0,124.0
37.0,953.0,632.0,813.0,577.0,375.0,210.0,84.0,554.0,814.0,917.0,457.0,529.0,887.0,579.0,233.0,193.0,190.0,463.0,6.0,2.0,271.0,24.0,200.0
12.0,813.0,491.0,890.0,617.0,407.0,136.0,128.0,407.0,829.0,834.0,527.0,566.0,837.0,677.0,239.0,225.0,221.0,516.0,3.0,2.0,339.0,46.0,238.0
9.0,721.0,361.0,804.0,628.0,474.0,93.0,201.0,269.0,781.0,729.0,608.0,617.0,801.0,724.0,320.0,295.0,284.0,564.0,10.0,3.0,355.0,65.0,284.0
0.0,598.0,251.0,737.0,712.0,519.0,70.0,226.0,193.0,729.0,628.0,625.0,722.0,698.0,690.0,395.0,329.0,382.0,593.0,14.0,8.0,451.0,81.0,349.0
0.0,475.0,187.0,712.0,731.0,595.0,29.0,254.0,128.0,720.0,528.0,653.0,682.0,677.0,708.0,453.0,394.0,402.0,636.0,19.0,14.0,486.0,110.0,407.0
0.0,377.0,148.0,640.0,683.0,638.0,30.0,326.0,77.0,623.0,470.0,672.0,709.0,649.0,661.0,533.0,442.0,481.0,633.0,34.0,14.0,536.0,138.0,486.0
0.0,370.0,92.0,592.0,672.0,647.0,19.0,390.0,82.0,620.0,376.0,714.0,687.0,490.0,639.0,609.0,470.0,518.0,642.0,34.0,25.0,602.0,195.0,515.0
1.0,239.0,74.0,474.0,667.0,718.0,9.0,484.0,61.0,516.0,317.0,680.0,655.0,457.0,593.0,625.0,594.0,604.0,692.0,59.0,20.0,589.0,278.0,594.0
0.0,209.0,50.0,431.0,624.0,733.0,7.0,577.0,37.0,450.0,231.0,672.0,598.0,353.0,594.0,678.0,632.0,643.0,688.0,94.0,52.0,711.0,286.0,650.0
0.0,167.0,33.0,377.0,582.0,749.0,5.0,611.0,20.0,394.0,224.0,645.0,578.0,296.0,539.0,710.0,727.0,713.0,651.0,109.0,72.0,682.0,410.0,706.0
1.0,137.0,31.0,329.0,520.0,703.0,6.0,701.0,10.0,338.0,166.0,577.0,545.0,267.0,506.0,766.0,764.0,808.0,666.0,156.0,124.0,688.0,460.0,731.0
0.0,101.0,13.0,238.0,446.0,630.0,3.0,792.0,11.0,301.0,135.0,545.0,535.0,200.0,440.0,809.0,802.0,747.0,588.0,267.0,182.0,772.0,624.0,819.0
0.0,75.0,9.0,210.0,376.0,640.0,0.0,979.0,6.0,225.0,105.0,513.0,424.0,162.0,395.0,774.0,894.0,833.0,539.0,321.0,258.0,740.0,769.0,753.0
0.0,40.0,9.0,140.0,336.0,516.0,0.0,1084.0,5.0,157.0,60.0,401.0,362.0,126.0,341.0,758.0,879.0,835.0,444.0,551.0,426.0,714.0,995.0,821.0
0.0,31.0,1.0,105.0,252.0,456.0,0.0,1121.0,1.0,103.0,43.0,333.0,242.0,82.0,245.0,709.0,817.0,780.0,362.0,869.0,714.0,658.0,1293.0,783.0
0.0,14.0,4.0,57.0,177.0,337.0,0.0,947.0,0.0,70.0,18.0,268.0,181.0,48.0,140.0,542.0,707.0,655.0,260.0,1478.0,1292.0,502.0,1625.0,678.0
0.0,6.0,0.0,20.0,69.0,169.0,0.0,658.0,1.0,16.0,10.0,128.0,76.0,10.0,62.0,340.0,407.0,445.0,143.0,2581.0,2578.0,321.0,1494.0,466.0
0.0,2.0,0.0,7.0,17.0,53.0,0.0,308.0,0.0,3.0,1.0,25.0,28.0,5.0,19.0,100.0,176.0,180.0,35.0,3394.0,4214.0,128.0,1069.0,236.0
