PSV Eindhoven,AZ Alkmaar,Feyenoord Rotterdam,Ajax Amsterdam,FC Twente,Excelsior,Fortuna Sittard,Go Ahead Eagles,FC Groningen,NEC Nijmegen,Heerenveen,Sparta Rotterdam,Telstar,FC Utrecht,SC Cambuur,PEC Zwolle,Willem II,ADO Den Haag
7730.0,342.0,980.0,623.0,300.0,2.0,2.0,5.0,2.0,13.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1499.0,1400.0,3108.0,2368.0,1273.0,48.0,10.0,75.0,59.0,121.0,16.0,1.0,2.0,20.0,0.0,0.0,0.0,0.0
535.0,1948.0,2355.0,2422.0,1828.0,149.0,40.0,183.0,157.0,283.0,38.0,0.0,8.0,53.0,0.0,1.0,0.0,0.0
176.0,2102.0,1546.0,1871.0,2079.0,360.0,94.0,459.0,354.0,639.0,134.0,3.0,26.0,157.0,0.0,0.0,0.0,0.0
45.0,1763.0,1018.0,1283.0,1822.0,675.0,234.0,756.0,651.0,979.0,297.0,19.0,95.0,358.0,1.0,4.0,0.0,0.0
12.0,1048.0,488.0,697.0,1144.0,1058.0,414.0,1227.0,1073.0,1355.0,570.0,61.0,186.0,654.0,1.0,12.0,0.0,0.0
3.0,600.0,239.0,368.0,683.0,1319.0,708.0,1292.0,1246.0,1401.0,798.0,119.0,327.0,869.0,3.0,24.0,0.0,1.0
0.0,366.0,131.0,169.0,376.0,1320.0,903.0,1342.0,1294.0,1321.0,973.0,184.0,515.0,1061.0,3.0,42.0,0.0,0.0
0.0,203.0,62.0,95.0,240.0,1219.0,1092.0,1236.0,1255.0,1228.0,1104.0,327.0,660.0,1184.0,7.0,87.0,0.0,1.0
0.0,112.0,39.0,65.0,112.0,1083.0,1278.0,1045.0,1185.0,923.0,1335.0,462.0,915.0,1244.0,29.0,172.0,1.0,0.0
0.0,66.0,19.0,23.0,74.0,955.0,1351.0,871.0,1011.0,711.0,1351.0,757.0,1235.0,1222.0,50.0,293.0,4.0,7.0
0.0,37.0,9.0,10.0,43.0,814.0,1379.0,672.0,756.0,521.0,1307.0,1074.0,1565.0,1167.0,137.0,483.0,8.0,18.0
0.0,10.0,4.0,4.0,21.0,559.0,1155.0,475.0,550.0,318.0,1033.0,1797.0,1696.0,983.0,290.0,977.0,36.0,92.0
0.0,2.0,1.0,2.0,4.0,291.0,830.0,257.0,280.0,137.0,657.0,2392.0,1523.0,690.0,767.0,1791.0,143.0,233.0
0.0,1.0,1.0,0.0,1.0,126.0,396.0,88.0,109.0,44.0,290.0,1744.0,881.0,268.0,1937.0,2933.0,416.0,765.0
0.0,0.0,0.0,0.0,0.0,21.0,89.0,13.0,15.0,5.0,76.0,778.0,298.0,60.0,3457.0,2004.0,1315.0,1869.0
0.0,0.0,0.0,0.0,0.0,1.0,24.0,4.0,3.0,1.0,19.0,213.0,59.0,8.0,2250.0,894.0,2917.0,3607.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,69.0,9.0,1.0,1068.0,283.0,5160.0,3407.0
