Lille,AS Monaco,Stade Rennais,Lyon,Paris FC,Strasbourg,Brest,Paris Saint-Germain,Lorient,Lens,Angers,Troyes,Marseille,Le Mans,AJ Auxerre,Le Havre AC,Toulouse,Nice
1879.0,1092.0,917.0,802.0,245.0,401.0,8.0,3498.0,45.0,965.0,0.0,0.0,137.0,0.0,6.0,1.0,4.0,0.0
1811.0,1391.0,1140.0,1011.0,441.0,597.0,33.0,2037.0,104.0,1129.0,1.0,0.0,271.0,2.0,5.0,3.0,23.0,1.0
1481.0,1365.0,1230.0,1168.0,574.0,800.0,65.0,1416.0,172.0,1179.0,13.0,0.0,422.0,3.0,27.0,11.0,74.0,0.0
1179.0,1288.0,1210.0,1248.0,697.0,958.0,101.0,955.0,309.0,1228.0,24.0,1.0,631.0,6.0,35.0,18.0,107.0,5.0
1011.0,1159.0,1135.0,1138.0,958.0,1074.0,181.0,700.0,377.0,1185.0,37.0,2.0,727.0,13.0,83.0,44.0,171.0,5.0
816.0,959.0,1102.0,1059.0,1063.0,1080.0,261.0,522.0,567.0,1046.0,72.0,2.0,928.0,32.0,120.0,74.0,283.0,14.0
614.0,843.0,935.0,1028.0,1151.0,1045.0,422.0,332.0,739.0,934.0,117.0,2.0,1050.0,33.0,199.0,119.0,415.0,22.0
453.0,669.0,732.0,831.0,1165.0,1034.0,591.0,231.0,914.0,764.0,197.0,9.0,1205.0,84.0,300.0,209.0,560.0,52.0
339.0,461.0,581.0,614.0,1063.0,948.0,828.0,146.0,1093.0,601.0,321.0,18.0,1173.0,164.0,427.0,342.0,798.0,83.0
202.0,326.0,417.0,465.0,831.0,707.0,1108.0,79.0,1230.0,403.0,491.0,46.0,1035.0,243.0,665.0,537.0,1036.0,179.0
114.0,210.0,257.0,299.0,654.0,531.0,1226.0,42.0,1237.0,268.0,747.0,100.0,861.0,418.0,897.0,717.0,1140.0,282.0
52.0,120.0,138.0,162.0,461.0,350.0,1263.0,22.0,1040.0,155.0,1046.0,177.0,590.0,637.0,1072.0,1012.0,1211.0,492.0
33.0,57.0,101.0,93.0,310.0,225.0,1146.0,14.0,773.0,71.0,1249.0,271.0,435.0,892.0,1291.0,1222.0,1140.0,677.0
13.0,32.0,52.0,55.0,190.0,133.0,937.0,3.0,552.0,35.0,1420.0,502.0,243.0,1166.0,1324.0,1335.0,1040.0,968.0
2.0,24.0,34.0,20.0,107.0,67.0,774.0,1.0,420.0,26.0,1363.0,790.0,140.0,1475.0,1239.0,1381.0,832.0,1305.0
1.0,2.0,11.0,3.0,64.0,36.0,559.0,2.0,256.0,9.0,1292.0,1294.0,92.0,1755.0,1041.0,1229.0,603.0,1751.0
0.0,2.0,6.0,4.0,18.0,10.0,343.0,0.0,132.0,2.0,1007.0,2212.0,45.0,1709.0,793.0,1094.0,391.0,2232.0
0.0,0.0,2.0,0.0,8.0,4.0,154.0,0.0,40.0,0.0,603.0,4574.0,15.0,1368.0,476.0,652.0,172.0,1932.0
