SC Freiburg,Borussia Dortmund,FC Augsburg,Bayern Munich,RB Leipzig,SV Elversberg,Bayer Leverkusen,Mainz,Eintracht Frankfurt,Werder Bremen,Schalke 04,FC Cologne,TSG Hoffenheim,VfB Stuttgart,SC Paderborn 07,1. FC Union Berlin,Borussia Mönchengladbach,Hamburg SV
80.0,1782.0,13.0,7764.0,183.0,1.0,96.0,2.0,2.0,1.0,0.0,0.0,21.0,54.0,0.0,0.0,1.0,0.0
506.0,4798.0,132.0,1738.0,1134.0,15.0,793.0,50.0,44.0,6.0,1.0,12.0,185.0,578.0,0.0,3.0,4.0,1.0
1279.0,1782.0,385.0,346.0,2180.0,42.0,1628.0,178.0,210.0,37.0,5.0,50.0,580.0,1276.0,0.0,10.0,8.0,4.0
1471.0,824.0,672.0,105.0,1841.0,121.0,1707.0,362.0,376.0,86.0,7.0,110.0,807.0,1459.0,0.0,19.0,19.0,14.0
1375.0,415.0,863.0,34.0,1396.0,214.0,1571.0,558.0,602.0,144.0,30.0,169.0,1050.0,1447.0,0.0,57.0,51.0,24.0
1338.0,203.0,1055.0,8.0,1022.0,376.0,1242.0,706.0,724.0,245.0,44.0,306.0,1168.0,1305.0,0.0,102.0,101.0,55.0
1094.0,86.0,1069.0,5.0,799.0,510.0,951.0,865.0,935.0,375.0,106.0,480.0,1230.0,1098.0,3.0,162.0,144.0,88.0
826.0,52.0,1159.0,0.0,515.0,686.0,721.0,1050.0,1046.0,451.0,172.0,656.0,1110.0,862.0,4.0,268.0,274.0,148.0
616.0,26.0,1037.0,0.0,354.0,855.0,483.0,1136.0,1110.0,640.0,259.0,809.0,982.0,634.0,8.0,380.0,431.0,240.0
497.0,15.0,942.0,0.0,240.0,1004.0,330.0,1088.0,1082.0,858.0,362.0,877.0,818.0,438.0,15.0,548.0,540.0,346.0
371.0,9.0,757.0,0.0,135.0,1068.0,217.0,999.0,1009.0,1071.0,504.0,1013.0,649.0,327.0,32.0,682.0,688.0,469.0
220.0,3.0,645.0,0.0,93.0,1076.0,108.0,862.0,874.0,1134.0,674.0,1153.0,501.0,192.0,89.0,874.0,849.0,653.0
138.0,4.0,462.0,0.0,58.0,1051.0,71.0,712.0,679.0,1226.0,909.0,1096.0,376.0,153.0,129.0,1078.0,1052.0,806.0
104.0,1.0,349.0,0.0,30.0,983.0,44.0,565.0,516.0,1105.0,1225.0,1042.0,224.0,85.0,213.0,1234.0,1203.0,1077.0
50.0,0.0,227.0,0.0,12.0,835.0,23.0,421.0,373.0,959.0,1485.0,868.0,153.0,54.0,442.0,1335.0,1319.0,1444.0
24.0,0.0,148.0,0.0,4.0,644.0,10.0,256.0,261.0,836.0,1648.0,739.0,90.0,16.0,838.0,1428.0,1397.0,1661.0
10.0,0.0,67.0,0.0,4.0,409.0,2.0,160.0,132.0,608.0,1739.0,473.0,48.0,17.0,1847.0,1219.0,1286.0,1979.0
1.0,0.0,18.0,0.0,0.0,110.0,3.0,30.0,25.0,218.0,830.0,147.0,8.0,5.0,6380.0,601.0,633.0,991.0
