Flamengo,Palmeiras,Athletico Paranaense,Bahia,Fluminense,Cruzeiro,Atlético-MG,Coritiba,Red Bull Bragantino,Santos,São Paulo,Vitória,Corinthians,Botafogo,Mirassol,Grêmio,Vasco da Gama,Internacional,Remo,Chapecoense
7095.0,2904.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2894.0,7003.0,66.0,9.0,20.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,85.0,5093.0,1250.0,2352.0,915.0,271.0,2.0,6.0,3.0,3.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,8.0,2456.0,2037.0,3027.0,1651.0,601.0,40.0,62.0,28.0,27.0,1.0,0.0,58.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1312.0,2436.0,2263.0,2110.0,1241.0,133.0,174.0,64.0,77.0,2.0,5.0,179.0,4.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,666.0,2068.0,1337.0,2287.0,1890.0,339.0,447.0,177.0,258.0,10.0,36.0,472.0,5.0,1.0,6.0,1.0,0.0,0.0
0.0,0.0,289.0,1223.0,632.0,1579.0,2486.0,792.0,983.0,471.0,504.0,57.0,72.0,842.0,47.0,6.0,15.0,2.0,0.0,0.0
0.0,0.0,83.0,572.0,236.0,762.0,1491.0,1307.0,1614.0,879.0,1041.0,139.0,251.0,1417.0,140.0,20.0,42.0,6.0,0.0,0.0
0.0,0.0,25.0,227.0,87.0,398.0,906.0,1590.0,1728.0,1075.0,1360.0,246.0,418.0,1511.0,243.0,51.0,104.0,31.0,0.0,0.0
0.0,0.0,7.0,108.0,28.0,178.0,541.0,1562.0,1495.0,1236.0,1484.0,444.0,672.0,1398.0,473.0,136.0,173.0,65.0,0.0,0.0
0.0,0.0,2.0,48.0,13.0,72.0,274.0,1440.0,1199.0,1377.0,1447.0,655.0,907.0,1260.0,634.0,216.0,315.0,139.0,2.0,0.0
0.0,0.0,0.0,17.0,3.0,24.0,150.0,1139.0,881.0,1370.0,1207.0,902.0,1287.0,1027.0,901.0,366.0,430.0,289.0,7.0,0.0
0.0,0.0,0.0,3.0,2.0,10.0,81.0,759.0,624.0,1217.0,1013.0,1194.0,1414.0,733.0,1210.0,581.0,689.0,443.0,27.0,0.0
0.0,0.0,0.0,2.0,0.0,2.0,45.0,444.0,371.0,804.0,701.0,1503.0,1429.0,510.0,1471.0,869.0,961.0,831.0,57.0,0.0
0.0,0.0,0.0,0.0,0.0,3.0,16.0,270.0,208.0,649.0,436.0,1593.0,1274.0,311.0,1472.0,1184.0,1314.0,1156.0,114.0,0.0
0.0,0.0,0.0,0.0,0.0,1.0,6.0,120.0,127.0,388.0,264.0,1421.0,1053.0,153.0,1338.0,1610.0,1669.0,1595.0,255.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,50.0,63.0,193.0,119.0,1061.0,734.0,82.0,1148.0,1990.0,1907.0,2023.0,624.0,5.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,16.0,61.0,51.0,650.0,372.0,28.0,773.0,2140.0,1779.0,2507.0,1581.0,30.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,8.0,8.0,122.0,76.0,6.0,137.0,823.0,586.0,905.0,6908.0,418.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,7.0,10.0,7.0,425.0,9547.0
