Palmeiras,Flamengo,Fluminense,São Paulo,Athletico Paranaense,Bahia,Coritiba,Red Bull Bragantino,Botafogo,Vasco da Gama,Grêmio,Cruzeiro,Vitória,Corinthians,Atlético-MG,Internacional,Santos,Remo,Mirassol,Chapecoense
8432.0,1271.0,212.0,65.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1284.0,6076.0,1646.0,635.0,282.0,13.0,53.0,1.0,4.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
226.0,1810.0,3945.0,2186.0,1218.0,122.0,353.0,20.0,51.0,17.0,21.0,13.0,9.0,3.0,1.0,3.0,2.0,0.0,0.0,0.0
42.0,592.0,2209.0,3149.0,2160.0,435.0,816.0,101.0,185.0,66.0,91.0,49.0,40.0,15.0,6.0,14.0,29.0,1.0,0.0,0.0
14.0,191.0,1119.0,2010.0,2584.0,978.0,1498.0,280.0,435.0,198.0,250.0,155.0,120.0,32.0,14.0,55.0,64.0,3.0,0.0,0.0
1.0,41.0,480.0,966.0,1523.0,1704.0,1867.0,605.0,763.0,527.0,464.0,326.0,244.0,119.0,38.0,147.0,159.0,26.0,0.0,0.0
0.0,11.0,234.0,475.0,847.0,1716.0,1561.0,894.0,1071.0,751.0,727.0,485.0,372.0,200.0,97.0,219.0,288.0,50.0,2.0,0.0
1.0,5.0,87.0,246.0,544.0,1382.0,1073.0,1074.0,1222.0,919.0,899.0,645.0,522.0,306.0,150.0,394.0,430.0,95.0,6.0,0.0
0.0,2.0,40.0,126.0,311.0,1099.0,867.0,1070.0,1159.0,1036.0,979.0,760.0,660.0,439.0,229.0,513.0,562.0,140.0,8.0,0.0
0.0,0.0,15.0,64.0,216.0,816.0,575.0,1101.0,1059.0,1012.0,1021.0,840.0,810.0,605.0,322.0,647.0,709.0,173.0,15.0,0.0
0.0,1.0,7.0,34.0,121.0,589.0,439.0,1005.0,969.0,1049.0,971.0,938.0,888.0,746.0,480.0,763.0,739.0,234.0,27.0,0.0
0.0,0.0,4.0,21.0,74.0,408.0,339.0,929.0,805.0,958.0,1002.0,886.0,953.0,865.0,587.0,918.0,905.0,308.0,36.0,2.0
0.0,0.0,1.0,17.0,44.0,276.0,225.0,785.0,666.0,898.0,861.0,982.0,993.0,1026.0,706.0,1031.0,981.0,425.0,81.0,2.0
0.0,0.0,0.0,4.0,30.0,199.0,142.0,699.0,528.0,822.0,771.0,951.0,1000.0,1082.0,976.0,1081.0,1022.0,574.0,115.0,4.0
0.0,0.0,1.0,0.0,16.0,130.0,92.0,540.0,432.0,670.0,722.0,911.0,962.0,1190.0,1240.0,1040.0,1007.0,840.0,199.0,8.0
0.0,0.0,0.0,2.0,6.0,75.0,57.0,421.0,313.0,496.0,517.0,786.0,899.0,1239.0,1362.0,1181.0,1087.0,1113.0,426.0,20.0
0.0,0.0,0.0,0.0,2.0,39.0,35.0,293.0,205.0,348.0,438.0,684.0,835.0,1082.0,1653.0,975.0,982.0,1552.0,808.0,69.0
0.0,0.0,0.0,0.0,2.0,15.0,7.0,140.0,96.0,189.0,216.0,444.0,516.0,794.0,1510.0,737.0,745.0,2415.0,1924.0,250.0
0.0,0.0,0.0,0.0,0.0,4.0,1.0,41.0,34.0,39.0,45.0,137.0,162.0,234.0,584.0,255.0,253.0,1811.0,5055.0,1345.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,4.0,6.0,14.0,23.0,45.0,27.0,36.0,240.0,1298.0,8300.0
