Internazionale,AC Milan,Napoli,Como,Juventus,AS Roma,Atalanta,Lazio,Bologna,Sassuolo,Udinese,Parma,Genoa,Torino,Cagliari,Fiorentina,Cremonese,Lecce,Hellas Verona,Pisa
9740.0,208.0,48.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
247.0,5849.0,2755.0,1046.0,88.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.0,2628.0,3735.0,2898.0,531.0,194.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,1009.0,2409.0,3962.0,1778.0,813.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,257.0,819.0,1565.0,4466.0,2588.0,305.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,47.0,228.0,508.0,2681.0,5322.0,1206.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,2.0,6.0,17.0,455.0,1053.0,8017.0,328.0,90.0,15.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0,15.0,392.0,6097.0,1866.0,841.0,770.0,3.0,6.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,42.0,2212.0,3883.0,2063.0,1667.0,7.0,58.0,59.0,3.0,6.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,7.0,936.0,2633.0,3206.0,2672.0,65.0,224.0,193.0,20.0,38.0,3.0,3.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,385.0,1309.0,2750.0,3557.0,261.0,872.0,599.0,86.0,166.0,5.0,9.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,183.0,790.0,909.0,1231.0,3026.0,2167.0,527.0,996.0,60.0,79.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,30.0,224.0,297.0,1920.0,2388.0,2246.0,1033.0,1502.0,161.0,195.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,77.0,77.0,2310.0,1571.0,1888.0,1545.0,1799.0,324.0,405.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,31.0,2058.0,1032.0,1444.0,1889.0,2063.0,677.0,776.0,0.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,1566.0,560.0,945.0,2419.0,1798.0,1349.0,1345.0,0.0,9.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,492.0,216.0,362.0,1630.0,1122.0,3190.0,2941.0,2.0,45.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,47.0,88.0,843.0,505.0,4050.0,4093.0,42.0,245.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,181.0,151.0,3311.0,6347.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6645.0,3352.0
