Barcelona,Real Madrid,Villarreal,Atlético Madrid,Real Betis,Celta Vigo,Real Sociedad,Getafe,Athletic Club,Osasuna,Espanyol,Valencia,Girona,Rayo Vallecano,Sevilla,Alavés,Elche,Mallorca,Levante,Real Oviedo
8441.0,1559.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1556.0,8419.0,19.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,21.0,6275.0,3701.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,3705.0,6278.0,14.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,15.0,6989.0,1506.0,936.0,192.0,66.0,211.0,45.0,20.0,12.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1842.0,3782.0,2115.0,763.0,371.0,741.0,185.0,111.0,38.0,45.0,1.0,4.0,1.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,712.0,2324.0,2543.0,1334.0,750.0,1295.0,432.0,294.0,123.0,168.0,5.0,13.0,3.0,4.0,0.0,0.0
0.0,0.0,0.0,0.0,293.0,1261.0,1681.0,1781.0,1122.0,1857.0,768.0,476.0,271.0,399.0,18.0,43.0,20.0,9.0,1.0,0.0
0.0,0.0,0.0,0.0,102.0,611.0,1099.0,1765.0,1417.0,1723.0,1182.0,722.0,467.0,685.0,44.0,105.0,47.0,30.0,1.0,0.0
0.0,0.0,0.0,0.0,37.0,292.0,713.0,1449.0,1535.0,1326.0,1407.0,1121.0,710.0,937.0,93.0,216.0,106.0,55.0,3.0,0.0
0.0,0.0,0.0,0.0,7.0,130.0,428.0,1051.0,1427.0,1024.0,1530.0,1288.0,1040.0,1157.0,173.0,385.0,234.0,112.0,14.0,0.0
0.0,0.0,0.0,0.0,2.0,57.0,240.0,729.0,1245.0,754.0,1462.0,1409.0,1279.0,1335.0,289.0,595.0,369.0,207.0,28.0,0.0
0.0,0.0,0.0,0.0,2.0,24.0,131.0,471.0,943.0,516.0,1260.0,1463.0,1461.0,1383.0,482.0,918.0,527.0,363.0,56.0,0.0
0.0,0.0,0.0,0.0,0.0,11.0,59.0,274.0,616.0,312.0,840.0,1257.0,1449.0,1317.0,822.0,1396.0,935.0,595.0,114.0,3.0
0.0,0.0,0.0,0.0,0.0,2.0,41.0,122.0,327.0,146.0,511.0,894.0,1281.0,1050.0,1279.0,1761.0,1310.0,986.0,286.0,4.0
0.0,0.0,0.0,0.0,0.0,0.0,10.0,50.0,132.0,66.0,255.0,537.0,949.0,738.0,1883.0,1662.0,1689.0,1421.0,597.0,11.0
0.0,0.0,0.0,0.0,0.0,0.0,2.0,13.0,39.0,25.0,95.0,263.0,597.0,467.0,2132.0,1441.0,1944.0,1929.0,1020.0,33.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,9.0,2.0,27.0,121.0,272.0,243.0,1834.0,1055.0,1831.0,2518.0,1957.0,125.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,24.0,51.0,69.0,911.0,389.0,912.0,1627.0,5414.0,599.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,17.0,72.0,143.0,509.0,9225.0
