Palmeiras,Athletico Paranaense,São Paulo,Fluminense,Flamengo,Bahia,Coritiba,Grêmio,Vasco da Gama,Vitória,Corinthians,Internacional,Atlético-MG,Red Bull Bragantino,Chapecoense,Santos,Botafogo,Mirassol,Remo,Cruzeiro
3696.0,320.0,168.0,113.0,5690.0,12.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4061.0,1276.0,828.0,511.0,3229.0,71.0,13.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1418.0,3319.0,2397.0,1571.0,768.0,351.0,70.0,66.0,24.0,4.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
576.0,2512.0,2804.0,2451.0,235.0,822.0,254.0,194.0,84.0,8.0,43.0,14.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
200.0,1520.0,2099.0,2781.0,66.0,1547.0,654.0,535.0,309.0,56.0,170.0,48.0,3.0,0.0,3.0,7.0,0.0,1.0,1.0,0.0
40.0,667.0,1012.0,1454.0,9.0,2682.0,1415.0,1073.0,759.0,179.0,460.0,178.0,31.0,0.0,5.0,24.0,7.0,3.0,2.0,0.0
7.0,240.0,409.0,610.0,2.0,1846.0,2000.0,1645.0,1346.0,355.0,837.0,455.0,71.0,3.0,29.0,84.0,20.0,22.0,19.0,0.0
1.0,101.0,188.0,267.0,0.0,1119.0,1796.0,1776.0,1611.0,672.0,1237.0,732.0,156.0,7.0,63.0,153.0,36.0,50.0,34.0,1.0
1.0,28.0,62.0,130.0,0.0,720.0,1375.0,1479.0,1659.0,905.0,1462.0,1078.0,305.0,30.0,135.0,324.0,103.0,92.0,108.0,4.0
0.0,12.0,23.0,73.0,1.0,402.0,955.0,1127.0,1378.0,1212.0,1586.0,1287.0,553.0,64.0,233.0,538.0,175.0,188.0,180.0,13.0
0.0,3.0,8.0,23.0,0.0,214.0,627.0,811.0,1048.0,1439.0,1320.0,1470.0,782.0,131.0,392.0,810.0,282.0,293.0,322.0,25.0
0.0,1.0,2.0,9.0,0.0,107.0,401.0,553.0,722.0,1338.0,1000.0,1362.0,1044.0,235.0,624.0,1004.0,468.0,572.0,492.0,66.0
0.0,1.0,0.0,4.0,0.0,54.0,211.0,325.0,472.0,1204.0,733.0,1131.0,1192.0,401.0,886.0,1231.0,617.0,775.0,657.0,106.0
0.0,0.0,0.0,2.0,0.0,30.0,119.0,199.0,254.0,920.0,466.0,821.0,1296.0,569.0,1132.0,1281.0,821.0,962.0,952.0,176.0
0.0,0.0,0.0,1.0,0.0,14.0,51.0,118.0,174.0,650.0,287.0,580.0,1242.0,832.0,1195.0,1216.0,1002.0,1174.0,1155.0,309.0
0.0,0.0,0.0,0.0,0.0,5.0,30.0,40.0,79.0,496.0,203.0,381.0,1103.0,1036.0,1272.0,1087.0,1169.0,1308.0,1278.0,513.0
0.0,0.0,0.0,0.0,0.0,2.0,19.0,25.0,56.0,261.0,93.0,235.0,867.0,1351.0,1259.0,920.0,1325.0,1308.0,1440.0,839.0
0.0,0.0,0.0,0.0,0.0,2.0,8.0,15.0,20.0,166.0,63.0,147.0,656.0,1706.0,1192.0,696.0,1484.0,1323.0,1312.0,1210.0
0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,5.0,92.0,28.0,55.0,483.0,1980.0,987.0,415.0,1446.0,1156.0,1262.0,2082.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,4.0,22.0,215.0,1655.0,593.0,208.0,1045.0,773.0,786.0,4656.0
