Coventry City,Middlesbrough,Ipswich Town,Millwall,Hull City,Southampton,Wrexham,Derby County,Watford,Norwich City,Birmingham City,Queens Park Rangers,Preston North End,Swansea City,Stoke City,Bristol City,Sheffield United,Charlton Athletic,Blackburn Rovers,West Bromwich Albion,Portsmouth,Leicester City,Oxford United,Sheffield Wednesday
9927.0,29.0,42.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71.0,4499.0,4564.0,765.0,58.0,40.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,3792.0,3492.0,2103.0,312.0,264.0,32.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1364.0,1360.0,4447.0,1262.0,1208.0,303.0,53.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,260.0,419.0,1774.0,2963.0,2966.0,1228.0,369.0,14.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,53.0,103.0,718.0,2984.0,2836.0,2183.0,973.0,93.0,39.0,10.0,1.0,2.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,3.0,18.0,165.0,1644.0,1708.0,3517.0,2109.0,400.0,230.0,91.0,25.0,11.0,6.0,49.0,3.0,19.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,2.0,22.0,625.0,746.0,1877.0,3826.0,1214.0,741.0,325.0,161.0,70.0,68.0,144.0,29.0,127.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,4.0,114.0,169.0,587.0,1488.0,2803.0,1884.0,859.0,406.0,258.0,227.0,494.0,190.0,392.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,33.0,51.0,176.0,638.0,1925.0,1978.0,1328.0,739.0,563.0,436.0,902.0,366.0,662.0,202.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,5.0,8.0,64.0,296.0,1277.0,1498.0,1545.0,912.0,745.0,613.0,1263.0,509.0,924.0,339.0,0.0,2.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,4.0,20.0,150.0,863.0,1094.0,1426.0,1046.0,941.0,806.0,1355.0,665.0,1120.0,502.0,1.0,3.0,2.0,2.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,9.0,60.0,569.0,863.0,1164.0,1148.0,1071.0,993.0,1370.0,892.0,1157.0,677.0,5.0,20.0,2.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,27.0,400.0,595.0,1029.0,1255.0,1204.0,1094.0,1201.0,1065.0,1241.0,840.0,8.0,35.0,4.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,229.0,492.0,875.0,1196.0,1314.0,1291.0,1100.0,1163.0,1214.0,1027.0,15.0,60.0,9.0,7.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,126.0,296.0,652.0,1204.0,1363.0,1385.0,898.0,1403.0,1170.0,1267.0,33.0,144.0,25.0,29.0,4.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,196.0,451.0,1083.0,1215.0,1463.0,720.0,1589.0,958.0,1670.0,88.0,337.0,61.0,97.0,7.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,80.0,198.0,708.0,931.0,1274.0,389.0,1556.0,736.0,2314.0,343.0,880.0,167.0,350.0,57.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,41.0,106.0,268.0,288.0,91.0,486.0,221.0,733.0,1856.0,3123.0,786.0,1610.0,380.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,9.0,40.0,51.0,19.0,78.0,49.0,214.0,2400.0,2512.0,1453.0,2245.0,926.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,3.0,2.0,4.0,10.0,57.0,2373.0,1650.0,2075.0,2158.0,1663.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,7.0,1924.0,968.0,2367.0,1979.0,2753.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,954.0,266.0,3048.0,1522.0,4209.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
