Paris Saint-Germain,Lens,Marseille,Lyon,Lille,AS Monaco,Stade Rennais,Strasbourg,Toulouse,Lorient,Brest,Angers,Paris FC,Le Havre AC,Nice,AJ Auxerre,Nantes,Metz
9355.0,645.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
644.0,9261.0,76.0,3.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,88.0,6594.0,842.0,1396.0,897.0,170.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,5.0,1940.0,2505.0,2908.0,1980.0,550.0,111.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,859.0,2706.0,2481.0,2352.0,1162.0,430.0,2.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,387.0,2113.0,2011.0,2440.0,2056.0,950.0,10.0,27.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,126.0,1395.0,916.0,1629.0,3585.0,2095.0,59.0,156.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,17.0,396.0,264.0,658.0,2220.0,4447.0,617.0,1061.0,298.0,10.0,12.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,36.0,9.0,40.0,218.0,1293.0,2861.0,3811.0,1537.0,46.0,145.0,3.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,4.0,0.0,3.0,36.0,484.0,3280.0,2911.0,2670.0,205.0,387.0,17.0,3.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,3.0,157.0,2482.0,1611.0,3888.0,732.0,1009.0,86.0,32.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,573.0,347.0,1132.0,3017.0,3869.0,685.0,313.0,44.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,105.0,61.0,387.0,3765.0,3022.0,1612.0,898.0,149.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,8.0,39.0,1728.0,1202.0,3579.0,2699.0,731.0,3.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,471.0,325.0,3039.0,4105.0,2027.0,24.0,6.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,29.0,968.0,1928.0,6449.0,531.0,69.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,22.0,574.0,7357.0,2036.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,2085.0,7889.0
