Barcelona,Real Madrid,Villarreal,Atlético Madrid,Real Betis,Celta Vigo,Real Sociedad,Getafe,Athletic Club,Osasuna,Espanyol,Valencia,Girona,Rayo Vallecano,Sevilla,Alavés,Elche,Mallorca,Levante,Real Oviedo
8392.0,1608.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1606.0,8361.0,25.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,29.0,6336.0,3633.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,2.0,3636.0,6342.0,14.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,2.0,16.0,6853.0,1607.0,916.0,200.0,77.0,247.0,46.0,17.0,13.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,1.0,1978.0,3728.0,2008.0,750.0,381.0,749.0,185.0,125.0,42.0,43.0,2.0,5.0,2.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,708.0,2260.0,2530.0,1377.0,694.0,1370.0,445.0,265.0,136.0,193.0,7.0,9.0,6.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,274.0,1216.0,1745.0,1791.0,1120.0,1844.0,809.0,465.0,260.0,381.0,23.0,43.0,21.0,7.0,1.0,0.0
0.0,0.0,0.0,0.0,125.0,605.0,1077.0,1807.0,1444.0,1665.0,1150.0,744.0,505.0,633.0,46.0,113.0,65.0,20.0,1.0,0.0
0.0,0.0,0.0,0.0,34.0,316.0,732.0,1449.0,1508.0,1352.0,1446.0,1029.0,754.0,903.0,93.0,224.0,108.0,50.0,2.0,0.0
0.0,0.0,0.0,0.0,10.0,155.0,449.0,1085.0,1444.0,1017.0,1475.0,1315.0,1029.0,1183.0,177.0,342.0,190.0,118.0,11.0,0.0
0.0,0.0,0.0,0.0,4.0,70.0,282.0,715.0,1251.0,729.0,1438.0,1394.0,1247.0,1364.0,296.0,617.0,386.0,188.0,19.0,0.0
0.0,0.0,0.0,0.0,0.0,27.0,141.0,432.0,935.0,512.0,1233.0,1446.0,1397.0,1389.0,502.0,955.0,635.0,347.0,49.0,0.0
0.0,0.0,0.0,0.0,0.0,7.0,76.0,218.0,620.0,288.0,830.0,1204.0,1566.0,1319.0,840.0,1345.0,948.0,617.0,121.0,1.0
0.0,0.0,0.0,0.0,0.0,4.0,30.0,107.0,299.0,148.0,525.0,967.0,1270.0,1071.0,1327.0,1709.0,1372.0,909.0,262.0,0.0
0.0,0.0,0.0,0.0,0.0,1.0,9.0,48.0,164.0,52.0,268.0,573.0,905.0,744.0,1836.0,1774.0,1676.0,1405.0,537.0,8.0
0.0,0.0,0.0,0.0,0.0,0.0,2.0,20.0,48.0,24.0,105.0,297.0,546.0,462.0,2126.0,1433.0,1921.0,1929.0,1057.0,30.0
0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,15.0,2.0,44.0,141.0,276.0,257.0,1779.0,1050.0,1708.0,2571.0,2022.0,132.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,18.0,54.0,51.0,904.0,367.0,900.0,1684.0,5410.0,611.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,42.0,14.0,62.0,155.0,508.0,9218.0
