Palmeiras,Athletico Paranaense,São Paulo,Fluminense,Flamengo,Bahia,Coritiba,Grêmio,Vasco da Gama,Vitória,Corinthians,Internacional,Atlético-MG,Red Bull Bragantino,Chapecoense,Santos,Botafogo,Mirassol,Remo,Cruzeiro
4211.0,715.0,377.0,429.0,4107.0,114.0,20.0,14.0,5.0,5.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2936.0,1482.0,980.0,990.0,3112.0,276.0,116.0,45.0,28.0,10.0,14.0,9.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1486.0,2223.0,1804.0,1678.0,1426.0,699.0,252.0,185.0,104.0,40.0,57.0,26.0,7.0,0.0,4.0,6.0,0.0,2.0,1.0,0.0
692.0,2031.0,1996.0,1981.0,731.0,1071.0,498.0,373.0,266.0,96.0,144.0,66.0,19.0,0.0,4.0,11.0,6.0,9.0,5.0,1.0
377.0,1385.0,1785.0,1799.0,334.0,1413.0,796.0,718.0,480.0,196.0,348.0,177.0,55.0,8.0,25.0,47.0,18.0,19.0,19.0,1.0
171.0,907.0,1242.0,1253.0,159.0,1673.0,1201.0,978.0,790.0,365.0,535.0,310.0,140.0,23.0,53.0,86.0,43.0,38.0,30.0,3.0
75.0,542.0,729.0,751.0,72.0,1460.0,1412.0,1232.0,1064.0,563.0,782.0,514.0,250.0,50.0,105.0,169.0,77.0,86.0,59.0,8.0
31.0,322.0,464.0,444.0,26.0,1006.0,1299.0,1265.0,1251.0,805.0,1065.0,673.0,356.0,86.0,175.0,293.0,142.0,164.0,111.0,22.0
15.0,189.0,283.0,295.0,19.0,770.0,1147.0,1191.0,1153.0,944.0,1167.0,851.0,494.0,152.0,235.0,390.0,211.0,280.0,174.0,40.0
1.0,96.0,152.0,168.0,4.0,510.0,979.0,1024.0,1071.0,1048.0,1127.0,994.0,625.0,238.0,419.0,580.0,286.0,334.0,281.0,63.0
3.0,49.0,90.0,107.0,7.0,348.0,702.0,791.0,950.0,1081.0,1030.0,1068.0,818.0,342.0,482.0,686.0,457.0,496.0,393.0,100.0
2.0,26.0,37.0,55.0,3.0,233.0,521.0,669.0,750.0,983.0,940.0,1021.0,901.0,504.0,666.0,872.0,537.0,623.0,506.0,151.0
0.0,18.0,28.0,22.0,0.0,160.0,381.0,485.0,651.0,941.0,765.0,1030.0,961.0,622.0,824.0,893.0,635.0,704.0,654.0,226.0
0.0,3.0,13.0,18.0,0.0,108.0,249.0,364.0,485.0,763.0,615.0,871.0,1007.0,767.0,928.0,1005.0,815.0,853.0,794.0,342.0
0.0,3.0,10.0,3.0,0.0,79.0,180.0,254.0,357.0,676.0,466.0,716.0,974.0,881.0,1063.0,1017.0,920.0,1030.0,912.0,459.0
0.0,4.0,7.0,5.0,0.0,41.0,110.0,178.0,239.0,510.0,381.0,561.0,911.0,1118.0,1051.0,1054.0,1029.0,1112.0,1018.0,671.0
0.0,2.0,1.0,1.0,0.0,21.0,80.0,108.0,186.0,408.0,237.0,458.0,873.0,1236.0,1046.0,934.0,1157.0,1162.0,1224.0,866.0
0.0,3.0,1.0,1.0,0.0,13.0,34.0,71.0,96.0,281.0,183.0,347.0,698.0,1319.0,1117.0,874.0,1237.0,1135.0,1242.0,1348.0
0.0,0.0,1.0,0.0,0.0,4.0,12.0,40.0,56.0,183.0,99.0,203.0,559.0,1432.0,1002.0,673.0,1301.0,1102.0,1414.0,1919.0
0.0,0.0,0.0,0.0,0.0,1.0,11.0,15.0,18.0,102.0,43.0,105.0,350.0,1222.0,801.0,409.0,1129.0,851.0,1163.0,3780.0
