Arsenal,Manchester City,Manchester United,Aston Villa,Liverpool,Chelsea,Brentford,AFC Bournemouth,Brighton & Hove Albion,Everton,Sunderland,Fulham,Crystal Palace,Newcastle United,Leeds United,Nottingham Forest,West Ham United,Tottenham Hotspur,Burnley,Wolverhampton Wanderers
6485.0,3515.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3514.0,6482.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,3.0,5592.0,2717.0,1685.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3034.0,4024.0,2894.0,35.0,3.0,5.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1292.0,3081.0,4742.0,430.0,102.0,150.0,145.0,30.0,22.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,70.0,169.0,510.0,3194.0,915.0,1508.0,2097.0,838.0,363.0,262.0,66.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,8.0,8.0,123.0,2077.0,1495.0,1701.0,2003.0,1256.0,600.0,559.0,147.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,38.0,1426.0,1679.0,1749.0,1738.0,1405.0,806.0,845.0,230.0,75.0,9.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,0.0,8.0,1099.0,1715.0,1517.0,1426.0,1573.0,1011.0,1092.0,328.0,199.0,31.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,782.0,1552.0,1292.0,1103.0,1609.0,1330.0,1411.0,513.0,339.0,69.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,533.0,1240.0,1010.0,734.0,1331.0,1643.0,1822.0,845.0,669.0,165.0,8.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,299.0,771.0,683.0,447.0,1099.0,1943.0,1832.0,1390.0,1118.0,395.0,20.0,3.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,100.0,416.0,297.0,222.0,603.0,1398.0,1248.0,2415.0,2167.0,997.0,113.0,24.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,19.0,104.0,75.0,71.0,221.0,707.0,716.0,2392.0,3146.0,2124.0,345.0,75.0,5.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,4.0,8.0,13.0,10.0,35.0,165.0,200.0,1441.0,1839.0,4809.0,1162.0,231.0,83.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,9.0,214.0,384.0,1174.0,6243.0,1322.0,643.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,33.0,197.0,1774.0,4491.0,3488.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,335.0,3854.0,5781.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7684.0,2316.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2316.0,7684.0
