Bayern Munich,Borussia Dortmund,RB Leipzig,VfB Stuttgart,TSG Hoffenheim,Bayer Leverkusen,SC Freiburg,Eintracht Frankfurt,FC Augsburg,Mainz,1. FC Union Berlin,FC Cologne,Borussia Mönchengladbach,Hamburg SV,Werder Bremen,St. Pauli,VfL Wolfsburg,1. FC Heidenheim 1846
10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,9652.0,337.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,331.0,8284.0,937.0,339.0,109.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,17.0,1201.0,5292.0,2624.0,866.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,153.0,2639.0,4424.0,2784.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,25.0,1123.0,2611.0,6235.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,6.0,5518.0,4334.0,130.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,4237.0,4959.0,669.0,129.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,237.0,659.0,4782.0,3169.0,444.0,190.0,344.0,104.0,70.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,3.0,47.0,2818.0,3882.0,1068.0,799.0,734.0,393.0,250.0,6.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,901.0,1536.0,2047.0,2066.0,1619.0,1081.0,731.0,18.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,438.0,676.0,1941.0,2039.0,1972.0,1574.0,1309.0,48.0,3.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,388.0,1812.0,1889.0,1901.0,1925.0,1691.0,176.0,18.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,168.0,1517.0,1680.0,1648.0,2204.0,2251.0,411.0,70.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,37.0,1047.0,1118.0,1430.0,2195.0,3087.0,893.0,182.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,119.0,216.0,343.0,514.0,601.0,5965.0,2209.0,30.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,9.0,8.0,10.0,2394.0,7119.0,456.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,398.0,9514.0
