Palmeiras,Flamengo,Fluminense,São Paulo,Bahia,Athletico Paranaense,Coritiba,Red Bull Bragantino,Botafogo,Vasco da Gama,Vitória,Atlético-MG,Grêmio,Internacional,Santos,Cruzeiro,Corinthians,Mirassol,Remo,Chapecoense
6663.0,2895.0,269.0,57.0,51.0,27.0,25.0,2.0,7.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2593.0,4965.0,1238.0,422.0,331.0,144.0,153.0,43.0,88.0,11.0,5.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
550.0,1337.0,3324.0,1510.0,1218.0,595.0,619.0,263.0,416.0,72.0,31.0,27.0,13.0,13.0,5.0,4.0,3.0,0.0,0.0,0.0
130.0,475.0,1987.0,1851.0,1715.0,1064.0,1032.0,493.0,750.0,201.0,63.0,128.0,31.0,36.0,14.0,23.0,5.0,2.0,0.0,0.0
43.0,177.0,1267.0,1583.0,1698.0,1338.0,1303.0,716.0,955.0,358.0,121.0,193.0,67.0,69.0,44.0,43.0,14.0,10.0,1.0,0.0
12.0,80.0,768.0,1296.0,1380.0,1391.0,1406.0,968.0,1146.0,492.0,240.0,339.0,126.0,125.0,69.0,104.0,44.0,13.0,1.0,0.0
7.0,42.0,453.0,1027.0,1068.0,1312.0,1296.0,1237.0,1208.0,686.0,339.0,490.0,199.0,212.0,138.0,194.0,64.0,26.0,2.0,0.0
1.0,17.0,294.0,777.0,831.0,1127.0,1142.0,1263.0,1198.0,890.0,446.0,658.0,330.0,306.0,213.0,317.0,130.0,56.0,4.0,0.0
1.0,5.0,179.0,540.0,572.0,875.0,952.0,1169.0,1124.0,1130.0,612.0,845.0,505.0,461.0,337.0,391.0,201.0,91.0,10.0,0.0
0.0,5.0,105.0,355.0,423.0,678.0,689.0,1020.0,903.0,1201.0,780.0,1004.0,655.0,605.0,513.0,595.0,286.0,163.0,19.0,1.0
0.0,1.0,51.0,238.0,248.0,494.0,493.0,828.0,683.0,1119.0,921.0,1166.0,858.0,856.0,648.0,722.0,426.0,222.0,25.0,1.0
0.0,1.0,27.0,151.0,186.0,366.0,351.0,668.0,467.0,965.0,1026.0,1078.0,1011.0,962.0,841.0,869.0,582.0,371.0,72.0,6.0
0.0,0.0,19.0,95.0,119.0,216.0,228.0,477.0,402.0,824.0,1075.0,1065.0,1049.0,1074.0,980.0,1046.0,772.0,448.0,106.0,5.0
0.0,0.0,10.0,56.0,78.0,176.0,135.0,344.0,252.0,666.0,1046.0,900.0,1129.0,1157.0,1118.0,1111.0,967.0,637.0,202.0,16.0
0.0,0.0,5.0,21.0,38.0,97.0,86.0,226.0,196.0,579.0,1076.0,746.0,1090.0,1100.0,1222.0,1074.0,1180.0,946.0,295.0,23.0
0.0,0.0,3.0,13.0,32.0,55.0,51.0,140.0,105.0,373.0,839.0,595.0,1001.0,1099.0,1261.0,1180.0,1414.0,1249.0,503.0,87.0
0.0,0.0,1.0,4.0,7.0,37.0,25.0,99.0,50.0,252.0,712.0,415.0,938.0,940.0,1174.0,1001.0,1574.0,1609.0,982.0,180.0
0.0,0.0,0.0,4.0,4.0,8.0,10.0,33.0,37.0,134.0,469.0,245.0,652.0,667.0,904.0,888.0,1419.0,2240.0,1797.0,489.0
0.0,0.0,0.0,0.0,1.0,0.0,4.0,10.0,12.0,41.0,176.0,90.0,306.0,285.0,448.0,379.0,780.0,1512.0,4260.0,1696.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,23.0,10.0,39.0,32.0,71.0,59.0,139.0,405.0,1721.0,7496.0
