Barcelona,Real Madrid,Villarreal,Atlético Madrid,Real Betis,Celta Vigo,Real Sociedad,Getafe,Osasuna,Espanyol,Girona,Athletic Club,Rayo Vallecano,Valencia,Mallorca,Sevilla,Alavés,Elche,Levante,Real Oviedo
9911.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89.0,9838.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,73.0,8879.0,1048.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1048.0,8914.0,21.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,37.0,6156.0,2138.0,1210.0,308.0,79.0,19.0,40.0,11.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,1.0,2331.0,3806.0,2148.0,982.0,329.0,115.0,171.0,77.0,19.0,6.0,11.0,2.0,0.0,2.0,0.0,0.0
0.0,0.0,0.0,0.0,1043.0,2357.0,2876.0,1706.0,840.0,327.0,459.0,214.0,89.0,37.0,34.0,9.0,4.0,5.0,0.0,0.0
0.0,0.0,0.0,0.0,325.0,999.0,1761.0,2434.0,1726.0,731.0,855.0,562.0,256.0,124.0,131.0,43.0,31.0,22.0,0.0,0.0
0.0,0.0,0.0,0.0,85.0,418.0,915.0,1859.0,1840.0,1167.0,1422.0,971.0,515.0,233.0,313.0,97.0,98.0,66.0,1.0,0.0
0.0,0.0,0.0,0.0,31.0,180.0,529.0,1183.0,1638.0,1434.0,1562.0,1175.0,734.0,474.0,543.0,178.0,201.0,136.0,2.0,0.0
0.0,0.0,0.0,0.0,8.0,60.0,307.0,724.0,1267.0,1477.0,1499.0,1373.0,1004.0,613.0,767.0,259.0,370.0,267.0,5.0,0.0
0.0,0.0,0.0,0.0,0.0,19.0,131.0,430.0,908.0,1339.0,1207.0,1443.0,1214.0,875.0,1011.0,439.0,533.0,431.0,20.0,0.0
0.0,0.0,0.0,0.0,0.0,3.0,71.0,215.0,602.0,1191.0,1032.0,1290.0,1209.0,1106.0,1211.0,668.0,762.0,604.0,34.0,2.0
0.0,0.0,0.0,0.0,0.0,3.0,39.0,95.0,394.0,836.0,673.0,1064.0,1314.0,1341.0,1273.0,918.0,1048.0,915.0,78.0,9.0
0.0,0.0,0.0,0.0,0.0,0.0,11.0,45.0,231.0,639.0,492.0,796.0,1199.0,1397.0,1294.0,1301.0,1291.0,1125.0,149.0,30.0
0.0,0.0,0.0,0.0,0.0,1.0,1.0,14.0,93.0,385.0,332.0,561.0,1019.0,1359.0,1235.0,1663.0,1495.0,1462.0,305.0,75.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,39.0,226.0,177.0,320.0,781.0,1321.0,1066.0,1918.0,1671.0,1685.0,637.0,154.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,99.0,74.0,128.0,527.0,896.0,780.0,1744.0,1760.0,2041.0,1422.0,518.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,15.0,5.0,15.0,110.0,204.0,262.0,681.0,626.0,990.0,5050.0,2039.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,14.0,69.0,80.0,110.0,249.0,2297.0,7173.0
