Palmeiras,Flamengo,Athletico Paranaense,Fluminense,Cruzeiro,Bahia,Corinthians,Red Bull Bragantino,Botafogo,Coritiba,Atlético-MG,São Paulo,Vitória,Grêmio,Mirassol,Internacional,Santos,Vasco da Gama,Remo,Chapecoense
8121.0,1820.0,52.0,3.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781.0,7486.0,493.0,125.0,38.0,9.0,3.0,4.0,51.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92.0,582.0,5013.0,1823.0,793.0,319.0,197.0,112.0,813.0,32.0,172.0,46.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0
6.0,88.0,2096.0,2585.0,1377.0,779.0,550.0,281.0,1544.0,108.0,435.0,108.0,4.0,20.0,17.0,1.0,0.0,1.0,0.0,0.0
0.0,19.0,1123.0,1913.0,1447.0,1140.0,872.0,521.0,1719.0,209.0,707.0,230.0,8.0,47.0,37.0,5.0,1.0,2.0,0.0,0.0
0.0,2.0,586.0,1286.0,1505.0,1430.0,1043.0,715.0,1479.0,355.0,939.0,421.0,24.0,116.0,64.0,18.0,9.0,7.0,1.0,0.0
0.0,3.0,309.0,869.0,1276.0,1362.0,1183.0,971.0,1287.0,477.0,1185.0,607.0,41.0,190.0,150.0,31.0,25.0,24.0,10.0,0.0
0.0,0.0,170.0,564.0,1108.0,1254.0,1301.0,1116.0,979.0,691.0,1246.0,789.0,91.0,302.0,224.0,61.0,42.0,45.0,17.0,0.0
0.0,0.0,82.0,390.0,853.0,1077.0,1245.0,1223.0,757.0,928.0,1208.0,1024.0,143.0,426.0,342.0,120.0,68.0,70.0,44.0,0.0
0.0,0.0,45.0,214.0,612.0,863.0,1063.0,1294.0,544.0,1181.0,1141.0,1169.0,237.0,607.0,522.0,207.0,122.0,123.0,56.0,0.0
0.0,0.0,18.0,111.0,454.0,656.0,872.0,1094.0,354.0,1315.0,984.0,1199.0,333.0,893.0,787.0,306.0,223.0,267.0,134.0,0.0
0.0,0.0,7.0,61.0,262.0,475.0,688.0,918.0,218.0,1312.0,759.0,1209.0,545.0,1076.0,1056.0,516.0,311.0,361.0,226.0,0.0
0.0,0.0,4.0,34.0,144.0,302.0,444.0,647.0,121.0,1109.0,531.0,1047.0,805.0,1314.0,1268.0,771.0,490.0,579.0,390.0,0.0
0.0,0.0,2.0,10.0,69.0,168.0,266.0,464.0,76.0,924.0,316.0,738.0,1022.0,1298.0,1300.0,1045.0,755.0,908.0,636.0,3.0
0.0,0.0,0.0,8.0,29.0,84.0,135.0,301.0,33.0,582.0,175.0,592.0,1245.0,1172.0,1315.0,1308.0,1014.0,1112.0,891.0,4.0
0.0,0.0,0.0,3.0,20.0,42.0,80.0,186.0,13.0,374.0,110.0,380.0,1454.0,975.0,1098.0,1460.0,1245.0,1396.0,1155.0,9.0
0.0,0.0,0.0,0.0,9.0,28.0,39.0,91.0,8.0,227.0,54.0,255.0,1480.0,757.0,914.0,1493.0,1515.0,1539.0,1572.0,19.0
0.0,0.0,0.0,1.0,2.0,10.0,16.0,48.0,2.0,130.0,21.0,127.0,1430.0,489.0,575.0,1412.0,1803.0,1739.0,2123.0,72.0
0.0,0.0,0.0,0.0,0.0,1.0,3.0,14.0,1.0,46.0,8.0,55.0,1104.0,302.0,316.0,1185.0,2259.0,1745.0,2616.0,345.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,33.0,13.0,13.0,61.0,118.0,82.0,129.0,9548.0
