Excelsior,Go Ahead Eagles,AZ Alkmaar,Ajax Amsterdam,FC Groningen,Telstar,Feyenoord Rotterdam,Heerenveen,Fortuna Sittard,PSV Eindhoven,NEC Nijmegen,FC Utrecht,Sparta Rotterdam,FC Twente,ADO Den Haag,PEC Zwolle,Willem II,SC Cambuur
6978.0,1284.0,748.0,823.0,31.0,65.0,69.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82.0,3071.0,2220.0,3151.0,321.0,502.0,613.0,36.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
324.0,225.0,1481.0,3298.0,905.0,1531.0,1950.0,233.0,11.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
596.0,647.0,541.0,1374.0,1104.0,1769.0,2951.0,640.0,108.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
637.0,1059.0,934.0,369.0,912.0,1360.0,2280.0,1082.0,344.0,1023.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
674.0,1308.0,1216.0,353.0,1041.0,795.0,1073.0,1072.0,609.0,1859.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
451.0,1421.0,1499.0,353.0,1974.0,862.0,327.0,680.0,625.0,1808.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
208.0,807.0,1079.0,219.0,2620.0,2038.0,471.0,1178.0,337.0,1043.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50.0,178.0,282.0,60.0,1092.0,1078.0,266.0,5077.0,120.0,222.0,568.0,588.0,36.0,263.0,66.0,7.0,42.0,5.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,504.0,120.0,3040.0,3304.0,251.0,1786.0,488.0,82.0,331.0,94.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1544.0,619.0,128.0,1833.0,410.0,2757.0,1275.0,198.0,963.0,273.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2268.0,1126.0,656.0,541.0,257.0,1548.0,1435.0,296.0,1393.0,480.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2103.0,1069.0,1484.0,1014.0,467.0,740.0,1017.0,321.0,1156.0,629.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1096.0,588.0,1844.0,1286.0,1657.0,820.0,828.0,369.0,939.0,573.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,283.0,181.0,1514.0,958.0,3053.0,939.0,1570.0,328.0,602.0,572.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,24.0,633.0,402.0,2769.0,815.0,2165.0,2613.0,220.0,316.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,124.0,68.0,975.0,305.0,1019.0,4352.0,3070.0,81.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,6.0,125.0,27.0,137.0,1434.0,1284.0,6977.0
