Bayern Munich,Borussia Dortmund,RB Leipzig,VfB Stuttgart,TSG Hoffenheim,Bayer Leverkusen,Eintracht Frankfurt,SC Freiburg,FC Augsburg,Mainz,1. FC Union Berlin,FC Cologne,Hamburg SV,Werder Bremen,Borussia Mönchengladbach,St. Pauli,VfL Wolfsburg,1. FC Heidenheim 1846
10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,9669.0,299.0,31.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,309.0,7868.0,1452.0,308.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,22.0,1618.0,5527.0,2203.0,630.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,199.0,2194.0,5055.0,2552.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,16.0,796.0,2433.0,6749.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,6.0,5126.0,4627.0,191.0,48.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,4192.0,4684.0,781.0,321.0,6.0,0.0,3.0,0.0,13.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,624.0,591.0,4552.0,3128.0,338.0,181.0,60.0,45.0,481.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,55.0,90.0,2892.0,3691.0,983.0,820.0,299.0,217.0,952.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,999.0,1433.0,2058.0,2285.0,910.0,723.0,1570.0,17.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,357.0,735.0,1949.0,2136.0,1520.0,1273.0,1973.0,54.0,3.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172.0,400.0,1767.0,1883.0,2070.0,1816.0,1697.0,183.0,12.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,177.0,1678.0,1548.0,2274.0,2281.0,1548.0,378.0,65.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,61.0,1115.0,987.0,2351.0,3041.0,1372.0,909.0,158.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,106.0,158.0,506.0,600.0,378.0,6073.0,2077.0,96.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,4.0,14.0,2206.0,7047.0,720.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179.0,638.0,9183.0
