Barcelona,Real Madrid,Villarreal,Atlético Madrid,Real Betis,Celta Vigo,Real Sociedad,Getafe,Osasuna,Espanyol,Girona,Athletic Club,Rayo Vallecano,Valencia,Mallorca,Sevilla,Alavés,Elche,Levante,Real Oviedo
9913.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87.0,9836.0,75.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,77.0,8994.0,929.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,931.0,9030.0,26.0,11.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,38.0,6192.0,1984.0,1350.0,278.0,73.0,24.0,42.0,14.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,1.0,2297.0,3839.0,2163.0,938.0,361.0,125.0,170.0,77.0,10.0,7.0,9.0,2.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1013.0,2409.0,2821.0,1742.0,816.0,359.0,449.0,220.0,84.0,29.0,34.0,8.0,7.0,9.0,0.0,0.0
0.0,0.0,0.0,0.0,350.0,1095.0,1711.0,2387.0,1699.0,727.0,905.0,609.0,218.0,93.0,125.0,29.0,28.0,24.0,0.0,0.0
0.0,0.0,0.0,0.0,88.0,415.0,965.0,1889.0,1855.0,1211.0,1326.0,1019.0,491.0,219.0,273.0,107.0,73.0,69.0,0.0,0.0
0.0,0.0,0.0,0.0,28.0,156.0,518.0,1167.0,1574.0,1379.0,1640.0,1350.0,728.0,406.0,532.0,174.0,197.0,148.0,3.0,0.0
0.0,0.0,0.0,0.0,5.0,60.0,246.0,761.0,1263.0,1426.0,1485.0,1415.0,1038.0,633.0,783.0,289.0,350.0,237.0,9.0,0.0
0.0,0.0,0.0,0.0,1.0,22.0,116.0,416.0,925.0,1378.0,1221.0,1419.0,1156.0,859.0,1057.0,420.0,598.0,394.0,18.0,0.0
0.0,0.0,0.0,0.0,0.0,7.0,66.0,226.0,622.0,1154.0,989.0,1291.0,1276.0,1072.0,1141.0,657.0,819.0,642.0,38.0,0.0
0.0,0.0,0.0,0.0,0.0,2.0,32.0,119.0,406.0,848.0,712.0,994.0,1262.0,1289.0,1306.0,959.0,1099.0,892.0,68.0,12.0
0.0,0.0,0.0,0.0,0.0,0.0,10.0,50.0,229.0,618.0,469.0,692.0,1233.0,1492.0,1294.0,1252.0,1345.0,1144.0,139.0,33.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,105.0,395.0,321.0,491.0,1017.0,1386.0,1273.0,1661.0,1456.0,1511.0,290.0,76.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,60.0,238.0,182.0,300.0,801.0,1323.0,1085.0,1903.0,1625.0,1731.0,582.0,163.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,11.0,99.0,84.0,94.0,552.0,941.0,765.0,1793.0,1725.0,2011.0,1422.0,501.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,19.0,5.0,15.0,122.0,238.0,279.0,670.0,561.0,919.0,5179.0,1992.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,43.0,75.0,116.0,269.0,2252.0,7223.0
