Arsenal,Manchester City,Manchester United,Aston Villa,Liverpool,Chelsea,Brentford,AFC Bournemouth,Brighton & Hove Albion,Everton,Sunderland,Fulham,Crystal Palace,Newcastle United,Leeds United,Nottingham Forest,West Ham United,Tottenham Hotspur,Burnley,Wolverhampton Wanderers
7990.0,2010.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010.0,7973.0,13.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,17.0,6713.0,2107.0,1147.0,5.0,3.0,0.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,2503.0,4366.0,2852.0,132.0,16.0,28.0,42.0,41.0,18.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,709.0,2849.0,4096.0,930.0,224.0,275.0,336.0,406.0,144.0,24.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,53.0,506.0,1114.0,2322.0,848.0,1298.0,1626.0,1340.0,633.0,205.0,52.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,8.0,115.0,434.0,1826.0,1246.0,1639.0,1838.0,1514.0,819.0,434.0,97.0,29.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,40.0,216.0,1433.0,1512.0,1661.0,1705.0,1532.0,995.0,649.0,172.0,76.0,8.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,13.0,96.0,1219.0,1649.0,1559.0,1514.0,1418.0,1069.0,966.0,328.0,147.0,22.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,33.0,941.0,1677.0,1368.0,1225.0,1340.0,1402.0,1253.0,420.0,280.0,61.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,11.0,650.0,1349.0,1042.0,839.0,1121.0,1725.0,1784.0,796.0,557.0,124.0,2.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0,367.0,900.0,715.0,572.0,780.0,1671.0,2179.0,1331.0,1112.0,357.0,12.0,3.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,143.0,446.0,288.0,202.0,356.0,1031.0,1422.0,2630.0,2425.0,993.0,47.0,17.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,31.0,115.0,111.0,90.0,128.0,414.0,866.0,2562.0,3241.0,2153.0,214.0,64.0,11.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1.0,15.0,16.0,9.0,20.0,77.0,211.0,1430.0,1874.0,5183.0,795.0,275.0,94.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,159.0,233.0,930.0,5328.0,1831.0,1514.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,23.0,151.0,2524.0,3988.0,3298.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,1078.0,3820.0,5081.0,4.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,8169.0,1827.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1827.0,8173.0
