Palmeiras,Flamengo,Athletico Paranaense,Fluminense,Cruzeiro,Bahia,Red Bull Bragantino,Botafogo,Coritiba,Atlético-MG,Corinthians,São Paulo,Vitória,Grêmio,Mirassol,Internacional,Santos,Vasco da Gama,Remo,Chapecoense
6484.0,3487.0,28.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3394.0,6179.0,331.0,60.0,15.0,5.0,1.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114.0,288.0,5249.0,1903.0,740.0,263.0,332.0,807.0,22.0,154.0,74.0,36.0,0.0,5.0,11.0,0.0,1.0,1.0,0.0,0.0
6.0,33.0,2052.0,2648.0,1369.0,698.0,807.0,1478.0,83.0,421.0,223.0,110.0,7.0,21.0,33.0,2.0,5.0,4.0,0.0,0.0
1.0,11.0,1116.0,1802.0,1618.0,1075.0,1065.0,1652.0,151.0,710.0,400.0,237.0,19.0,57.0,64.0,5.0,15.0,1.0,1.0,0.0
1.0,2.0,554.0,1327.0,1494.0,1255.0,1262.0,1563.0,286.0,958.0,569.0,422.0,45.0,90.0,122.0,18.0,26.0,6.0,0.0,0.0
0.0,0.0,311.0,850.0,1250.0,1387.0,1286.0,1326.0,447.0,1119.0,817.0,631.0,62.0,183.0,223.0,34.0,47.0,24.0,3.0,0.0
0.0,0.0,163.0,558.0,1125.0,1279.0,1230.0,993.0,596.0,1183.0,1098.0,853.0,127.0,259.0,324.0,63.0,101.0,44.0,4.0,0.0
0.0,0.0,103.0,380.0,811.0,1165.0,1059.0,746.0,855.0,1216.0,1184.0,1039.0,214.0,409.0,462.0,116.0,163.0,66.0,12.0,0.0
0.0,0.0,59.0,214.0,607.0,917.0,899.0,523.0,1034.0,1179.0,1230.0,1168.0,303.0,613.0,647.0,217.0,245.0,121.0,24.0,0.0
0.0,0.0,18.0,130.0,423.0,705.0,740.0,352.0,1217.0,990.0,1219.0,1189.0,445.0,815.0,851.0,294.0,350.0,208.0,54.0,0.0
0.0,0.0,9.0,66.0,256.0,471.0,506.0,246.0,1353.0,756.0,1000.0,1164.0,619.0,1018.0,1056.0,532.0,515.0,346.0,87.0,0.0
0.0,0.0,5.0,32.0,151.0,366.0,362.0,142.0,1145.0,540.0,763.0,980.0,873.0,1224.0,1258.0,724.0,701.0,551.0,183.0,0.0
0.0,0.0,0.0,18.0,81.0,206.0,209.0,86.0,967.0,356.0,575.0,795.0,1092.0,1344.0,1198.0,1021.0,989.0,769.0,294.0,0.0
0.0,0.0,2.0,6.0,32.0,105.0,120.0,37.0,737.0,192.0,374.0,543.0,1351.0,1228.0,1205.0,1299.0,1134.0,1087.0,548.0,0.0
0.0,0.0,0.0,4.0,17.0,52.0,74.0,23.0,498.0,128.0,249.0,388.0,1364.0,1075.0,983.0,1547.0,1393.0,1381.0,824.0,0.0
0.0,0.0,0.0,1.0,8.0,33.0,35.0,6.0,327.0,59.0,132.0,272.0,1456.0,806.0,775.0,1575.0,1464.0,1721.0,1328.0,2.0
0.0,0.0,0.0,0.0,3.0,15.0,10.0,5.0,196.0,29.0,64.0,116.0,1282.0,596.0,541.0,1441.0,1528.0,1943.0,2223.0,8.0
0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,86.0,10.0,29.0,57.0,741.0,257.0,246.0,1109.0,1318.0,1717.0,4383.0,41.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,5.0,10.0,32.0,9949.0
