Barcelona,Real Madrid,Villarreal,Atlético Madrid,Real Betis,Celta Vigo,Real Sociedad,Getafe,Athletic Club,Osasuna,Espanyol,Valencia,Girona,Rayo Vallecano,Sevilla,Alavés,Elche,Mallorca,Levante,Real Oviedo
8416.0,1584.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1582.0,8394.0,19.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,22.0,6242.0,3734.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3735.0,6248.0,15.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,4.0,12.0,7002.0,1506.0,907.0,189.0,84.0,225.0,42.0,13.0,10.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,1.0,1792.0,3794.0,2084.0,763.0,398.0,749.0,189.0,131.0,39.0,50.0,2.0,7.0,0.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,790.0,2205.0,2494.0,1340.0,737.0,1395.0,462.0,257.0,131.0,162.0,3.0,15.0,7.0,2.0,0.0,0.0
0.0,0.0,0.0,0.0,249.0,1284.0,1764.0,1777.0,1144.0,1815.0,754.0,447.0,276.0,398.0,25.0,42.0,17.0,8.0,0.0,0.0
0.0,0.0,0.0,0.0,88.0,646.0,1099.0,1800.0,1408.0,1714.0,1141.0,761.0,453.0,639.0,54.0,118.0,48.0,31.0,0.0,0.0
0.0,0.0,0.0,0.0,51.0,302.0,717.0,1469.0,1513.0,1356.0,1414.0,1063.0,744.0,916.0,93.0,199.0,110.0,49.0,4.0,0.0
0.0,0.0,0.0,0.0,9.0,154.0,411.0,1064.0,1442.0,1006.0,1483.0,1370.0,1005.0,1201.0,150.0,379.0,205.0,108.0,13.0,0.0
0.0,0.0,0.0,0.0,2.0,62.0,263.0,758.0,1202.0,736.0,1477.0,1392.0,1283.0,1338.0,296.0,627.0,356.0,191.0,17.0,0.0
0.0,0.0,0.0,0.0,2.0,31.0,145.0,445.0,912.0,513.0,1207.0,1421.0,1406.0,1511.0,495.0,925.0,606.0,337.0,44.0,0.0
0.0,0.0,0.0,0.0,0.0,11.0,71.0,213.0,623.0,257.0,884.0,1286.0,1484.0,1309.0,881.0,1363.0,937.0,585.0,96.0,0.0
0.0,0.0,0.0,0.0,0.0,2.0,28.0,119.0,344.0,128.0,531.0,849.0,1317.0,1040.0,1337.0,1740.0,1331.0,959.0,269.0,6.0
0.0,0.0,0.0,0.0,0.0,0.0,11.0,51.0,142.0,70.0,269.0,591.0,898.0,703.0,1912.0,1682.0,1620.0,1445.0,591.0,15.0
0.0,0.0,0.0,0.0,0.0,0.0,5.0,8.0,42.0,28.0,113.0,283.0,607.0,428.0,2083.0,1435.0,1909.0,1997.0,1028.0,34.0
0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,9.0,8.0,31.0,118.0,291.0,245.0,1735.0,1058.0,1787.0,2495.0,2087.0,130.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,18.0,56.0,54.0,889.0,392.0,984.0,1664.0,5280.0,660.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,18.0,83.0,128.0,571.0,9155.0
