Paris Saint-Germain,Lens,Marseille,Lyon,Lille,AS Monaco,Stade Rennais,Strasbourg,Toulouse,Lorient,Brest,Angers,Paris FC,Le Havre AC,Nice,AJ Auxerre,Nantes,Metz
9364.0,636.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
636.0,9250.0,93.0,4.0,15.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,105.0,6551.0,837.0,1405.0,924.0,165.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,9.0,1974.0,2393.0,2967.0,2016.0,517.0,124.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,867.0,2699.0,2492.0,2391.0,1105.0,438.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,358.0,2239.0,1938.0,2399.0,2015.0,1000.0,14.0,31.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,137.0,1364.0,946.0,1564.0,3657.0,2065.0,61.0,157.0,46.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,19.0,420.0,217.0,658.0,2309.0,4499.0,568.0,997.0,307.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,41.0,18.0,44.0,188.0,1251.0,2882.0,3839.0,1554.0,63.0,111.0,5.0,3.0,0.0,0.0,0.0
0.0,0.0,0.0,3.0,2.0,3.0,37.0,458.0,3262.0,2884.0,2735.0,232.0,359.0,19.0,6.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6.0,139.0,2495.0,1671.0,3832.0,726.0,1007.0,81.0,42.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,598.0,344.0,1126.0,2950.0,3923.0,684.0,321.0,42.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,112.0,65.0,338.0,3781.0,2941.0,1603.0,1002.0,157.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,56.0,1688.0,1279.0,3569.0,2707.0,687.0,2.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,521.0,344.0,3088.0,3994.0,2029.0,18.0,6.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,27.0,941.0,1906.0,6442.0,580.0,65.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,19.0,624.0,7203.0,2144.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,2197.0,7785.0
