Palmeiras,Athletico Paranaense,São Paulo,Fluminense,Flamengo,Bahia,Coritiba,Grêmio,Vasco da Gama,Vitória,Corinthians,Internacional,Atlético-MG,Red Bull Bragantino,Chapecoense,Santos,Botafogo,Mirassol,Remo,Cruzeiro
4296.0,747.0,436.0,409.0,3953.0,102.0,31.0,18.0,3.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2845.0,1511.0,1007.0,1005.0,3099.0,307.0,73.0,73.0,35.0,18.0,18.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1429.0,2239.0,1798.0,1663.0,1474.0,723.0,236.0,183.0,102.0,32.0,72.0,24.0,9.0,1.0,3.0,7.0,0.0,5.0,0.0,0.0
743.0,1941.0,1881.0,1987.0,777.0,1097.0,527.0,390.0,246.0,101.0,176.0,60.0,21.0,4.0,9.0,21.0,9.0,6.0,4.0,0.0
378.0,1413.0,1702.0,1699.0,375.0,1519.0,833.0,667.0,500.0,240.0,324.0,164.0,52.0,10.0,15.0,54.0,21.0,20.0,13.0,1.0
167.0,884.0,1261.0,1234.0,180.0,1657.0,1225.0,950.0,758.0,396.0,539.0,310.0,136.0,23.0,46.0,95.0,54.0,41.0,39.0,5.0
83.0,562.0,741.0,789.0,81.0,1383.0,1392.0,1236.0,1065.0,545.0,780.0,527.0,229.0,45.0,111.0,200.0,82.0,72.0,68.0,9.0
30.0,296.0,481.0,499.0,31.0,1009.0,1315.0,1246.0,1184.0,812.0,1087.0,688.0,349.0,92.0,177.0,273.0,141.0,168.0,107.0,15.0
11.0,182.0,276.0,304.0,17.0,731.0,1083.0,1202.0,1207.0,941.0,1148.0,843.0,512.0,162.0,272.0,401.0,243.0,247.0,187.0,31.0
14.0,92.0,179.0,177.0,6.0,560.0,933.0,992.0,1067.0,1000.0,1139.0,968.0,662.0,256.0,387.0,562.0,297.0,358.0,270.0,81.0
2.0,58.0,103.0,103.0,5.0,321.0,720.0,826.0,973.0,985.0,1010.0,1052.0,766.0,376.0,543.0,750.0,431.0,498.0,382.0,96.0
1.0,34.0,59.0,50.0,1.0,217.0,526.0,649.0,766.0,1018.0,878.0,1092.0,917.0,487.0,657.0,819.0,560.0,630.0,482.0,157.0
0.0,22.0,32.0,44.0,1.0,133.0,397.0,479.0,605.0,937.0,795.0,921.0,957.0,597.0,800.0,889.0,651.0,792.0,683.0,265.0
1.0,8.0,16.0,19.0,0.0,110.0,262.0,374.0,525.0,762.0,591.0,889.0,1026.0,735.0,911.0,998.0,775.0,878.0,792.0,328.0
0.0,7.0,13.0,5.0,0.0,63.0,185.0,273.0,321.0,657.0,477.0,710.0,954.0,907.0,1035.0,1056.0,938.0,966.0,970.0,463.0
0.0,2.0,8.0,8.0,0.0,38.0,109.0,200.0,247.0,542.0,349.0,581.0,934.0,1084.0,1058.0,1016.0,1068.0,1043.0,1058.0,655.0
0.0,2.0,5.0,4.0,0.0,17.0,86.0,117.0,169.0,430.0,275.0,467.0,832.0,1193.0,1108.0,947.0,1083.0,1186.0,1184.0,895.0
0.0,0.0,2.0,1.0,0.0,10.0,40.0,75.0,120.0,301.0,169.0,337.0,755.0,1399.0,1018.0,848.0,1229.0,1134.0,1286.0,1276.0
0.0,0.0,0.0,0.0,0.0,2.0,21.0,42.0,75.0,203.0,120.0,234.0,544.0,1437.0,1022.0,652.0,1287.0,1086.0,1305.0,1970.0
0.0,0.0,0.0,0.0,0.0,1.0,6.0,8.0,32.0,80.0,48.0,124.0,345.0,1192.0,828.0,412.0,1131.0,870.0,1170.0,3753.0
