Arsenal,Manchester City,Manchester United,Aston Villa,Liverpool,Chelsea,Brentford,Everton,Fulham,Brighton & Hove Albion,Sunderland,Newcastle United,AFC Bournemouth,Crystal Palace,Leeds United,Nottingham Forest,Tottenham Hotspur,West Ham United,Burnley,Wolverhampton Wanderers
9766.0,234.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
234.0,9582.0,121.0,59.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,169.0,6579.0,2389.0,490.0,339.0,15.0,14.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,15.0,2301.0,4690.0,1476.0,1250.0,103.0,97.0,18.0,42.0,5.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,719.0,1919.0,2970.0,2736.0,650.0,534.0,121.0,264.0,44.0,26.0,15.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,205.0,710.0,2404.0,2614.0,1404.0,1150.0,385.0,740.0,178.0,145.0,55.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,69.0,174.0,1323.0,1395.0,2185.0,1812.0,736.0,1281.0,384.0,396.0,198.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3.0,46.0,657.0,841.0,1843.0,1849.0,1226.0,1705.0,642.0,705.0,393.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3.0,11.0,375.0,414.0,1411.0,1657.0,1529.0,1688.0,960.0,1050.0,708.0,190.0,4.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,1.0,178.0,225.0,1064.0,1182.0,1789.0,1537.0,1277.0,1369.0,1008.0,364.0,5.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,1.0,83.0,121.0,697.0,811.0,1579.0,1220.0,1610.0,1707.0,1536.0,607.0,24.0,3.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,35.0,56.0,411.0,544.0,1314.0,818.0,1928.0,1849.0,1919.0,990.0,111.0,22.0,2.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,4.0,8.0,168.0,261.0,929.0,499.0,1907.0,1665.0,2324.0,1799.0,312.0,89.0,31.0,4.0,0.0,0.0
0.0,0.0,0.0,0.0,2.0,0.0,47.0,84.0,342.0,170.0,941.0,921.0,1462.0,4342.0,1045.0,451.0,159.0,34.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,32.0,30.0,118.0,151.0,336.0,1247.0,4340.0,2039.0,1374.0,326.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,12.0,45.0,263.0,2485.0,3901.0,2375.0,910.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,47.0,1223.0,2600.0,3649.0,2472.0,4.0,4.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,450.0,890.0,2396.0,6190.0,38.0,34.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,13.0,62.0,6941.0,2979.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3016.0,6983.0
