Bayern Munich,Borussia Dortmund,VfB Stuttgart,RB Leipzig,TSG Hoffenheim,Bayer Leverkusen,Eintracht Frankfurt,SC Freiburg,1. FC Union Berlin,FC Augsburg,Mainz,Hamburg SV,Borussia Mönchengladbach,Werder Bremen,FC Cologne,St. Pauli,VfL Wolfsburg,1. FC Heidenheim 1846
9999.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,9845.0,108.0,21.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,138.0,5069.0,2681.0,1800.0,312.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,14.0,2699.0,3917.0,2560.0,810.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,2.0,1618.0,2432.0,3748.0,2197.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,504.0,947.0,1854.0,6590.0,83.0,21.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,2.0,2.0,13.0,90.0,6089.0,3262.0,209.0,111.0,123.0,66.0,30.0,2.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1.0,2753.0,4974.0,795.0,418.0,540.0,288.0,177.0,16.0,34.0,4.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,745.0,1208.0,2573.0,1338.0,1940.0,939.0,913.0,141.0,192.0,11.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,221.0,386.0,1998.0,1688.0,2110.0,1516.0,1289.0,338.0,415.0,39.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,84.0,121.0,1674.0,1669.0,1805.0,1710.0,1506.0,583.0,750.0,93.0,5.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,20.0,23.0,1179.0,1625.0,1402.0,1790.0,1663.0,991.0,1101.0,195.0,11.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,787.0,1414.0,1017.0,1558.0,1681.0,1444.0,1599.0,453.0,41.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,515.0,1044.0,669.0,1233.0,1482.0,2047.0,2098.0,817.0,94.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,206.0,562.0,301.0,711.0,958.0,2902.0,2167.0,1813.0,380.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,126.0,89.0,183.0,275.0,1392.0,1432.0,4834.0,1594.0,15.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,4.0,6.0,26.0,144.0,210.0,1710.0,7506.0,386.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,31.0,369.0,9599.0
