Flamengo,Palmeiras,Athletico Paranaense,Fluminense,Bahia,Cruzeiro,Coritiba,Atlético-MG,Red Bull Bragantino,São Paulo,Vitória,Corinthians,Santos,Botafogo,Grêmio,Mirassol,Vasco da Gama,Internacional,Remo,Chapecoense
7223.0,2765.0,7.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2724.0,6981.0,169.0,77.0,9.0,38.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46.0,220.0,4420.0,3210.0,589.0,1382.0,7.0,89.0,9.0,11.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,30.0,2906.0,3177.0,1365.0,2037.0,52.0,257.0,37.0,49.0,0.0,4.0,5.0,74.0,1.0,0.0,0.0,0.0,0.0,0.0
1.0,4.0,1509.0,1997.0,2357.0,2508.0,199.0,745.0,186.0,157.0,1.0,9.0,26.0,291.0,0.0,10.0,0.0,0.0,0.0,0.0
0.0,0.0,625.0,949.0,2704.0,2099.0,444.0,1347.0,483.0,399.0,15.0,45.0,112.0,740.0,6.0,32.0,0.0,0.0,0.0,0.0
0.0,0.0,240.0,366.0,1449.0,1032.0,1028.0,1990.0,1133.0,812.0,48.0,154.0,258.0,1335.0,32.0,121.0,1.0,1.0,0.0,0.0
0.0,0.0,73.0,134.0,782.0,502.0,1459.0,1701.0,1387.0,1188.0,104.0,323.0,485.0,1518.0,93.0,233.0,13.0,4.0,1.0,0.0
0.0,0.0,42.0,52.0,392.0,202.0,1461.0,1317.0,1508.0,1418.0,197.0,510.0,729.0,1510.0,154.0,456.0,43.0,8.0,1.0,0.0
0.0,0.0,6.0,20.0,185.0,111.0,1509.0,997.0,1382.0,1466.0,383.0,763.0,936.0,1271.0,284.0,575.0,71.0,36.0,5.0,0.0
0.0,0.0,3.0,11.0,107.0,64.0,1271.0,668.0,1225.0,1358.0,541.0,1101.0,1098.0,1026.0,470.0,892.0,105.0,54.0,6.0,0.0
0.0,0.0,0.0,3.0,45.0,17.0,1076.0,395.0,993.0,1098.0,801.0,1297.0,1268.0,863.0,718.0,1095.0,201.0,109.0,21.0,0.0
0.0,0.0,0.0,1.0,14.0,6.0,668.0,254.0,679.0,825.0,1108.0,1463.0,1394.0,621.0,1003.0,1369.0,320.0,235.0,40.0,0.0
0.0,0.0,0.0,0.0,2.0,0.0,448.0,143.0,446.0,559.0,1349.0,1380.0,1330.0,374.0,1350.0,1525.0,565.0,433.0,94.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,209.0,70.0,282.0,355.0,1701.0,1275.0,1023.0,211.0,1609.0,1383.0,942.0,745.0,192.0,3.0
0.0,0.0,0.0,0.0,0.0,0.0,114.0,20.0,161.0,203.0,1753.0,878.0,737.0,105.0,1818.0,1077.0,1506.0,1211.0,412.0,5.0
0.0,0.0,0.0,0.0,0.0,0.0,45.0,4.0,67.0,74.0,1251.0,535.0,393.0,31.0,1323.0,746.0,2369.0,2163.0,971.0,28.0
0.0,0.0,0.0,0.0,0.0,0.0,9.0,2.0,18.0,25.0,628.0,201.0,163.0,11.0,808.0,381.0,2417.0,2921.0,2306.0,110.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,3.0,119.0,62.0,43.0,2.0,325.0,100.0,1363.0,1949.0,5385.0,645.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,5.0,84.0,131.0,566.0,9207.0
