Manchester City,Arsenal,Hull City,Chelsea,Brentford,Liverpool,Newcastle United,Everton,Leeds United,Brighton & Hove Albion,Manchester United,Sunderland,Crystal Palace,Ipswich Town,AFC Bournemouth,Nottingham Forest,Aston Villa,Tottenham Hotspur,Fulham,Coventry City
4373.0,4846.0,5.0,84.0,61.0,129.0,41.0,29.0,39.0,83.0,244.0,9.0,1.0,0.0,41.0,5.0,9.0,0.0,1.0,0.0
3471.0,3440.0,24.0,373.0,326.0,489.0,165.0,132.0,146.0,324.0,778.0,49.0,11.0,0.0,138.0,64.0,59.0,3.0,8.0,0.0
1104.0,894.0,109.0,889.0,808.0,1168.0,509.0,438.0,446.0,889.0,1631.0,159.0,57.0,0.0,429.0,217.0,174.0,23.0,56.0,0.0
482.0,378.0,209.0,988.0,950.0,1172.0,607.0,648.0,552.0,1002.0,1371.0,271.0,112.0,2.0,526.0,319.0,289.0,44.0,78.0,0.0
238.0,199.0,269.0,1011.0,901.0,1034.0,721.0,675.0,667.0,933.0,1140.0,376.0,160.0,3.0,673.0,416.0,389.0,68.0,127.0,0.0
142.0,109.0,364.0,891.0,931.0,987.0,758.0,687.0,702.0,928.0,921.0,433.0,182.0,4.0,721.0,470.0,473.0,132.0,165.0,0.0
93.0,53.0,440.0,862.0,859.0,901.0,813.0,742.0,701.0,845.0,857.0,466.0,208.0,4.0,758.0,524.0,513.0,140.0,220.0,1.0
35.0,33.0,513.0,784.0,817.0,776.0,774.0,796.0,690.0,813.0,651.0,598.0,278.0,10.0,721.0,615.0,613.0,187.0,296.0,0.0
27.0,20.0,558.0,761.0,761.0,659.0,786.0,740.0,748.0,712.0,551.0,558.0,410.0,12.0,787.0,631.0,664.0,256.0,359.0,0.0
22.0,11.0,643.0,664.0,655.0,587.0,745.0,764.0,765.0,671.0,453.0,669.0,444.0,21.0,738.0,710.0,700.0,312.0,426.0,0.0
7.0,7.0,665.0,594.0,640.0,501.0,725.0,705.0,764.0,601.0,364.0,767.0,496.0,28.0,767.0,750.0,734.0,392.0,493.0,0.0
3.0,5.0,751.0,507.0,540.0,423.0,658.0,699.0,766.0,524.0,308.0,809.0,662.0,43.0,682.0,761.0,699.0,505.0,650.0,5.0
1.0,2.0,853.0,437.0,446.0,343.0,624.0,656.0,628.0,454.0,226.0,874.0,784.0,81.0,646.0,829.0,790.0,596.0,721.0,9.0
2.0,0.0,867.0,339.0,390.0,256.0,543.0,631.0,658.0,380.0,183.0,793.0,869.0,139.0,620.0,838.0,829.0,767.0,884.0,12.0
0.0,1.0,890.0,308.0,339.0,231.0,534.0,548.0,554.0,307.0,137.0,828.0,977.0,248.0,585.0,790.0,808.0,908.0,966.0,41.0
0.0,1.0,943.0,233.0,248.0,156.0,406.0,467.0,480.0,213.0,87.0,795.0,1111.0,388.0,475.0,831.0,755.0,1179.0,1178.0,54.0
0.0,1.0,849.0,161.0,191.0,115.0,325.0,343.0,371.0,169.0,68.0,745.0,1297.0,765.0,371.0,586.0,714.0,1457.0,1312.0,160.0
0.0,0.0,728.0,86.0,98.0,54.0,187.0,216.0,214.0,106.0,24.0,568.0,1277.0,1663.0,240.0,462.0,537.0,1779.0,1276.0,485.0
0.0,0.0,274.0,26.0,35.0,18.0,72.0,76.0,95.0,43.0,6.0,196.0,558.0,4472.0,70.0,156.0,221.0,1022.0,653.0,2007.0
0.0,0.0,46.0,2.0,4.0,1.0,7.0,8.0,14.0,3.0,0.0,37.0,106.0,2117.0,12.0,26.0,30.0,230.0,131.0,7226.0
