Barcelona,Alavés,Real Madrid,Real Betis,Deportivo La Coruña,Atlético Madrid,Sevilla,Osasuna,Real Sociedad,Athletic Club,Levante,Espanyol,Racing Santander,Rayo Vallecano,Getafe,Celta Vigo,Villarreal,Málaga,Elche,Valencia
8452.0,17.0,1380.0,61.0,3.0,54.0,0.0,3.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,25.0,0.0,1.0,0.0
1353.0,318.0,6220.0,674.0,39.0,645.0,41.0,85.0,91.0,41.0,28.0,11.0,2.0,43.0,10.0,21.0,373.0,0.0,1.0,4.0
148.0,1025.0,1387.0,2161.0,245.0,1991.0,217.0,310.0,435.0,183.0,155.0,79.0,4.0,184.0,86.0,180.0,1182.0,0.0,13.0,15.0
33.0,1185.0,527.0,1817.0,352.0,1581.0,354.0,497.0,648.0,313.0,286.0,161.0,21.0,336.0,173.0,311.0,1335.0,0.0,30.0,40.0
12.0,1159.0,240.0,1259.0,496.0,1337.0,494.0,638.0,784.0,401.0,383.0,241.0,40.0,457.0,230.0,376.0,1294.0,0.0,87.0,72.0
2.0,1098.0,120.0,961.0,578.0,1029.0,538.0,782.0,833.0,523.0,458.0,315.0,50.0,546.0,328.0,493.0,1131.0,0.0,121.0,94.0
0.0,934.0,57.0,734.0,671.0,806.0,623.0,777.0,874.0,595.0,574.0,428.0,78.0,622.0,406.0,591.0,929.0,0.0,154.0,147.0
0.0,779.0,31.0,589.0,730.0,647.0,706.0,751.0,862.0,688.0,614.0,467.0,124.0,635.0,510.0,684.0,754.0,0.0,236.0,193.0
0.0,702.0,18.0,444.0,737.0,485.0,764.0,795.0,838.0,734.0,688.0,487.0,134.0,728.0,552.0,719.0,639.0,1.0,296.0,239.0
0.0,619.0,12.0,349.0,728.0,367.0,843.0,829.0,771.0,748.0,702.0,554.0,175.0,752.0,645.0,724.0,550.0,1.0,331.0,300.0
0.0,504.0,5.0,259.0,750.0,293.0,785.0,749.0,715.0,761.0,790.0,706.0,256.0,777.0,691.0,686.0,459.0,6.0,419.0,389.0
0.0,400.0,1.0,230.0,738.0,232.0,754.0,708.0,641.0,808.0,775.0,710.0,360.0,778.0,737.0,778.0,350.0,9.0,517.0,474.0
0.0,356.0,0.0,169.0,748.0,160.0,784.0,656.0,580.0,705.0,752.0,780.0,451.0,758.0,801.0,798.0,311.0,14.0,597.0,580.0
0.0,283.0,1.0,107.0,693.0,124.0,699.0,567.0,534.0,758.0,775.0,817.0,593.0,738.0,855.0,720.0,215.0,22.0,763.0,736.0
0.0,239.0,1.0,73.0,658.0,103.0,638.0,505.0,472.0,712.0,710.0,865.0,739.0,708.0,867.0,793.0,166.0,37.0,884.0,830.0
0.0,149.0,0.0,56.0,589.0,76.0,587.0,472.0,324.0,663.0,741.0,972.0,942.0,614.0,836.0,666.0,115.0,114.0,1055.0,1029.0
0.0,123.0,0.0,33.0,556.0,37.0,484.0,403.0,287.0,543.0,692.0,844.0,1285.0,520.0,831.0,612.0,91.0,200.0,1226.0,1233.0
0.0,79.0,0.0,15.0,422.0,22.0,416.0,274.0,180.0,484.0,494.0,799.0,1729.0,462.0,739.0,480.0,57.0,411.0,1424.0,1513.0
0.0,25.0,0.0,9.0,236.0,10.0,235.0,175.0,112.0,304.0,312.0,629.0,2334.0,289.0,602.0,332.0,19.0,1266.0,1443.0,1668.0
0.0,6.0,0.0,0.0,31.0,1.0,38.0,24.0,17.0,36.0,70.0,135.0,683.0,52.0,101.0,36.0,5.0,7919.0,402.0,444.0
