FC Porto,Benfica,Sporting CP,Santa Clara,Arouca,Estrela,Gil Vicente,Braga,Maritimo,Académico de Viseu,Vitória de Guimaraes,C.D. Nacional,Moreirense,FC Famalicao,Rio Ave,Alverca,Estoril,Casa Pia
3058.0,3150.0,3753.0,1.0,1.0,0.0,4.0,32.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3212.0,3375.0,3210.0,9.0,8.0,0.0,12.0,173.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3242.0,3000.0,2725.0,101.0,44.0,9.0,123.0,726.0,0.0,0.0,0.0,4.0,0.0,24.0,0.0,0.0,2.0,0.0
420.0,399.0,263.0,1210.0,829.0,332.0,1246.0,4631.0,11.0,5.0,37.0,113.0,24.0,416.0,9.0,13.0,42.0,0.0
45.0,57.0,42.0,1923.0,1510.0,809.0,1850.0,1980.0,55.0,18.0,161.0,301.0,85.0,933.0,16.0,53.0,161.0,1.0
19.0,16.0,6.0,1741.0,1530.0,1144.0,1682.0,1060.0,129.0,57.0,309.0,476.0,181.0,1236.0,45.0,119.0,244.0,6.0
3.0,2.0,1.0,1481.0,1476.0,1233.0,1389.0,579.0,208.0,106.0,475.0,707.0,258.0,1376.0,95.0,187.0,418.0,6.0
1.0,0.0,0.0,1092.0,1282.0,1268.0,1129.0,350.0,331.0,178.0,644.0,901.0,432.0,1272.0,174.0,301.0,624.0,21.0
0.0,0.0,0.0,820.0,1004.0,1257.0,849.0,221.0,497.0,293.0,841.0,1048.0,568.0,1145.0,249.0,418.0,750.0,40.0
0.0,1.0,0.0,565.0,793.0,976.0,597.0,128.0,666.0,443.0,964.0,1148.0,729.0,1025.0,392.0,620.0,868.0,85.0
0.0,0.0,0.0,414.0,525.0,857.0,380.0,67.0,881.0,634.0,1062.0,1118.0,901.0,801.0,460.0,751.0,1003.0,146.0
0.0,0.0,0.0,264.0,370.0,712.0,305.0,25.0,978.0,773.0,1120.0,1013.0,987.0,596.0,694.0,875.0,1085.0,203.0
0.0,0.0,0.0,179.0,249.0,493.0,178.0,15.0,1085.0,968.0,1057.0,899.0,1070.0,446.0,909.0,1035.0,1074.0,343.0
0.0,0.0,0.0,102.0,183.0,395.0,127.0,8.0,1222.0,1097.0,937.0,768.0,1101.0,320.0,1045.0,1190.0,990.0,515.0
0.0,0.0,0.0,61.0,100.0,255.0,73.0,3.0,1190.0,1408.0,832.0,592.0,1131.0,221.0,1229.0,1175.0,946.0,784.0
0.0,0.0,0.0,25.0,55.0,160.0,32.0,2.0,1123.0,1401.0,706.0,480.0,1107.0,116.0,1513.0,1262.0,822.0,1196.0
0.0,0.0,0.0,10.0,32.0,74.0,22.0,0.0,988.0,1504.0,565.0,308.0,906.0,52.0,1730.0,1192.0,619.0,1998.0
0.0,0.0,0.0,2.0,9.0,26.0,2.0,0.0,636.0,1115.0,290.0,124.0,520.0,19.0,1440.0,809.0,352.0,4656.0
